agent_effective_date,entity_count,entity_numbers,business_names,cluster_kind,interpretive_guardrail,source_file_sha256
1987-12-17,10,689446;689454;689666;689662;689663;689664;689665;689906;689907;689908,"GREYSTONE ACRES, INC.; DAISEYLAND FARMS, INC.; CENTRAL FALLS, INC.; FRONTIER HILLS, INC.; CARLISLE MEADOWS, INC.; BREWER FARMS, INC.; BEARCE HOLLOW, INC.; GAHANNA TRUCKING, INC.; GREAT EASTERN FASTENING CORP.; EASTSIDE INDUSTRIAL, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1988-05-13,10,724612;724613;724614;724615;724616;724617;724618;724619;724620;724621,"BLUFFTON HOLDING CORPORATION; DIAMOND DEVELOPMENT COMPANY; DONCASTER DEVELOPMENT, INC.; DONNER DEVELOPMENT COMPANY; FARMINGTON DEVELOPERS, INC.; LANDES MANAGEMENT CORPORATION; MAYCOR INCORPORATED; MELLERIC CORPORATION; SUMMIT HOLDING, INC.; UNION HOLDING CORPORATION",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1987-12-14,9,706250;710873;712264;712296;712441;709782;712106;712170;711268,"AUTUMN ACRES, INC.; BLACKLICK PROPERTIES, INC.; LEEACE INC.; MORSHAM LAND CORPORATION; ROCKYRIVER PROPERTIES, INC.; BLACKFORD INVESTMENTS, INC.; HARLEM INVESTMENT CORPORATION; IVY HEARTH PROPERTIES, INC.; BLENDON FARMS, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1988-03-09,9,720246;720360;720361;720362;720363;720364;720365;720366;720489,"CASELIN DEVELOPMENT CORPORATION; FORMAN FARMS, INC.; PALM PROPERTIES, INC.; SAREN INVESTMENTS INCORPORATED; TANDEM INVESTMENTS INCORPORATED; VILLA DEVELOPMENT CORP.; VILLAGE ACRES, INC.; CHESSER ESTATES, INC.; TIMBRE PROPERTIES, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1987-12-22,8,714669;714670;714671;714672;714673;714674;714675;714676,"ROCKYRIDGE DEVELOPMENT CORP.; BLUEBERRY RIDGE PROPERTIES, INC.; TUMBLEWEED ESTATES, INC.; PLATEAU ACRES INCORPORATED; CEDAR CANYON PROPERTIES, INC.; CHESTNUT HEIGHTS CORPORATION; SPRING HARBOR PROPERTIES, INC.; DEERFIELD MEADOWS, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1987-12-10,6,713838;713839;713840;713841;713842;713843,"CANDLEBERRY COVE, INC.; PLAIN DESIGNS, INCORPORATED; HARECK ENTERPRISES, INC.; MAPLEGROVE PROPERTIES, INC.; REDWOOD STABLES, INC.; BRIARPATCH FIELDS, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1988-03-04,6,719941;719942;719943;719944;719945;719946,"FORDHAM INVESTMENT, INC.; LINDEN ACRES, INC.; MEADE DEVELOPMENT CORPORATION; ROCKFORD DEVELOPMENT, INC.; TUDOR PROPERTIES, INC.; FORREST FARMS, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1988-07-15,6,728763;728764;728765;728766;728767;728768,"WHEATON COMPANY; ARGOTRON CORPORATION; CURRANT CORPORATION; MACKINAW MARKETING CO.; MARGIN MANAGEMENT COMPANY; SCRIPTON PRODUCTS, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1988-08-24,6,731360;731361;731362;731363;731364;731365,"JETNER CORPORATION; MENTIN PRODUCTS, INC.; CHATTEN MARKETING COMPANY; FANTEL PRODUCTS COMPANY; GRAETON DEVELOPMENT COMPANY; INDICO INVESTMENTS, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1987-12-11,4,713922;713923;713924;713926,"FRONTIER TRADERS, INC.; KITZMILLER PROPERTIES, INC.; OAKFIELD ENTERPRISES, INC.; WILDWOOD ACRES, INC.",agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
1988-09-23,2,733246;733247,CRISTAH CORPORATION; RETTLIN INVESTMENT COMPANY,agent_effective_date_cluster,"Not a formation, merger, dissolution, acquisition, or property-transfer cluster until underlying filings establish event type.",910362535be7d588022b6a7183f5e7da0d0747c52d958056885388590ca8dc74
