letter_row,letter_column,printed_name,entity_key,ohio_entity_number,canonical_name,snow_export_membership,review_status,formation_date,formation_document_id,agent_appointment_filing_id,terminal_action,terminal_document_id,terminal_effective_date,filing_history_status,batch_cover_document_id,batch_evidence_ref,batch_evidence_page,batch_membership_state,bounded_result,guardrail
1,left,Argotron Corporation,OH:728764,728764,ARGOTRON CORPORATION,in_cohort,primary_filings_reviewed,1988-07-15,G423_1524,G423_1524,dissolved,G532_0974,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
1,right,"Linden Acres, Inc.",OH:719942,719942,"LINDEN ACRES, INC.",in_cohort,primary_filings_reviewed,1988-03-04,G339_1082,G339_1082,dissolved,G532_1120,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
2,left,"Blackford Investments, Inc.",OH:709782,709782,"BLACKFORD INVESTMENTS, INC.",in_cohort,primary_filings_reviewed,1987-12-14,G290_1412,G290_1412,dissolved,G532_0982,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
2,right,Mackinaw Marketing Co.,OH:728766,728766,MACKINAW MARKETING CO.,in_cohort,primary_filings_reviewed,1988-07-15,G423_1536,G423_1536,dissolved,G532_1126,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
3,left,"Blendon Farms, Inc.",OH:711268,711268,"BLENDON FARMS, INC.",in_cohort,primary_filings_reviewed,1987-12-14,G290_1424,G290_1424,dissolved,G532_0988,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
3,right,"Maplegrove Properties, Inc.",OH:713841,713841,"MAPLEGROVE PROPERTIES, INC.",in_cohort,primary_filings_reviewed,1987-12-10,G287_0741,G287_0741,dissolved,G532_1132,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
4,left,"Carlisle Meadows, Inc.",OH:689663,689663,"CARLISLE MEADOWS, INC.",in_cohort,primary_filings_reviewed,1986-12-02,G043_1702,G296_1208,dissolved,G532_0994,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
4,right,Melleric Corporation,OH:724619,724619,MELLERIC CORPORATION,in_cohort,primary_filings_reviewed,1988-05-13,G379_0241,G379_0241,dissolved,G532_1138,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
5,left,Caselin Development Corporation,OH:720246,720246,CASELIN DEVELOPMENT CORPORATION,in_cohort,primary_filings_reviewed,1988-03-09,G342_0153,G342_0153,dissolved,G532_1000,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
5,right,"Mentin Products, Inc.",OH:731361,731361,"MENTIN PRODUCTS, INC.",in_cohort,primary_filings_reviewed,1988-08-24,G456_0338,G456_0338,dissolved,G532_1144,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
