entity_name,event_date,record_type,record_id,source,role_or_transaction,people,address_or_parcel,verification_level,key_fact,caution
"N.A. Property, Inc.",1992-12-01,foreign license,H482_0333,Ohio Secretary of State,Delaware corporation licensed in Ohio; agent appointment,Robert S. Schwartz,5906 E Dublin-Granville Rd / Ohio record 832364,primary_image_confirmed,Ohio registration and Delaware jurisdiction,Does not itself name Epstein as officer.
"N.A. Property, Inc.",1993-10-27,Form 7,9309_1879,Ohio Secretary of State,Annual report signed by president,Jeffrey Epstein; Jeffrey J. Smith,"c/o Wexner Investment Co., 41 S High St; 5906 E Dublin-Granville Rd",primary_image_confirmed,Epstein signed as president,"One filing-period observation, not proof of continuous service outside the report period."
"N.A. Property, Inc.",1994-05-10,Form 7,4270_1598,Ohio Secretary of State,Annual report signed by president,Jeffrey E. Epstein,Return to 457 Madison Ave 5th Fl; 5906 E Dublin-Granville Rd,primary_image_confirmed,Epstein signed as president and was the return contact,Do not infer beneficial ownership.
"N.A. Property, Inc.",1995-04-12,trade-name filing,5119_0009,Ohio Secretary of State,Registered The New Albany Investment Company,"N.A. Property, Inc.",5906 E Dublin-Granville Rd,primary_image_confirmed,Trade name used since 1995-04-01 for an investment holding company,Trade name is not necessarily a separate entity.
"N.A. Property, Inc.",1995-10-03,Form 7,5374_0707,Ohio Secretary of State,Annual report signed by president,Jeffrey Epstein,5906 E Dublin-Granville Rd,primary_image_confirmed,Epstein signed as president,No removal event.
"N.A. Property, Inc.",1996-10-02,Form 7,5907_0703,Ohio Secretary of State,Annual report signed by president,Jeffrey Epstein,5906 E Dublin-Granville Rd,primary_image_confirmed,Epstein signed as president,No removal event.
"N.A. Property, Inc.",1998-02-24,Form 7 / portal date conflict,199927801808,Ohio Secretary of State,Annual report signed by president,Jeffrey Epstein,5906 E Dublin-Granville Rd,primary_image_confirmed,Document is notarized 1998-02-12 and approved 1998-02-24; portal table shows 1997-09-30,Preserve both the portal and internal dates.
"N.A. Property, Inc.",2008-09-22,agent change,200826701516,Ohio Secretary of State,Statutory agent replaced,Robert S. Schwartz; C T Corporation System,,primary_image_confirmed,Only the statutory agent changed,This is not evidence of Epstein's officer removal.
The New Albany Company LLC,1998-09-21,foreign LLC registration,199826701876,Ohio Secretary of State,N.A. Property was managing member; Epstein signed as its president; Wexner signed as managing member,Jeffrey Epstein; Leslie H. Wexner,5906 E Dublin-Granville Rd / Ohio record 1034132,primary_image_confirmed,Direct Epstein-Wexner corporate-management link,Epstein is not listed as an individual managing member; his authority runs through N.A. Property.
The New Albany Company LLC,1998-10-08,foreign merger,199828200362,Ohio Secretary of State,Predecessor limited partnership merged into LLC,The New Albany Company Limited Partnership,Ohio predecessor 958102,primary_image_confirmed,LLC survived the 1998-10-07 Delaware merger,No officer-removal information.
