entity_name,aliases,entity_class,formation_jurisdiction,ohio_entity_number,status,ohio_or_property_address,parcel_or_property,epstein_role_or_nexus,wexner_role_or_nexus,date_range,verification_status,removal_or_exit_status,priority,key_evidence_refs,notes
"N.A. Property, Inc.","N A Property Inc.; New Albany Property Inc.; New Albany Property, Inc.",foreign corporation / development managing member,Delaware,832364,active,"5906 E Dublin-Granville Rd; 6525 W Campus Oval; 8000 Walton Pkwy; c/o Wexner Investment Co., 41 S High St","Managing/general-partner role in New Albany partnership filings; 2002 School House notice of commencement, but its fee-owner field is blank",President on five Ohio annual reports; signed the 1992 partnership filings as president of the New Albany managing/general partner,Wexner Investment Co. correspondence address; entity was part of New Albany Company structure,1992-present; Epstein role verified 1992-1998,primary Ohio filing and recorder images confirmed,A 2020 commissioned review says Epstein resigned in September 2007; underlying primary resignation record not located,confirmed,H482_0333;9309_1879;4270_1598;5374_0707;5907_0703;199927801808;199826701876;FRANKLIN-RECORDER:199212020237724;FRANKLIN-RECORDER:199212280252097;FRANKLIN-RECORDER:200203120064378;FINDING:14621;FINDING:14622;FINDING:14623,"The 2002 form's “None” lender response concerns only improvement financing and does not establish title, mortgage absence, or cash ownership."
The New Albany Investment Company,New Albany Investment Company,Ohio trade name,Ohio,linked to 832364,active renewals through 2025,"5906 E Dublin-Granville Rd, New Albany, OH",Trade name described as an investment holding company,"N.A. Property, Inc., then headed by Epstein, registered the trade name",Part of the New Albany/Wexner development structure,1995-present,primary Ohio filing image confirmed,Not applicable; trade name remains renewed,confirmed,5119_0009; 201510302102; 202010700834; 202509900834,"Treat as a trade name of N.A. Property, not a separate corporation without further evidence."
The New Albany Company LLC,The New Albany Company; The New Albany Company Limited Partnership,foreign LLC / master-development vehicle,Delaware,1034132,active,"5906 E Dublin-Granville Rd; later 8000 Walton Pkwy, New Albany, OH",Managed/excluded property portfolio; land and development projects,"Epstein signed as president of N.A. Property, Inc., the managing member and predecessor general partner","Leslie Wexner signed as managing member; Community Projects, Inc. was the other predecessor general partner",1998-present,primary Ohio filing images and corpus records confirmed,No reviewed filing removes Epstein or replaces the managing-member structure; later rows are agent/address changes,confirmed,199826701876; 199828200362; DOJ-OGR-00032938; DOJ-OGR-00032937,The 2005 portfolio schedule reported $98.5 million estimated value remaining but does not identify every project by full legal name.
The New Albany Company Limited Partnership,New Albany Co Ltd Partnership,limited partnership / predecessor development vehicle,unknown / Ohio registration,958102,merged out,"New Albany, OH",Large-acreage development and partnership instruments,"N.A. Property, Inc., signed by Epstein as president, was one general partner","Community Projects, Inc., signed by Wexner as president, was the other general partner",1992-1998,primary Ohio filing and recorder indexes confirmed,Merged into The New Albany Company LLC on 1998-10-07,confirmed,199212020237724; 199212280252097; 199826701876; 199828200362,Useful counterparty for Morsham and other acreage-assembly searches.
"Community Projects, Inc.",Community Projects Inc.,Ohio corporation / development general partner,Ohio,801367,dead / dissolved,"One Whitebarn Rd.; 5906 E Dublin-Granville Rd., New Albany, OH",Partnership release; no residential parcel verified,No officer role in the exact charter; appears beside Epstein-led N.A. Property as the other New Albany LP general partner,Wexner was president/director and signed for Community Projects as general partner,1991-1998,exact-charter primary images confirmed; contextual identity is high-confidence synthesis,"Dissolved 1998-11-12; the LP, not Community Projects, merged into the LLC",confirmed network link / no Epstein officer role,H177_0680; 199831701001; 199826701876; 199828200362; FRANKLIN-RECORDER:199809170236365; FINDING:14568; FINDING:14569,"The contextual partnership filing omits charter 801367 but matches exact name, Ohio jurisdiction, officer, dates, and addresses. Do not infer property title from the partnership record or no-personal-property affidavit."
"Parkview Financial, Inc.","LEWEX, INC.; Parkview Financial Inc.; Parkview Fincl Inc.",Ohio for-profit corporation,Ohio,623762,dead / dissolved,"41 S High St, Columbus, OH; original agent at 250 E Broad St","A 1984 Franklin deed's prior-mortgage field names PARKVIEW FINANCIAL and $20,622.43; no Ohio home parcel or identity match to charter 623762 is proven",Vice president and treasurer; signed the 1990 dissolution and affidavits,Wexner was director and president,1983-1990,primary Ohio filing images confirmed; recorder mention is a scoped identity lead,Corporation dissolved 1990-12-26,confirmed corporate role / recorder identity unresolved,F356_1315;F370_1761;F778_1849;H042_1308;FRANKLIN-RECORDER:198402080019674;FINDING:14628,"The former name LEWEX is the key historical-name pivot. The deed phrase alone does not prove that the mortgagee was Ohio charter 623762."
HHD & B LLC,"H.H.D.&B., LLC; HHD&B LLC; HHD AND B LLC; HHDB LLC",single-property residential holding LLC candidate,Ohio stated in deed,,current auditor owner,"5025 Dublin Granville Rd, New Albany, OH","Franklin parcel 222-001350-00; 30.368 acres; Rotunda House; later instruments cite it as a neighboring boundary",Epstein acquired the tract in 1992 and conveyed it to H.H.D.&B. in 1998; the deed does not identify LLC members,Property sits in the New Albany development area; no beneficial Wexner role proven,1992-present; LLC grantee from 1998,primary Franklin Recorder images plus current Auditor parcel confirmed,No reviewed record identifies the LLC's members or proves Epstein's control after conveyance; full parcel-lien sweep remains pending,confirmed single-property title chain,FRANKLIN-RECORDER:199211180228288;FRANKLIN-RECORDER:199805130116673;FRANKLIN-RECORDER:200112270301721;FRANKLIN-AUDITOR:222-001350-00;FINDING:14552;FINDING:14553;FINDING:14632,"Deed faces show $3,500 and $8,000 conveyance-tax stamps, not sale prices; separate Auditor sales fields report $3.5 million and $8 million. No reviewed exact-name-family mortgage encumbers 222-001350, but that is not a complete parcel-lien negative."
Morsham Land Corp.,Morsham Land Corporation,Ohio corporation / large-acreage land-assembly vehicle,Ohio,712296,dead / merged out,"41 S High St., Columbus; later c/o New Albany Company, 5906 E Dublin-Granville Rd., New Albany","1987-2016 deed/easement family; 50.086-acre acquisition; 35.686-acre and other dispositions; residual parcel 545-147940",No direct Epstein or Wexner appearance in the reviewed Morsham recorder family,Direct title counterparties include The New Albany Company Limited Partnership; later New Albany Company LLC affidavit claims ultimate succession to all Morsham real estate/assets,1987-2016,complete targeted Franklin family OCRed and decisive primary images reviewed,"Merged into Eastern Ohio Holding Company, Inc. on 1995-12-29; later ultimate title/asset succession to New Albany Company LLC is separately asserted in a 2016 affidavit",confirmed statutory merger plus title-successor chain,G290_1448;5422_1190;5422_1216;FRANKLIN-RECORDER:198801060052123;FRANKLIN-RECORDER:199611150229244;FRANKLIN-RECORDER:199702180037606;FRANKLIN-RECORDER:199702180037607;FRANKLIN-RECORDER:201604220049451;FRANKLIN-RECORDER:201604220049452;FINDING:14610;FINDING:14641;FINDING:14642;FINDING:14643;FINDING:14646,"Ohio packet 5422_1190 expressly names Eastern Ohio Holding Company as statutory survivor. Recorder recitals and the 2016 affidavit support later land-title/asset succession but do not collapse the intermediate corporate chain."
"Eastern Ohio Holding Company, Inc.",Eastern Ohio Holding Company; Ohio 855092,Ohio corporation / statutory merger survivor,Ohio,855092,post-1995 history unresolved,"5906 E Dublin-Granville Rd., New Albany, OH 43054","Received eight predecessor corporations by merger; later conveyed identified Morsham-derived tracts to The New Albany Company Limited Partnership",No Epstein or Wexner appearance in the reviewed merger packet or Morsham recorder family,New Albany Company received processing correspondence but was not a statutory constituent or survivor,1995-later history unresolved,primary Ohio merger packet and Franklin deed images confirmed,"Survived nine-party merger effective 1995-12-29; later corporate terminal action or bridge to New Albany LLC not yet located",confirmed statutory survivor / later-history pivot,5422_1190;FRANKLIN-RECORDER:199611150229244;FRANKLIN-RECORDER:199702180037606;FRANKLIN-RECORDER:199702180037607;FINDING:14642;FINDING:14646,"The merger form's name-change field is blank: Morsham did not simply rename itself Eastern Ohio. Specific land conveyances and New Albany LLC's later ultimate-successor assertion are separate from Eastern Ohio's corporate genealogy."
"ASW Holdings, Inc.",ASW Holdings Inc.; ASW Holdings,Delaware corporation / investment holding company,Delaware,,unresolved; exact Ohio name search returned zero,"6525 W Campus Oval, Suite 105, New Albany, OH",No property title verified,"President, director, and executive officer",Abigail Wexner was a director/executive officer; ASW Investments owned the company,1999-2000,SEC primary filing confirmed; bounded exact Ohio registry zero,Unresolved,confirmed non-Ohio corporation / registry follow-up,SEC:901359:000090951800000392; EFTA01262780,Do not merge with later ASW Holdings LLC namesakes.
