entity_key,ohio_entity_number,legal_name,snow_export_member,discovery_channel,reported_epstein_role_or_claim,primary_document_id,primary_filing_date,primary_review_state,confirmed_epstein_capacity,terminal_action,next_action,evidence_refs,notes
OH:623762,623762,"Parkview Financial, Inc. (formerly LEWEX, Inc.)",no,property_and_name_chain,Vice president and treasurer,H042_1308,1990-12-26,primary_confirmed,vice president; treasurer,dissolved,complete,OH-SOS:623762:H042_1308;FINDING:14539,Legally distinct from LEWEX Ohio 658220.
OH:658220,658220,"LEWEX, Inc.",yes,user_seed_collision_and_full_history_audit,Vice president and treasurer,F688_0728;F771_0253;G279_0229;G279_0236;H503_1252,1985-07-08 to 1992-12-22,primary_full_available_history_one_row_unavailable,vice president; treasurer,dissolved,complete,OH-SOS:658220:F688_0728;OH-SOS:658220:F771_0253;OH-SOS:658220:G279_0229;OH-SOS:658220:G279_0236;OH-SOS:658220:H503_1252;FINDING:14561;FINDING:14595,Samax Trading Corporation is the former name of this exact charter. Epstein and Wexner do not appear in the earlier available filings; one 1987 miscellaneous row is unavailable.
OH:678033,678033,INN Investment Corp.,yes,user_provided_filing,President,H363_1780,1992-06-02,primary_confirmed,president,dissolved,complete,OH-SOS:678033:H363_1780;FINDING:14555,Unnamed sole shareholder; no-personal-property affidavit does not address real property.
OH:719718,719718,"Cherry Bottom Investors, Inc.",yes,user_seed_merger_and_full_history_audit,President,G337_1113;G946_1533;G946_1539,1988-03-02 to 1990-08-31,primary_full_available_history,president,merged_out,complete,OH-SOS:719718:G337_1113;OH-SOS:719718:G946_1533;OH-SOS:719718:G946_1539;OH-SOS:719719:G946_1531;FINDING:14556;FINDING:14597,"Formation named Hipsher and Snow; Epstein appears later as president. The companion agreement, not the short MEX stub, establishes Cherry Bottom Properties as survivor."
OH:719719,719719,"Cherry Bottom Properties, Inc.",no,merger_party_expansion,Vice president at merger,G946_1531,1990-08-31,primary_confirmed,vice president,survived_then_dissolved,complete,OH-SOS:719719:G946_1531;OH-SOS:719719:199836304760;FINDING:14556;FINDING:14557,Outside Snow denominator; captured because every named merger party is promoted.
OH:777500,777500,"West First Plaza, Inc.",yes,user_seed_and_full_cohort_audit,President,H503_1258,1992-12-22,primary_confirmed,president,dissolved,complete,OH-SOS:777500:H503_1258;FINDING:14560,Was present in the Snow denominator but unreviewed under the earlier priority scheme.
OH:626053,626053,"Park Properties, Inc.",yes,external_seed_and_full_history_audit,Vice president,F377_0978;F771_0256;H526_0788,1984-01-05 to 1992-12-22,primary_full_available_history,vice president,dissolved,complete,OH-SOS:626053:F377_0978;OH-SOS:626053:F771_0256;OH-SOS:626053:H526_0788;FINDING:14562;FINDING:14596,"Formation named Schwartz, not Epstein or Wexner. Their roles are confirmed in the later dissolution; the sole shareholder is unnamed."
OH:803531,803531,C-Wren Investment Corp.,yes,external_seed_and_full_history_audit,Vice president and treasurer,H205_0694;000000100874;000000100875;9420_1032,1991-09-26 to 1993-12-30,primary_full_available_history_two_rows_unavailable,vice president; treasurer,dissolved,complete,OH-SOS:803531:H205_0694;OH-SOS:803531:000000100874;OH-SOS:803531:000000100875;OH-SOS:803531:9420_1032;FINDING:14563;FINDING:14596,"Formation named Hipsher and Snow, not Epstein or Wexner. Their roles are confirmed in the later dissolution; two intervening continued-existence images are unavailable."
OH:624047,624047,"PFI Leasing, Inc.",no,external_seed_union,Vice president and treasurer,H043_1630,1990-12-26,primary_confirmed,vice president; treasurer,dissolved,complete,OH-SOS:624047:H043_1630;FINDING:14564,Outside Snow denominator; confirms need for a rolling external-seed union.
OH:706978,706978,Rocky Fork Development Corporation,no,external_seed_union_and_merger_party_expansion,Vice president,H509_0296,1992-12-29,primary_merger_and_dissolution_confirmed,vice president,survived_then_dissolved,search Bearce and Rocky Fork property records across the 1987 merger; inspect 1992 dissolution-related asset disposition,OH-SOS:706978:G313_0688;OH-SOS:706978:H509_0296;FINDING:14565;FINDING:14578,Outside Snow denominator but confirmed survivor of Snow-cohort Bearce Hollow. Epstein is absent from the 1987 packet and appears as vice president in the 1992 dissolution.
