charter_num,business_name,filing_type,filing_date,document_id,img_status,image_url,acquisition_note
678033,INN INVESTMENT CORP.,DOMESTIC ARTICLES/FOR PROFIT,1986-05-21,F891_1891,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/F891_1891,Enumerated from the live Ohio business-search filing table in the Codex in-app browser; all available pages visually reviewed
678033,INN INVESTMENT CORP.,DOMESTIC/DISSOLUTION,1992-06-02,H363_1780,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H363_1780,Enumerated from the live Ohio business-search filing table in the Codex in-app browser; all available pages visually reviewed
678033,INN INVESTMENT CORP.,DOMESTIC AGENT ADDRESS CHANGE,1992-06-02,H363_1780,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H363_1780,Same packet as the dissolution row; preserve both filing-history observations but download the packet once; all available pages visually reviewed
719718,"CHERRY BOTTOM INVESTORS, INC.",DOMESTIC ARTICLES/FOR PROFIT,1988-03-02,G337_1113,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G337_1113,"All 7 pages visually reviewed; Ted B. Hipsher was incorporator and Snow original agent; no initial officer, shareholder, parcel, Epstein, or Wexner; SHA-256 86e207311d041d3d8d97760d4e560c31685d7dd716658d15843b606476ac84f6"
719718,"CHERRY BOTTOM INVESTORS, INC.",MERGER/DOMESTIC,1990-08-31,G946_1533,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G946_1533,Counterpart filing to G946_1531; packet expressly identifies Cherry Bottom Properties as survivor; all available pages visually reviewed
719718,"CHERRY BOTTOM INVESTORS, INC.",MERGED OUT OF EXISTENCE,1990-08-31,G946_1539,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G946_1539,Portal terminal-action row for the non-surviving constituent; all available pages visually reviewed
719719,"CHERRY BOTTOM PROPERTIES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1988-03-02,G337_1120,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G337_1120,Enumerated from the live Ohio business-detail filing table in the Codex in-app browser
719719,"CHERRY BOTTOM PROPERTIES, INC.",MERGER/DOMESTIC,1990-08-31,G946_1531,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G946_1531,Surviving-entity counterpart to G946_1533
719719,"CHERRY BOTTOM PROPERTIES, INC.",DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000185688,UNAVAILABLE,,Portal lists no downloadable image
719719,"CHERRY BOTTOM PROPERTIES, INC.",DOMESTIC CONTINUED EXISTENCE,1993-10-13,000000185689,UNAVAILABLE,,Portal lists no downloadable image
