period,filing_type,posted_date,income_usd,issue_codes,government_entities,lobbyists,bondi_status,filing_uuid
2017-Q1,Registration,2017-02-14,,GOV|LAW,,Brian Ballard|Daniel McFaul|Sylvester Lukis,,5fe00b67-627c-4480-85d6-6eb699a81228
2017-Q1,Quarterly report,2017-04-20,100000,GOV|LAW,DOJ|White House Office,Brian Ballard|Daniel McFaul|Sylvester Lukis,,e67c5536-c934-4e2d-8834-bfeed703ad7a
2017-Q2,Quarterly report,2017-07-20,150000,GOV|LAW,DOJ|White House Office,Brian Ballard|Daniel McFaul|Rebecca Benn|Sylvester Lukis,,6a93d936-56eb-4907-b19e-3a494ba7d380
2017-Q3,Quarterly report,2017-10-19,150000,GOV|LAW,DOJ|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,5efdfae4-5a83-4ea3-81e1-87c0bfae137c
2017-Q4,Quarterly report,2018-01-10,150000,GOV|LAW,DOJ|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,04a46ae0-856d-424b-aa09-1b9d0743c503
2018-Q1,Quarterly report,2018-04-20,150000,GOV|LAW,DOJ|DOL,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,cf30d516-c709-451b-a31d-daba11a131f3
2018-Q2,Quarterly report,2018-07-17,150000,HOM|IMM|LAW,DOJ|DOL,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,5d5cbdfb-a818-4536-99ae-1d90d292426e
2018-Q3,Quarterly report,2018-10-18,150000,HOM|IMM|LAW,DOJ|DOL|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,5b4cc88b-c2d7-40d1-9fe8-0a1b43b4f9ce
2018-Q4,Quarterly report,2019-01-18,150000,HOM|IMM|LAW,DOJ|DOL|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,870d91cb-2076-43c8-9142-027116b7e0f0
2019-Q1,Quarterly report,2019-04-18,150000,HOM|IMM|LAW,DHS|DOJ|DOL|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,7343f7a6-a053-4087-b498-c649d356ea02
2019-Q2,Quarterly report,2019-07-17,120000,HOM|IMM|LAW,White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,0c92da00-efbd-45f4-b030-9abd4aae6527
2019-Q3,Quarterly report,2019-10-21,60000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Pamela Bondi|Rebecca Benn|Sylvester Lukis,listed,908e8081-b0f6-472f-a318-c6f9ca62f28c
2019-Q4,Quarterly report,2020-01-16,60000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,removed in item 23,e8e1e480-9ffa-4208-8a44-6c5b3c57daa4
2020-Q1,Quarterly report,2020-04-20,60000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,80a204c6-2d85-4df9-ae13-c595efdc8257
2020-Q2,Quarterly report,2020-07-20,60000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,fb093e9a-6f21-4810-84c3-5eddb5d6fc5b
2020-Q3,Quarterly report,2020-10-20,60000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,057e7b76-0a4d-4980-ae85-332d1c90ea27
2020-Q4,Quarterly report,2021-01-20,60000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,d940b485-3deb-422a-a56c-866da8280786
2021-Q1,Termination,2021-04-20,20000,HOM|IMM|LAW,DHS|White House Office,Brian Ballard|Daniel McFaul|Justin J. Sayfie|Rebecca Benn|Sylvester Lukis,,520fa34a-81f0-46a6-96f6-36357da5407d
