award_id,parent_award_id,award_type,start_date,current_end_date,potential_end_date,net_obligation_usd,outlay_usd,base_exercised_usd,potential_value_usd,solicitation_id,competition,offers,reported_subaward_count,facility_chain_ids,facility_mapping,iga_mapping,mapping_strength,continuity_role,recovered_primary_evidence,unresolved_records
HSBP1012C00101,,DEFINITIVE CONTRACT,2012-09-14,2016-03-13,2021-03-13,646781.94,,646781.94,737205.00,,NOT COMPETED,1,0,"RGV-EH;RGV-CB;RGV-BR","RGV multi-facility predecessor; East Hidalgo / Coastal Bend / Brooks are probable, but the award-to-facility allocation is not explicit in the available action data","79-12-0015;79-12-0013;79-07-0006",probable,"Predecessor; P00006 novated the LCS award to GEO","USAspending action history; SEC 2015 asset-purchase schedule names HSBP1012C00101 as an LCS-to-DHS-CBP Novated Contract and identifies LCS-HIDALGO, LCS-NUECES, and LCS-BROOKS entities","Original award/SOW; facility CLIN allocation; rates; invoices; J&A"
HSBP9861659693,,DEFINITIVE CONTRACT,2016-04-01,2016-04-30,2016-04-30,16401.28,,16401.28,16401.28,,NOT COMPETED,1,0,"RGV-EH;RGV-CB;RGV-BR","RGV temporary-jail-space bridge; exact facility allocation unresolved","probable same RGV IGA bundle",probable,"One-month bridge between HSBP1012C00101 and HSBP1016P00277","USAspending description says PCARD FOR TEMP JAIL SPACE PENDING NEW CONTRACT; dates are exactly between predecessor end and successor start","Card/invoice package; named facilities; rates; approval/ratification record"
HSBP1016P00277,,PURCHASE ORDER,2016-05-01,2020-04-30,2020-04-30,833449.72,,833449.72,845956.19,HSBP1016Q0062,NOT COMPETED UNDER SAP,1,0,"RGV-EH;RGV-CB","East Hidalgo is strongly mapped by La Villa place of performance; P00005 expressly names Coastal Bend","79-12-0015;79-12-0013",high,"Successor RGV bundle; predecessor to 70B03C20P00000219","USAspending transaction history, including P00005 Coastal Bend funding and RGV option-year descriptions","Solicitation/SOW; complete facility schedule; rates; invoices; Brooks inclusion, if any"
70B03C20P00000219,,PURCHASE ORDER,2020-05-01,2024-10-31,2024-10-31,585781.54,114783.63,585781.54,987051.30,70B03C20R00000062,NOT COMPETED,1,0,"RGV-EH;RGV-CB;RGV-BR","East Hidalgo Detention Center; Coastal Bend Detention Center; Brooks County Detention Center","79-12-0015;79-12-0013;79-07-0006",confirmed,"Three-facility bundled continuation of RGV detention-space requirement","USAspending P00002 names all three facilities; official SAM opportunity page UUID 056bdea3f8bc436a8c3a4b1a25176aae; official USMS IGA PDFs","J&A promised after award; SOW/price schedule; numeric rate-mod packages; invoices; utilization"
70B03C23P00000166,,PURCHASE ORDER,2023-05-01,2024-04-30,2024-04-30,142298.68,142298.68,142298.68,142298.68,,NOT COMPETED,1,0,RGV-EH,"East Hidalgo Detention Center; Hidalgo/Edinburg place, USMS-IGA per-diem description, and P00003 CBA UPDATE-HIDALGO","79-12-0015",high,"East-Hidalgo-focused follow-on/bridge after the bundled award","USAspending award and action history; official East Hidalgo USMS IGA","Original award/SOW; solicitation/J&A; numeric current rate; invoices"
70B03C24C00000054,,DEFINITIVE CONTRACT,2024-07-09,2027-06-30,2028-06-30,857297.98,378239.77,857297.98,1175318.50,70B03C24Q00000075,NOT COMPETED,1,0,RGV-EH,"East Hidalgo Detention Center; La Villa place matches the facility address","79-12-0015",high,"Current East-Hidalgo detention-space follow-on; P00002 changed daily rate and P00006 exercised OY2","USAspending/HigherGov detail and actions; official USMS IGA; GEO facility page","Solicitation/SOW; sole-source justification; numeric rates; guarantees; invoices/utilization"
70B03C24P00000592,,PURCHASE ORDER,2024-09-26,2024-12-05,2024-12-05,31955.33,31955.33,31955.33,31955.33,,NOT COMPETED UNDER SAP,1,0,RGV-EH,"East Hidalgo Detention Center; La Villa place and overlap with 70B03C24C00000054","79-12-0015",high,"Short ratification action within the East-Hidalgo chain","USAspending award/action history says DETENTION SPACE-RATIFICATION","Ratification determination; invoice(s) ratified; rate and date-of-unauthorized-commitment record"
70B03C25P00000029,,PURCHASE ORDER,2024-12-01,2025-03-21,2025-03-21,0.00,,0.00,0.00,70B03C25Q00000041,NOT COMPETED,1,0,VALVERDE,"Val Verde County Detention Facility, Del Rio","80-98-0061",confirmed,"Direct-GEO bridge replaced by County-of-Val-Verde prime 70B03C25P00000150","USAspending P00001 deobligates $9,899.85 and says REPLACE WITH 03C25P0150; successor starts the same day","Original award/SOW; reason for recipient-structure change; current county-GEO operating agreement; invoices"
HSBP1015P00762,,PURCHASE ORDER,2015-09-17,2020-09-16,2020-09-16,2711.07,,12711.07,52711.07,HSBP1015Q0195,NOT COMPETED,1,0,SVC-HYGIENE,"RGV Border Patrol detainee hygiene service; no detention facility is named","not applicable",confirmed,"Service-only chain; excluded from detention-facility denominator","USAspending descriptions repeatedly identify detainee hygiene services for RGV BP","Solicitation/SOW; delivery locations; invoices; product/service quantities"
HSBP1016J00076,HSBP1012A00025,BPA CALL,2015-10-01,2016-11-29,2016-11-29,12427.00,,12427.00,12427.00,,COMPETED UNDER SAP,1,0,MAVERICK,"Maverick County Detention Facility, Eagle Pass; medium-confidence synthesis from award place, GEO BPA, and IGA facility addition","80-99-0219",medium,"Maverick detention-space call under GEO housing/lodging BPA; facility mapping does not establish 2016 operator or owner status","USAspending call/parent detail; HigherGov parent BPA; official USMS IGA modification adds Maverick County Detention Facility at Eagle Pass; SEC termination/acquisition time boundary","Call package; 2016 rate; invoice/bed-day detail; definitive facility name on the call; 2016 operator and owner evidence"
