action_date,award_id,parent_vehicle,parent_start,parent_days_from_engagement_start,scope,within_engagement,action_obligation,competition_or_vehicle_note,nexus_result,source_url
2025-08-01,70CDCR25FR0000096,70CDCR25D00000009,2025-03-18,-148,North Lake detention,false,17999289,"Urgency; one offer","Base task awarded 12 days before Checkmate effective date",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000096_7012_70CDCR25D00000009_7012
2025-08-12,70CDCR25FR0000091,70CDCR20D00000012,2020-08-06,-1833,South Texas detention,false,10260749.45,"Incumbent single-award IDV","Base task awarded one day before Checkmate effective date",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000091_7012_70CDCR20D00000012_7012
2025-08-28,70CDCR25FR0000100,70CDCR21D00000004,2021-08-27,-1447,Broward detention/transport,true,2637300,"Incumbent single-award IDV","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000100_7012_70CDCR21D00000004_7012
2025-09-24,70CDCR25FR0000111,70CDCR22D00000001,2021-10-16,-1397,Aurora detention/transport/medical,true,6103000,"Incumbent single-award IDV","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000111_7012_70CDCR22D00000001_7012
2025-09-29,70CDCR25FR0000097,HSCEDM17D00009,2017-04-12,-3045,Montgomery detention/transport,true,10038100,"Full/open parent; three offers","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000097_7012_HSCEDM17D00009_7012
2025-09-30,70CDCR25FR0000127,70CDCR25D00000062,2025-09-30,48,ISAP V electronic monitoring,true,21966324.91,"Full/open parent; two offers","Post-start parent is not detention-center work and LDA does not name ISAP",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000127_7012_70CDCR25D00000062_7012
2025-12-18,70CDCR26FR0000021,70CDCR26D00000005,2025-12-16,125,Skip tracing,true,1624500,"Full/open parent; 51 offers","Post-start parent is not detention-center work",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FR0000021_7012_70CDCR26D00000005_7012
2026-01-09,70CDCR26FR0000002,70CDCR25D00000002,2025-02-28,-166,Western ground transport,true,10384455.59,"Full/open parent; eight offers","Parent vehicle predates engagement and is not detention-center work",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FR0000002_7012_70CDCR25D00000002_7012
2026-01-27,70CDCR26FR0000028,70CDCR20D00000009,2019-12-20,-2063,Adelanto detention/transport,true,20134000,"Incumbent single-award IDV","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FR0000028_7012_70CDCR20D00000009_7012
2026-01-28,70CDCR26FR0000031,70CDCR20D00000009,2019-12-20,-2063,Desert View detention,true,9292800,"Incumbent single-award IDV","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FR0000031_7012_70CDCR20D00000009_7012
2026-02-03,70CDCR26FR0000042,70CDCR20D00000008,2019-12-19,-2064,Mesa Verde/Golden State detention,true,16762626.49,"Incumbent single-award IDV","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FR0000042_7012_70CDCR20D00000008_7012
2026-03-18,70CDCR26FR0000050,70CDCR25D00000007,2025-03-01,-165,Delaney Hall detention/transport,true,5670000,"Full/open parent; two offers","Parent vehicle predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FR0000050_7012_70CDCR25D00000007_7012
2026-03-23,70CDCR26FC0000002,HSCEDM14A00001,2013-12-17,-4257,Rio Grande detention/transport,true,2667900,"BPA call; one offer","Parent agreement predates engagement",https://www.usaspending.gov/award/CONT_AWD_70CDCR26FC0000002_7012_HSCEDM14A00001_7012
