manifest_name,manifest_source_class,manifest_basis,alias_relationship,canonical_identity_id,canonical_legal_name,is_fy2025_exhibit22_guarantor,exact_current_sam_name_match_count,uei,cage,federal_legal_business_name,dba,sam_status,sam_evidence_as_of,registration_date,registration_expiration_date,registration_last_update_date,registration_activation_date,address,primary_naics,highergov_awardee_key,highergov_parent_key,dhs_action_count_2015_2026,ice_recipient_in_verified_bounded_dhs_scan,coverage_class,unresolved_or_caution,primary_source_refs
"ADAPPT, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-001-adappt-llc,"ADAPPT, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Arapahoe County Residential Center, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-002-arapahoe-county-residential-center-l,"Arapahoe County Residential Center, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
BI Incorporated,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-003-bi-incorporated,BI Incorporated,yes,1,PKK6L9KLMYR5,3CUH9,B.I. INCORPORATED,,Active,2026-03-01 monthly public extract,2002-12-11,2026-11-13,2025-11-17,2025-11-17,6265 GUNBARREL AVE | STE B | BOULDER | CO | 80301,333998,10147020,10000076,166,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:PKK6L9KLMYR5
Behavioral Acquisition Corp.,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-004-behavioral-acquisition-corp,Behavioral Acquisition Corp.,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
Behavioral Holding Corp.,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-005-behavioral-holding-corp,Behavioral Holding Corp.,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"BI Mobile Breath, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-006-bi-mobile-breath-inc,"BI Mobile Breath, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
BII Holding Corporation,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-007-bii-holding-corporation,BII Holding Corporation,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
BII Holding I Corporation,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-008-bii-holding-i-corporation,BII Holding I Corporation,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Broad Real Estate Holdings, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-009-broad-real-estate-holdings-llc,"Broad Real Estate Holdings, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CCC Wyoming Properties, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-010-ccc-wyoming-properties-llc,"CCC Wyoming Properties, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CCMAS, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-011-ccmas-llc,"CCMAS, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CEC Intermediate Holdings, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-012-cec-intermediate-holdings-llc,"CEC Intermediate Holdings, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CEC Parent Holdings, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-013-cec-parent-holdings-llc,"CEC Parent Holdings, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CEC Staffing Solutions, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-014-cec-staffing-solutions-llc,"CEC Staffing Solutions, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CiviGenics, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-015-civigenics-inc,"CiviGenics, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
