facility_context_id,facility,operator,comparison_role,contract_path,master_piid,award_action_piid,source_period,capacity_beds,surge_capacity_beds,capacity_definition,guarantee_evidence_class,guaranteed_min_beds,prior_guaranteed_min_beds,guarantee_bed_days,guarantee_scope_note,fixed_charge_terms,minimum_per_diem_usd,above_min_per_diem_usd,occupancy_metric,occupancy_beds,occupancy_period,minimum_capacity_ratio_pct,ratio_formula,derived_unused_guaranteed_beds,unused_formula,unused_capacity_payment_usd,unused_payment_posture,award_action_obligation_usd,award_action_label,deduction_credit_posture,modification_status,source_posture,primary_source_ref,primary_source_url,primary_quote,finding_ids,assumption_gap,cross_facility_comparison
golden-2022-23,"Golden State Annex","The GEO Group, Inc.","GEO numeric-minimum case","direct ICE prime","70CDCR20D00000008","70CDCR26FR0000042","2022-04-20/2023-04-19",,,,"A_numeric_guarantee",560,,204400,"560-bed minimum appears in each overlapping contract-year CLIN; 204,400 is a normal contract-year quantity, not the OIG review-period bed-day denominator.","Bed-day rates and amounts redacted",,,"average daily population",136,"2022-04-20/2023-04-19",,,424,"560 - 136 = 424 average unused guaranteed beds; no independent dollar derivation",25300000,"Approximate actual payment explicitly attributed by DHS OIG to unused bed space for the 12-month review period",41167972.72,"FY2026 task-order action obligation shared with Mesa Verde; do not allocate or double-count as Golden revenue/payment","No invoice-level deduction or credit recovered","DHS OIG recommended an appropriate revised minimum; reviewed public package does not disclose a later numeric revision","Contract + DHS OIG + award-action ledger","ICEFOIA:70CDCR20D00000008#p5; DHS-OIG:OIG-24-23#p9","https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000008_org_MesaVerdeIPC_BakersfieldCA.pdf; https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf","Guaranteed Minimum (1-560 beds); ICE paid approximately $25.3 million for unused bed space.","12398;12642;12644","Invoices, daily availability, rate schedule, and Rec 7 closeout modification absent","Valid within-facility unused-bed comparison; not a rate benchmark because rate is redacted"
mesa-verde-2023,"Mesa Verde ICE Processing Center","The GEO Group, Inc.","GEO numeric-minimum case","direct ICE prime","70CDCR20D00000008","70CDCR26FR0000042","three months preceding 2023 OIG visit",,,,"A_numeric_guarantee",320,,116800,"Original/option CLIN documents 320; contractor entitlement also depends on beds being made available each day.","Bed-day rates and amounts redacted",,,"average daily population",47,"three months preceding 2023 OIG visit",,,,"Not computed: the OIG observation does not establish daily availability of all 320 guaranteed beds or an invoice period",,"No facility-specific unused-capacity payment quantified",41167972.72,"FY2026 task-order action obligation shared with Golden State; same dollar appears on both facility rows and must be counted once","No invoice-level deduction or credit recovered","No current facility-specific guarantee modification recovered","Contract + DHS OIG + award-action ledger","ICEFOIA:70CDCR20D00000008#p5; DHS-OIG:OIG-24-23#p10","https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000008_org_MesaVerdeIPC_BakersfieldCA.pdf; https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf","Mesa Verde Detention Services Guaranteed Minimum (1 to 320 beds); Mesa Verde housed an average of 47 detainees per day.","12643","Daily bed availability, task-order rate, and facility allocation of the shared action are absent","Guarantee count is comparable as a contract term; unused economics are not"
adelanto-base,"Adelanto ICE Processing Center","The GEO Group, Inc.","GEO numeric-minimum case","direct ICE prime","70CDCR20D00000009","70CDCR26FR0000028","2019-12-20/2024-12-19",,,,"A_numeric_guarantee",1455,,531075,"Ordinary-year minimum tier; above-minimum tier is beds 1,456-1,940, which is not treated as a capacity definition.","Guaranteed Transportation Monthly Fee exists; rate redacted",,,"not recovered",,,,,,"Not computed: no period-compatible occupancy and rate",,"No unused-capacity payment quantified",86404000.00,"FY2026 detention/transportation task-order action obligation; not an invoice or GEO revenue","No actual deduction or credit recovered","P00006 revised the transportation fee at a redacted rate; current bed minimum not independently confirmed from the funded task order","Contract + award-action ledger","ICEFOIA:70CDCR20D00000009#p5","https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000009_org_AdelantoDetFac_AdelantoCA.pdf","Adelanto Detention Bed Day Rate Guaranteed Minimum 1 to 1,455 beds ... 531,075 Beds.","12645","Current funded CLIN schedule, occupancy, invoices, rates, and deductions absent","Numeric guarantee is a contract-term comparator only"
desert-view-original,"Desert View Annex","The GEO Group, Inc.","GEO superseded numeric-minimum case","direct ICE prime","70CDCR20D00000009","70CDCR26FR0000031","2020-08-20/2020-10-25",,,,"A_numeric_original_later_redacted",600,,219000,"Original CLIN stated 600; P00004 changed the guaranteed minimum effective 2020-10-26 but redacts the new quantity. Above-minimum tier 601-750 is not treated as capacity.","Rates and amounts redacted",,,"not recovered",,,,,,"Not computed: the disclosed 600-bed term was superseded and no compatible occupancy/rate is public",,"No unused-capacity payment quantified",17972900.00,"FY2026 Desert View task-order action obligation; not evidence that the original 600-bed minimum remained in force","No actual deduction or credit recovered","P00004 changed CLIN 0002A guaranteed beds effective 2020-10-26; replacement quantity redacted","Original contract + modification + award-action ledger","ICEFOIA:70CDCR20D00000009#p5; ICEFOIA:70CDCR20D00000009-P00004","https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000009_org_AdelantoDetFac_AdelantoCA.pdf","Desert View Detention Services Guaranteed Minimum (1-600 beds); modification changed CLIN 0002A ... effective 10/26/2020 [quantity redacted].","12646","Replacement guarantee, occupancy, rate, invoices, and deductions absent","Historical numeric term only; cannot support current comparison"
aurora-redacted,"Aurora Contract Detention Facility","The GEO Group, Inc.","GEO redacted-guarantee case","direct ICE prime","HSCEDM11D00003; later 70CDCR22D00000001","70CDCR25FR0000111","reviewed bundle through 2016; action through 2026-08-15",,,,"B_guarantee_CLIN_quantity_rate_redacted",,,,"Minimum-quantity and above-minimum CLINs are present, but bed counts and rates are redacted.","Monthly Flat Fixed Fee for transportation; amount redacted",,,"not recovered",,,,,,"Not computed: numeric minimum, rate, and occupancy absent",,"No unused-capacity payment quantified",66893395.00,"Current task-order action obligation; award action only, not an invoice or guarantee payment","No actual deduction or credit recovered","Reviewed historical bundle does not expose current funded CLIN schedule","Contract structure + award-action ledger","ICEFOIA:HSCEDM11D00003-P00018#min-CLIN; #transport-CLIN","https://www.ice.gov/doclib/foia/detFacContracts/HSCEDM11D00003_P00016_DenverCDF_AuroraCO.pdf","Bed Day Rate For Minimum Quantity ... [quantity redacted]; TRANSPORTATION SERVICES - Monthly Flat Fixed Fee.","12654;12655","Numeric guarantee, capacity, occupancy, rate, invoices, and actual remedies absent","Structure is comparable; economics are not"
tacoma-2012,"Northwest ICE Processing Center (Tacoma)","The GEO Group, Inc.","GEO historical numeric-minimum/control case","direct ICE prime","historical contract not identified in inspection; current 70CDCR26D00000026","70CDCR26FR0000055","2012-01-10/2012-01-12",1579,,"total bed capacity in same ICE inspection","A_numeric_guarantee",1181,,,"Historical inspection states a minimum population, not a current rate schedule.","Minimum-population per-diem",100.65,62.52,"inspection population",1358,"2012-01-10/2012-01-12",74.8,"1181 / 1579 = 74.8%",0,"max(1181 - 1358, 0) = 0 for inspection snapshot only",,"No unused-capacity payment; inspection population exceeded minimum by 177",39042746.99,"FY2026 task-order action obligation from a different contract period; not combined with 2012 terms","No actual deduction or credit recovered","Current guarantee/rate not recovered; 2012 terms are historical","ICE inspection + current award-action ledger","ICEODO:OPR-20120440#exec-summary","https://www.ice.gov/doclib/foia/odo-compliance-inspections/2012northwest-detention-center-tacoma-wa-jan10-12.pdf","ICE must maintain a minimum population of 1,181 detainees at a rate of $100.65 per day; $62.52 per day above 1,181.","12647;12648","Current contract minimum/rate, period ADP, invoices, and deductions absent","Valid historical same-record ratio and snapshot control; not current or period-payment comparable"
south-texas-redacted,"South Texas ICE Processing Center","The GEO Group, Inc.","GEO redacted-guarantee case","direct ICE prime","HSCEDM12D00001; later 70CDCR20D00000012","70CDCR25FR0000091","2011-12-26/2016-11-30 contract; action through 2026-08-05",1800,1900,"full operational capacity; emergency surge capacity in same PWS","B_guarantee_CLIN_quantity_rate_redacted",,,,"Separate guaranteed-minimum, above-minimum, and surge CLINs exist; quantities/rates are redacted.","Transportation services fixed rate; amount redacted",,,"not recovered",,,,,,"Not computed: numeric minimum, occupancy, and rate absent",,"No unused-capacity payment quantified",57517165.28,"FY2026 task-order action obligation; not an invoice or guarantee payment","QASP authorizes recoverable withholdings and nonrecoverable deductions; no actual application/amount recovered","Reviewed historical contract does not expose current funded CLIN schedule","Contract/PWS/QASP + award-action ledger","ICEFOIA:HSCEDM12D00001#CLIN0001; #PWS-B; #QASP-p3","https://www.ice.gov/doclib/foia/contracts/GEO%20Group-%20HSCEDM12D00001.pdf","0001 Detention Services Guaranteed Minimum (b)(4); operate a 1,800-bed facility with surge up to approximately 1,900.","12650;12651;12656","Numeric minimum, rate, occupancy, invoices, and actual remedy records absent","Capacity definition is usable; guarantee economics are not"
folkston-ipc-fy2021,"Folkston ICE Processing Center","The GEO Group, Inc.","GEO no-public-guarantee case","Charlton County IGSA to GEO subcontract","EROIGSA-17-0002","P00022","FY2021",780,,"maximum capacity in DHS OIG report","D_no_guarantee_term_in_reviewed_records",,,,"P00022 and OIG report do not disclose a numeric guarantee or rate.","not recovered",,,"average daily population",286,"FY2021",,,,"Not computed: capacity minus ADP is not a guaranteed-unused-bed measure",,"DHS OIG says full contract funding continued without consequence, but gives no dollar amount",,"IGSA modification action text only; no usable obligation/invoice amount","ICE attempted staffing penalties but did not enforce them; facility continued full contract funding without consequence","P00022 extends performance to 2027-02-15; base IGSA/task orders and pricing absent","DHS OIG + partial IGSA modification","DHS-OIG:OIG-22-47#p3,#p17; ICEFOIA:EROIGSA-17-0002-P00022","https://www.oig.dhs.gov/sites/default/files/assets/2022-06/OIG-22-47-Jun22.pdf; https://www.ice.gov/doclib/foia/detFacContracts/EROIGSA170002_P00022_FolkstonIPC_CharlstonCo_IGSA_FolkstonGA.pdf","FY2021 ADP 286 / maximum capacity 780; full contract funding without consequence.","12425;12427;12652;12667","Base IGSA, task orders, guarantee/rate, invoices, and actual remedy amounts absent","Occupancy/capacity context only; no guaranteed-minimum economics"
folkston-annex-fy2021,"Folkston Annex","The GEO Group, Inc.","GEO no-public-guarantee case","Charlton County IGSA to GEO subcontract","EROIGSA-17-0002","P00022","FY2021",338,,"maximum capacity in DHS OIG report","D_no_guarantee_term_in_reviewed_records",,,,"P00022 and OIG report do not disclose a numeric guarantee or rate.","not recovered",,,"average daily population",88,"FY2021",,,,"Not computed: capacity minus ADP is not a guaranteed-unused-bed measure",,"No facility-specific unused-capacity payment quantified",,"IGSA modification action text only; no usable obligation/invoice amount","Shared Folkston remedy posture: attempted penalties not enforced; full funding without consequence","P00022 extends performance to 2027-02-15; base IGSA/task orders and pricing absent","DHS OIG + partial IGSA modification","DHS-OIG:OIG-22-47#p3; ICEFOIA:EROIGSA-17-0002-P00022","https://www.oig.dhs.gov/sites/default/files/assets/2022-06/OIG-22-47-Jun22.pdf; https://www.ice.gov/doclib/foia/detFacContracts/EROIGSA170002_P00022_FolkstonIPC_CharlstonCo_IGSA_FolkstonGA.pdf","Folkston Annex had a daily average of 88 detainees with a maximum capacity of 338.","12425;12652","Base IGSA, task orders, guarantee/rate, invoices, and facility allocation absent","Occupancy/capacity context only; no guaranteed-minimum economics"
lasalle-2007-control,"LaSalle Detention Facility / Alexandria Processing Center","The GEO Group, Inc.","GEO zero-minimum disconfirming control","LEDD federal IGSA to GEO operating agreement","DROIGSA-07-0015",,"2007-04-01 agreement",1160,,"416 existing plus 744 expansion in same operating agreement","C_explicit_no_state_or_LEDD_minimum",0,,,"No minimum guaranteed by the State or LEDD; this does not establish whether ICE had a separate federal minimum under the unrecovered IGSA.","LEDD passes ICE per-diem structure to GEO; federal rate absent",,,"not recovered",,,0.0,"0 / 1160 = 0% for State/LEDD guarantee scope only",,"No unused-bed computation because the local operating agreement disclaims a minimum",,"No unused-capacity payment quantified",,"No structured direct-prime action assigned","No actual deduction or credit recovered","Post-2010 local amendments and federal base/task orders not recovered","Local operating agreement; disconfirming control","MUCKROCK:LEDD_Agreement_4-1-2007#4.8","https://cdn.muckrock.com/foia_files/2015/08/19/LEDD_Agreement_4-1-2007.pdf","Neither the State nor LEDD guarantees any minimum number of Detainees will be assigned to the Facility.","12435;12657","Federal IGSA minimum/rate, occupancy, invoices, and later amendments absent","Disconfirms any universal GEO local-agreement minimum; not proof of zero federal ICE commitment"
