date,event_or_document,court_or_agency,docket_or_id,document,position_or_holding,status_at_cutoff,public_source,coverage_note
2004-04,"NWIPC opened under original federal detention contract, according to complaint",ICE / W.D. Wash.,3:23-cv-05626,ECF 1 complaint,Party allegation,Historical allegation not adjudicated,https://www.courtlistener.com/docket/67606656/1/the-geo-group-inc-v-inslee/,Complaint fully read; month precision only
2005,"GEO acquired Corrections Services Corporation, facility, and contract, according to complaint",W.D. Wash.,3:23-cv-05626,ECF 1 complaint,Party allegation,Historical allegation not adjudicated,https://www.courtlistener.com/docket/67606656/1/the-geo-group-inc-v-inslee/,Complaint fully read; year precision only
2015-09-24,"ICE contract HSCEDM-15-D-00015 signed, according to complaint",ICE / W.D. Wash.,3:23-cv-05626,ECF 1 complaint,Party allegation,"Complaint says effective 2015-09-28 and modified to run through 2025-09-27",https://www.courtlistener.com/docket/67606656/1/the-geo-group-inc-v-inslee/,Historical contract exhibit not independently revalidated in this pass
2023-07-13,"GEO filed constitutional and preemption complaint challenging HB 1470",W.D. Wash.,3:23-cv-05626,ECF 1 complaint,Party pleading,District case remains open,https://www.courtlistener.com/docket/67606656/1/the-geo-group-inc-v-inslee/,Full complaint read
2023-11-13,DOH filed CR-101 to begin Chapter 246-385 rulemaking,Washington DOH,Chapter 246-385 WAC,CR-101,Agency record,Draft rulemaking ongoing at cutoff,https://doh.wa.gov/about-us/executive-offices/health-and-science/environmental-public-health/rulemaking/private-detention-facilities,Agency page reviewed
2023-12-19,"Washington DOH filed state access action No. 23-2-04215-34",Thurston County Superior Court,23-2-04215-34,Complaint,Related proceeding,Later removed/refiled in federal court,https://www.courtlistener.com/docket/69016834/state-of-washington-department-of-health-v-the-geo-group-inc/,Related docket cataloged
2024-03-08,"District court preliminarily enjoined enforcement of HB 1470 §§2, 3, 5, and 6 against GEO",W.D. Wash.,3:23-cv-05626,ECF 35 / cluster 10244618,Judicial holding,Vacated by Ninth Circuit,https://www.courtlistener.com/opinion/10244618/the-geo-group-inc-v-inslee/,Full opinion read
2024-04-15,District court denied State reconsideration,W.D. Wash.,3:23-cv-05626,ECF 42 / cluster 10244910,Judicial holding,Later injunction vacated,https://www.courtlistener.com/opinion/10244910/the-geo-group-inc-v-inslee/,Full opinion read
2024-04-29,Washington appealed initial preliminary injunction,Ninth Circuit,24-2815,District ECF 43,Procedural event,Appeal decided and mandate issued,https://www.courtlistener.com/docket/69046095/the-geo-group-inc-v-inslee-et-al/,Notice available
2024-07-18,GEO filed answering brief,Ninth Circuit,24-2815,ECF 29,Party position,Resolved by merits opinion,https://www.courtlistener.com/docket/69046095/29/the-geo-group-inc-v-inslee-et-al/,Full brief read
2024-07-25,United States filed amicus brief supporting GEO on discrimination issue only,Ninth Circuit,24-2815,ECF 34,Amicus position,Comparator position rejected by panel,https://www.courtlistener.com/docket/69046095/34/the-geo-group-inc-v-inslee-et-al/,Full brief read
2025-05-12,HB 1232 amendments took effect,Washington Legislature,Chapter 235 Laws of 2025,2E2SHB 1232,Statutory amendment,Current law at cutoff,https://lawfilesext.leg.wa.gov/Biennium/2025-26/Htm/Bills/Session%20Laws/House/1232-S2.SL.htm,Official session law reviewed
2025-05-23,GEO moved to remand after HB 1232,Ninth Circuit,24-2815,ECF 63,Party position,Granted in part,https://www.courtlistener.com/docket/69046095/63/1/the-geo-group-inc-v-inslee-et-al/,Full motion read
