layer,instrument,modification,public_action_date,stated_effective_date,transaction_amount_usd,facility_scope,quantity_change,rate_change,funding_change,pop_change,administration_or_terms,classification,evidentiary_limit,source_ref
master_idv,70CDCR20D00000008,P00012,2024-04-30,,,All facilities,no,no,no,no,COR change,administration_only,"USAspending description; official SF-30 in ICE bundle",USAspending:70CDCR20D00000008/P00012
master_idv,70CDCR20D00000008,P00013,2024-05-02,,,All facilities,no,rate_basis_only,no,no,incorporate CBA and MOU,labor_terms_rate_basis,"No numeric CLIN rate published",ICEFOIA:70CDCR20D00000008/P00013
master_idv,70CDCR20D00000008,P00014,2024-05-30,2023-12-20,,Golden State and other IDV facilities,no,yes,no,no,REA under FAR 52.222-43,rate,"Golden GM bed-day rate identified but numeric rate/quantity/amount redacted",ICEFOIA:70CDCR20D00000008/P00014
master_idv,70CDCR20D00000008,P00015,2024-08-08,,,Mesa Verde and Golden State,no,no,no,no,PBNDS personal-hygiene waiver,detention_standard_terms,"No quantity or rate change stated",ICEFOIA:70CDCR20D00000008/P00015
master_idv,70CDCR20D00000008,P00016,2024-12-18,2024-12-20,,Mesa Verde Golden State and Central Valley,"CLIN carried; count redacted in mod",schedule_carried_redacted,no,yes,exercise Option One,pop_and_clin_schedule,"Later ICE FY25/FY26 statistics establish Golden GM remained 560; P00016 itself redacts count/rates",ICEFOIA:70CDCR20D00000008/P00016
master_idv,70CDCR20D00000008,P00017,2025-03-05,,,All facilities,no,no,no,no,add COR and ACOR,administration_only,"No quantity/rate/funding/POP change stated",ICEFOIA:70CDCR20D00000008/P00017
master_idv,70CDCR20D00000008,P00018,2025-06-02,2024-12-20,,Mesa Verde Golden State and Central Valley,no,yes,no,no,"wage-determination REA; all other terms remain same",rate,"Signed 2025-05-29; rates and retroactive-payment amount redacted",ICEFOIA:70CDCR20D00000008/P00018
master_idv,70CDCR20D00000008,P00019,2025-08-22,,,Mesa Verde and Golden State,no,no,no,no,delete transgender language under executive order,contract_terms,"Signed 2025-08-21; no quantity/rate change stated",ICEFOIA:70CDCR20D00000008/P00019
master_idv,70CDCR20D00000008,P00020,2025-09-08,,,Mesa Verde and Golden State,no,no,no,no,PBNDS hold-room waiver,detention_standard_terms,"No quantity/rate change stated",ICEFOIA:70CDCR20D00000008/P00020
master_idv,70CDCR20D00000008,P00021,2025-12-17,,,Mesa Verde and Golden State,no,rate_basis_only,no,no,update wage determination revision 29,labor_terms_rate_basis,"No numeric CLIN rate change published",ICEFOIA:70CDCR20D00000008/P00021
master_idv,70CDCR20D00000008,P00022,2026-04-21,,,Mesa Verde and Golden State,no,yes,no,no,wage-determination REA,rate_related_details_unavailable,"USAspending description only; not in ICE FOIA Library as of 2026-07-13",USAspending:70CDCR20D00000008/P00022
task_order,70CDCR24FR0000010,P00005,2024-05-03,,9332174.45,Mesa Verde and Golden State,no,no,yes,no,COR change,funding_and_administration,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR24FR0000010/P00005
task_order,70CDCR24FR0000010,P00006,2024-06-14,,4678531.60,Mesa Verde and Golden State,no,no,yes,no,,funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR24FR0000010/P00006
task_order,70CDCR24FR0000010,P00007,2024-07-09,,14814014.63,Mesa Verde and Golden State,no,no,yes,no,,funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR24FR0000010/P00007
task_order,70CDCR24FR0000010,P00008,2024-09-27,,315800.00,Mesa Verde and Golden State,no,no,yes,no,,funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR24FR0000010/P00008
task_order,70CDCR24FR0000010,P00009,2024-10-31,,12644764.00,Mesa Verde,no,no,yes,no,,mesa_specific_funding,"Obligation; not invoice/payment",USAspending:70CDCR24FR0000010/P00009
task_order,70CDCR24FR0000010,P00010,2025-03-19,,-412389.51,Mesa Verde,no,no,yes,no,closeout,mesa_specific_deobligation,"Cannot be labeled Golden savings or credit",USAspending:70CDCR24FR0000010/P00010
task_order,70CDCR25FR0000013,0,2024-12-20,,4936059.23,Mesa Verde and Golden State,no,no,yes,annual_order_established,,funding_and_order_establishment,"Obligation; public description does not disclose CLIN quantities/rates",USAspending:70CDCR25FR0000013/0
task_order,70CDCR25FR0000013,P00001,2025-02-13,,4956515.81,Mesa Verde and Golden State,no,no,yes,no,,funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR25FR0000013/P00001
task_order,70CDCR25FR0000013,P00002,2025-03-05,,15457395.19,Mesa Verde and Golden State,no,no,yes,no,,shared_funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR25FR0000013/P00002
task_order,70CDCR25FR0000013,P00003,2025-04-23,,5224367.92,Mesa Verde and Golden State,no,no,yes,no,,shared_funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR25FR0000013/P00003
task_order,70CDCR25FR0000013,P00004,2025-05-21,,8576503.00,Mesa Verde and Golden State,no,no,yes,no,,shared_funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR25FR0000013/P00004
task_order,70CDCR25FR0000013,P00005,2025-09-22,,11324797.31,Mesa Verde and Golden State,no,no,yes,no,,shared_funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR25FR0000013/P00005
task_order,70CDCR25FR0000013,P00006,2026-01-22,,15715124.26,Mesa Verde and Golden State,no,no,yes,no,,shared_funding,"Obligation; not invoice/payment/facility allocation",USAspending:70CDCR25FR0000013/P00006
