date,date_role,instrument,modification,facility_scope,event,guaranteed_minimum_beds,monetary_amount_usd,monetary_label,rate,evidentiary_limit,source_ref,url
2022-04-20,review_period_start,OIG-24-23,,Golden State Annex,"OIG analysis period begins; daily population and bed-rate costs reviewed",560,,none,redacted,"No monthly invoice or payment voucher disclosed",OIG-24-23#scope,https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf
2022-05-24,obligation_action,70CDCR22FR0000012,P00004,"Mesa Verde and Golden State","Add funding for detention services",,13519151.05,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR22FR0000012/P00004,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012
2022-08-02,obligation_action,70CDCR22FR0000012,P00005,"Mesa Verde and Golden State","Add funding for detention services",,4424299.90,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR22FR0000012/P00005,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012
2022-09-01,obligation_action,70CDCR22FR0000012,P00006,"Mesa Verde and Golden State","Add funding for detention services",,4424300.00,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR22FR0000012/P00006,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012
2022-09-06,obligation_action,70CDCR22FR0000012,P00007,"Mesa Verde and Golden State","Add funding for detention services",,4320399.41,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR22FR0000012/P00007,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012
2022-11-02,obligation_action,70CDCR22FR0000012,P00008,"Mesa Verde and Golden State","Add funding for detention services",,11373002.00,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR22FR0000012/P00008,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012
2022-12-19,obligation_action,70CDCR23FR0000009,0,"Mesa Verde and Golden State","New annual task order",,4611194.00,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR23FR0000009/0,https://www.usaspending.gov/award/CONT_AWD_70CDCR23FR0000009_7012_70CDCR20D00000008_7012
2023-02-13,obligation_action,70CDCR23FR0000009,P00001,"Mesa Verde and Golden State","Increase task-order funding",,10760881.83,obligation,not_applicable,"Shared award; not an invoice, payment, or Golden allocation",USAspending:70CDCR23FR0000009/P00001,https://www.usaspending.gov/award/CONT_AWD_70CDCR23FR0000009_7012_70CDCR20D00000008_7012
2023-03-16,deobligation_action,70CDCR22FR0000012,P00009,"Mesa Verde and Golden State","Deobligate excess funds and close out",,-314767.05,deobligation,not_applicable,"Shared closeout; cannot be labeled Golden savings or credit",USAspending:70CDCR22FR0000012/P00009,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012
2023-04-19,review_period_end,OIG-24-23,,Golden State Annex,"OIG review ends; ADP 136 and approximately $25.3 million paid for unused bed space",560,25300000.00,oig_reported_approximate_actual_unused_bed_payment,not_disclosed,"Amount is OIG's reported actual approximate payment; no implied rate",OIG-24-23#pp7-8,https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf
2024-04-18,report_and_recommendation,OIG-24-23,Recommendation 7,Golden State Annex,"Review and update contract and determine appropriate guaranteed minimum",560,,none,not_disclosed,"Initially resolved and open; ICE estimated completion 2024-11-29",OIG-24-23#pp13-14,https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf
2024-05-30,executed_rate_modification,70CDCR20D00000008,P00014,Golden State Annex,"Change Golden State Annex GM detention bed-day rate; effective 2023-12-20",560,,contract_rate_redacted,redacted,"Purpose identifies rate change, not a changed minimum count",ICEFOIA:70CDCR20D00000008/P00014#pp1-10,https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000008_P00012_17_MesaVerdeIPC_BakersfieldCA.pdf
2024-09-24,recommendation_status,OIG-24-59,Recommendation 7,Golden State Annex,"Recommendation remains resolved and open",560,,none,not_applicable,"Closure occurred later; exact date not public",OIG-24-59#guaranteed-minimum,https://www.oig.dhs.gov/sites/default/files/assets/2024-09/OIG-24-59-Sep24.pdf
2024-12-18,executed_option_modification,70CDCR20D00000008,P00016,Golden State Annex,"Exercise Option One for 2024-12-20 through 2029-12-19; carry CLIN 1001A guaranteed minimum",560,,contract_rate_redacted,redacted,"560 supplied by later ICE statistics; P00016 itself redacts count and rate",ICEFOIA:70CDCR20D00000008/P00016#pp2-7,https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000008_P00012_17_MesaVerdeIPC_BakersfieldCA.pdf
2025-05-29,executed_rate_modification,70CDCR20D00000008,P00018,Golden State Annex,"Retroactively change rates effective 2024-12-20; other contract terms remain the same",560,,retroactive_payment_authorization_redacted,redacted,"Payment amount redacted; authorization is not proof of invoice or cash disbursement",ICEFOIA:70CDCR20D00000008/P00018#pp2-3,https://www.ice.gov/doclib/foia/detFacContracts/70CDCR20D00000008-P00018-MesaVerdeIPC-CDFBakersfield-McFarlandCA.pdf
