row_id,instrument,event_date,period_start,period_end,object_type,amount_usd,unit,from_amount_usd,change_amount_usd,to_amount_usd,obligation_on_base_mod_usd,status,prime_or_payee,claim_limit,source_url,finding_id
fy18-p10-obligation,70CDCR18FIGR00319/P00010,2019-09-24,,,federal_obligation_increase,4513056.00,USD,25771068.35,4513056.00,30284124.35,4513056.00,effective,MONTGOMERY COUNTY OF,"Federal task-order obligation; not proof of county-to-GEO payment",https://destinyhosted.com/montgdocs/2019/CCREG/20190924_1266/14340_Joe_Corley.pdf,12700
fy18-p14-deobligation,70CDCR18FIGR00319/P00014,2020-08-25,,,federal_deobligation,-1886088.52,USD,35813427.79,-1886088.52,33927339.27,-1886088.52,effective,MONTGOMERY COUNTY OF,"Federal task-order deobligation; not a refund or GEO payment",https://destinyhosted.com/montgdocs/2020/CCREG/20200825_1318/16298_Joe_Corley_Modification_P00014.pdf,12701
fy20-p8-deobligation,70CDCR20FIGR00112/P00008,2021-08-10,,,federal_deobligation,-1054731.16,USD,9457145.00,-1054731.16,8402413.84,-1054731.16,effective,MONTGOMERY COUNTY OF,"Federal task-order deobligation; not county-to-GEO payment",https://destinyhosted.com/montgdocs/2021/CCREG/20210810_1372/18442_Joe_Corley_Detenction_Center_Modification.pdf,12702
fy22-p3-rate-only,70CDCR22FIGR00104/P00003,2022-05-24,2022-03-07,2023-03-06,funding_unchanged,1312239.19,USD,1312239.19,0.00,1312239.19,0.00,effective,MONTGOMERY COUNTY OF,"Funding ceiling remained unchanged while rates changed",https://destinyhosted.com/montgdocs/2022/CCREG/20220524_1405/20178_Joe_Corley_Detention_Modification_NoP00003.pdf,
fy23-p20-deobligation,70CDCR23FIGR00091/P00020,2024-09-24,,,federal_deobligation,-17108.69,USD,28456656.51,-17108.69,28439547.82,-17108.69,closed,MONTGOMERY COUNTY OF,"Task-order closeout; not county-to-GEO payment",https://destinyhosted.com/montgdocs/2024/CCREG/20240924_1521/25461_P00020.pdf,12703
fy23-p20-invoice,70CDCR23FIGR00091/P00020,2024-09-24,2024-01-15,2024-03-06,authorized_retro_invoice,10185.41,USD,,,,,authorized_not_proven_paid,MONTGOMERY COUNTY OF,"Authorization is not proof of ICE payment or county remittance to GEO",https://destinyhosted.com/montgdocs/2024/CCREG/20240924_1521/25461_P00020.pdf,12703
p34-p35-invoice,70CDCR18DIG000013/P00034-P00035,2024-11-15,2024-09-15,2024-09-30,authorized_retro_invoice,,USD,,,,0.00,amount_redacted_and_corrected,MONTGOMERY COUNTY OF,"P00035 supersedes P00034 amount; both values redacted",https://www.ice.gov/doclib/foia/detFacContracts/70CDCR18DIG000013_P00032-35_JoeCorleyDet_IGSA_ConroeTX.pdf,
p40-adjustment,70CDCR18DIG000013/P00040,2025-11-01,2025-02-04,2025-10-31,authorized_retro_adjustment,8137.37,USD,,,,0.00,authorized_not_proven_paid,MONTGOMERY COUNTY OF,"Discrete adjustment; not annual obligation or GEO payment",,12622
p42-first-adjustment,70CDCR18DIG000013/P00042,2026-04-23,2025-06-15,2026-02-28,authorized_retro_adjustment,425201.59,USD,,,,0.00,superseded_by_p00043,MONTGOMERY COUNTY OF,"Do not aggregate with $482237.02",https://public.destinyhosted.com/montgdocs/2026/CCREG/20260423_1589/29374_P00042-70CDCR18DIG000013.pdf,12696
p43-corrected-first-adjustment,70CDCR18DIG000013/P00043,2026-05-21,2025-06-15,2026-03-31,authorized_retro_adjustment,482237.02,USD,425201.59,57035.43,482237.02,0.00,current_corrected_amount_not_proven_paid,MONTGOMERY COUNTY OF,"Replaces $425201.59; authorization is not payment proof",https://public.destinyhosted.com/montgdocs/2026/CCREG/20260521_1592/29604_5.1.1-P00043-70CDCR18DIG000013.pdf,12696
p43-second-adjustment,70CDCR18DIG000013/P00043,2026-05-21,2025-10-15,2026-04-30,authorized_retro_adjustment,50957.82,USD,,,,0.00,separate_adjustment_not_proven_paid,MONTGOMERY COUNTY OF,"Separate Revision 31/CBA-MOU adjustment",https://public.destinyhosted.com/montgdocs/2026/CCREG/20260521_1592/29604_5.1.1-P00043-70CDCR18DIG000013.pdf,12697
