finding_id,source_date,source_type,source_url,proposition,limitation
12535,2026-05-17,ICE archived leadership page,https://web.archive.org/web/20260517231207id_/https://www.ice.gov/leadership,"Todd Lyons still displayed as SOPTD at 23:12:07 UTC","Archive display time is not an internal effective date"
12535,2026-05-18,ICE archived leadership page,https://web.archive.org/web/20260518164924id_/https://www.ice.gov/leadership,"First available Venturella capture displayed title Director at 16:49:24 UTC","Does not establish appointment instrument or lawful authority"
12535,2026-05-19,ICE archived leadership page,https://web.archive.org/web/20260519174524id_/https://www.ice.gov/leadership,"Venturella title and body corrected to Senior Official Performing the Duties of the Director by 17:45:24 UTC","Does not identify who ordered correction"
12536,2014-03-06,SEC 8-K,https://www.sec.gov/Archives/edgar/data/923796/000119312514086652/d686495d8k.htm,"Promotion to GEO SVP Business Development with oversight of business and proposal development","Does not tie Venturella to a specific ICE procurement"
12536,2022-03-18,SEC proxy,https://www.sec.gov/Archives/edgar/data/923796/000119312522078376/d195592ddef14a.htm,"Joined GEO in 2012; executive progression and proposal-development responsibility","Issuer disclosure"
12537,2022-07-22,SEC 8-K,https://www.sec.gov/Archives/edgar/data/923796/000119312522200110/d362438d8k.htm,"Retirement payment NPV approximately $335000 and intended two-year consulting with vesting","Announcement preceded final agreement"
12537,2023-02-06,SEC 8-K,https://www.sec.gov/Archives/edgar/data/923796/000119312523025645/d135134d8k.htm,"Consulting through 2025-01-31 unless extended/terminated; $10000 monthly; project and contract-renewal proposals","No later public extension located"
12537,2023-02-01,SEC contract exhibit,https://www.sec.gov/Archives/edgar/data/923796/000119312523025645/d135134dex101.htm,"Executed consultant scope; proposal/renewal assistance; term; payment; vesting; restrictive covenants","Does not establish 2026 holdings or payments"
12538,2022-03-18,SEC proxy,https://www.sec.gov/Archives/edgar/data/923796/000119312522078376/d195592ddef14a.htm,"100000-share target award valued at $655000 when authorized; scheduled vesting date described elsewhere in same filing","Target/authorization value is not actual shares earned or retained"
12538,2023-02-01,SEC contract exhibit,https://www.sec.gov/Archives/edgar/data/923796/000119312523025645/d135134dex101.htm,"Previously awarded unvested performance shares remain active and vest as scheduled","No actual vesting result disclosed"
12538,2025-03-28,SEC proxy,https://www.sec.gov/Archives/edgar/data/923796/000119312525059356/d882905ddef14a.htm,"2022-2024 cycle table gives 200 percent factors for listed current executives","Table does not name Venturella; do not impute their payouts to him"
12539,2026-07-13,OGE live API,https://extapps2.oge.gov/201/Presiden.nsf/API.xsp/v2/rest,"Name-filtered Venturella query returned recordsFiltered=0","Zero public-collection result is not proof of no agency-held record"
12539,2026-07-13,OGE collection page,https://www.oge.gov/Web/OGE.nsf/Officials%20Individual%20Disclosures%20Search%20Collection,"OGE collection includes financial disclosures ethics agreements pledge waivers and conflict waivers","Coverage depends on official category"
12539,2026-07-13,OGE disclosure quick guide,https://www.oge.gov/Web/OGE.nsf/publicresources_disclosure-quickstart?OpenForm=&Seq=1,"Other public-financial-disclosure records are held by employee agency and requested with Form 201","Venturella classification is not public"
12540,current,United States Code,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title6-section113,"ICE Director is listed among PAS officers","Does not establish Venturella appointment"
12540,2023-02-08,GAO decision,https://www.gao.gov/products/b-334562,"DHS said no ICE Director duty met FVRA exclusive-function definition","Records DHS position in a 2023 matter; does not prove 2026 delegation"
12540,2023-02-08,GAO decision PDF,https://www.gao.gov/assets/820/817381.pdf,"Annex N designated ICE Deputy Director first successor and first assistant","Does not establish that Venturella occupies Deputy Director or was designated under Annex N"
12541,2026-07-13,ICE leadership page,https://www.ice.gov/leadership,"Management and Administration oversees acquisition and procurement activities","Does not foreclose SOPTD supervisory influence or special delegation"
12541,2026-06-24,DHS APFS record,https://apfs-cloud.dhs.gov/record/74244/public-print/,"Component labeled ICE/M&A/OAQ","One forecast record illustrates current operational placement; not an organization-wide delegation instrument"
