layer,subject,role_or_field,identifier_or_value,date,amount_usd,status,source,caveat
corporate,"GEO-CDR BAKER, LLC",Florida legal entity,L25000395700,2025-08-28,,confirmed,FL Sunbiz,"Exact ownership percentages and member schedule not disclosed"
corporate,"GEO-CDR BAKER, LLC",principal/mailing address,"313 Norton Drive; Tallahassee; FL 32308",2026-04-29,,confirmed,FL Sunbiz,
corporate,"George C. Zoley",manager of GEO-CDR BAKER,,2025-08-28,,confirmed,FL Sunbiz,
corporate,"J. David Donahue","manager in 2025 filing; absent from 2026 annual report",,2025-08-28,,confirmed,FL Sunbiz,"Date end recorded as 2026-04-29 observation boundary"
corporate,"Carlos Duart",manager of GEO-CDR BAKER,,2025-08-28,,confirmed,FL Sunbiz,"CDR affiliation does not prove exact legal member"
corporate,"Tina Vidal-Duart",manager of GEO-CDR BAKER,,2025-08-28,,confirmed,FL Sunbiz,"CDR affiliation does not prove exact legal member"
facility,"North Florida Detention Facility",former name,Baker Correctional Institution,2025-08-14,,confirmed,Florida governor release,"Distinct from Baker County Detention Center in Macclenny"
facility,"State of Florida",facility owner/state role,"20706 US Highway 90 West; Sanderson; FL 32087",2025-08-14,,high,Florida/GEO records,
contract,"Florida Division of Emergency Management",buyer/bill-to,PO-010844,2025-10-17,100357654.76,confirmed,FDEM PO page,"Amount is PO authorization/total; not a payment"
contract,"GEO-CDR BAKER, LLC",supplier,PO-010844,2025-10-17,100357654.76,confirmed,FDEM PO page,"Visible descriptions only: Monthly rate; Mobilization"
contract,"PO-010844",procurement method,O2,2025-10-17,,confirmed,Florida DMS,"Emergency per Executive Order under section 252.36(2)"
federal,"Florida Division of Emergency Management",grant recipient,EMW-2025-DS-05000,2025-09-30,608400000.00,confirmed,USAspending,"Award-wide amount; no Baker allocation in record"
federal,"EMW-2025-DS-05000",total outlay as of research date,ASST_NON_EMW-2025-DS-05000_070,2026-07-13,58292145.00,confirmed,USAspending,"Cannot attribute outlay to GEO-CDR or PO-010844"
federal,"North Florida Detention Facility",ICE use/program relationship,GEO 2025 operational highlights,2025-10-02,,confirmed,GEO 8-K exhibit,"Program-level use; not direct federal prime award to JV"
search,"GEO-CDR BAKER, LLC",direct federal award/entity exact-name search,"USAspending and SAM",2026-07-13,,bounded negative,USAspending/SAM,"Does not exclude pass-through reimbursement or unindexed agreements"
lobbying,"CDR Maguire",Florida lobbying principal,Principal 2405,2025-01-07,,confirmed,Florida lobbying portal,"No subject matter/compensation/causation established"
unresolved,"GEO-CDR BAKER, LLC",exact legal CDR member/ownership percentage,,2026-07-13,,unresolved,Available public records,"Lead 60501"
unresolved,PO-010844,"signed terms/rates/invoices/payments",,2026-07-13,,unresolved,FDEM public page,"Lead 60503"
unresolved,EMW-2025-DS-05000,"allocation to North Florida/PO-010844",,2026-07-13,,unresolved,USAspending/FDEM,"Lead 60505"
