event_date,actor_or_disclosure,geo_side,relationship_type,value_or_range,directness,primary_source,db_finding,supported_conclusion,not_supported
2025-01-30,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 1163",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-02-03,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$1,001-$15,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 2479",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-02-04,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$1,001-$15,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 3704",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-02-05,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$1,001-$15,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 3663",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-02-24,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 1685",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-03-27,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","sale","$1,001-$15,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 5023",12516,"A covered Trump household interest sold GEO securities","Exact proceeds; Donald Trump personally selected the trade"
2025-04-28,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 711",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-05-15,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 1081",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-06-30,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","sale","$1,001-$15,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 5288",12516,"A covered Trump household interest sold GEO securities","Exact proceeds; Donald Trump personally selected the trade"
2025-07-31,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 903",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
