row_type,piid,award_start,award_end,signed_action_date,dhs_component,legal_prime,description,performance_city,performance_county,current_net_obligation_usd,base_action_obligation_usd,operator_at_award,owner_at_award,facility_mapping,chain_disposition,procurement_family_effect,physical_facility_effect,reason
candidate_award,HSBP1005P07705,2005-08-01,2005-09-30,,CBP,County of Maverick,,Eagle Pass,Maverick,9304.48,9304.48,Not established as GEO,Unresolved,Unresolved,excluded,0,0,"Predates GEO's documented Maverick operation; award has no description or facility name"
candidate_award,HSBP20120027801393,2012-07-26,2012-08-31,2012-07-26,CBP,County of Maverick,"DETENTION SPACE FOR FEDERAL DETAINEES; DEL RIO SECTOR",Del Rio,Val Verde,11941.65,11941.65,"GEO operated Maverick facility, but award facility unresolved",Maverick County possible,Inconsistent geography,excluded,0,0,"Legal recipient is Maverick County but USAspending performance is Val Verde County"
candidate_award,HSBP1012P00868,2012-09-15,2012-12-31,2012-09-14,CBP,County of Maverick,DETENTION SPACE,Eagle Pass,Maverick,5758.75,7181.50,"GEO if 688-bed Maverick facility",Maverick County,"Probable Maverick County Detention Facility; Tom Bowles remains an alternative",probable,1,0,"USAspending POP start is 2012-09-15; HigherGov period start and base action are 2012-09-14; award does not name facility"
candidate_award,HSBP1014P00452,2014-05-25,2014-07-21,2014-07-21,CBP,County of Maverick,LODGING OF DETAINEES,Eagle Pass,Maverick,11760.00,11760.00,Not GEO under terminated management contract,Maverick County,Unresolved,excluded,0,0,"POP start 2014-05-25 and signed/action 2014-07-21 both postdate GEO's 2013-11-01 termination"
existing_comparator,HSBP1016J00076,2015-10-01,2016-11-29,2016-01-27,CBP,The GEO Group Inc.,DETENTION SPACE,Eagle Pass,Maverick,12427.00,,"Unknown; direct legal prime is GEO",Unknown until GEO acquisition on 2017-03-06,Medium-confidence Maverick direct-GEO mapping only,existing_direct_comparator,0,0,"Already counted in prior CBP direct-GEO facility denominator; does not prove GEO operator or owner status in 2016"
control_award,HSCEDM08P00062,2007-10-01,2008-09-30,,ICE,City of Aurora,DETAINEE SPACE,Aurora,Arapahoe,2900.00,2900.00,City facility context,City of Aurora,Not Aurora ICE Processing Center,excluded,0,0,"Award place ZIP 80012; GEO SEC property address is Aurora 80010"
control_award,HSCEDM08P00055,2007-10-01,2008-09-30,,ICE,City of Burlington,DETAINEE SPACE,Burlington,Kit Carson,0.00,0.00,Unresolved public facility,City of Burlington,Not GEO Burlington Massachusetts programs,excluded,0,0,"Award is Burlington Colorado; GEO filing name hits are Burlington Massachusetts"
control_award,HSBP1016P00143,2016-03-01,2017-02-28,,CBP,Hidalgo County,JAIL/DETENTION FOR CBP/HIDALGO,Edinburg,Hidalgo,19182.00,19182.00,Hidalgo County facility,Hidalgo County,Not East Hidalgo or Coastal Bend,excluded,0,0,"Award place Edinburg 78542; GEO properties are La Villa 78562 and Robstown 78380"
control_award,70B03C25F00001321,2025-09-30,2026-07-31,,CBP,Montgomery County Soil and Water Conservation District,MONTGOMERY COUNTY DETENTION CENTER SERVICES,Swanton,Franklin,7200.01,7200.01,Unresolved public facility,Unresolved,Not Joe Corley Texas chain,excluded,0,0,"Recipient is in Montgomery County New York and performance is Vermont"
control_group,,,,,DHS,"Crystal City; San Luis Regional; Zapata; La Salle County Regional; Imperial County; Taylor County; San Bernardino County; Yuma County; Cascade; Albany; Clinton; Coos; Franklin; Rensselaer; Schenectady",Targeted facility-name controls,,,,,,,No GEO SEC filing match,bounded_negative,0,0,"No matching GEO facility name in targeted EDGAR searches; absence is not proof"
denominator_result,,,,,DHS,Verified public-prime chains,,,,,,,,,verified,7,11,"Seven verified public-prime chains remain; 11 unique facilities across verified chains plus four direct-GEO CBP comparators"
denominator_result,,,,,DHS,Probable Maverick increment,,,,,,,,,probable,1,0,"If award package confirms code 6R7 or 742 Highway 131: public-prime chains become 8; physical facilities remain 11"
