record_type,date,document_id,source_plane,from_entity,to_entity,amount_usd,accounting_character,facility_or_program,po_or_award,confidence,finding_id,attribution_limit
federal_award,2025-09-30,EMW-2025-DS-05000,federal,DHS/FEMA,Florida Division of Emergency Management,608400000.00,obligation_and_award_funding,Detention Support Grant Program,EMW-2025-DS-05000,confirmed,12707,"Cost-reimbursement grant; facility allocation absent"
federal_outlay,2026-07-14,ASST_NON_EMW-2025-DS-05000_070,federal,DHS/FEMA,Florida Division of Emergency Management,58292145.00,award_wide_outlay,Detention Support Grant Program,EMW-2025-DS-05000,confirmed,12674,"No public allocation to Baker, PO-010844, or GEO-CDR"
state_po,2025-10-17,PO-010844,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",100357654.76,authorized_ceiling,North Florida Detention Facility,PO-010844,confirmed,12677,"Not amount paid or federally reimbursed"
state_payment,2026-01-07,D6000294462,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",5000000.00,operational_disbursement,Illegal Migration appropriation,,confirmed,12708,"Payment page does not print PO or federal award"
state_payment,2026-01-26,D6000330868,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",7946471.23,operational_disbursement,Illegal Migration appropriation,,confirmed,12708,"Payment page does not print PO or federal award"
state_payment,2026-05-11,D6000512228,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",7946471.23,operational_disbursement,Illegal Migration appropriation,,confirmed,12708,"Payment page does not print PO or federal award"
state_payment,2026-06-29,D6000601410,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",7946471.23,operational_disbursement,Illegal Migration appropriation,,confirmed,12708,"Payment page does not print PO or federal award"
state_payment,2026-06-29,D6000601421,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",58109.82,operational_disbursement,Illegal Migration appropriation,,confirmed,12708,"Payment page does not print PO or federal award"
state_payment_total,2026-06-29,FY2025-26-GEO-CDR-TOTAL,state,Florida Division of Emergency Management,"GEO-CDR BAKER, LLC",28897523.51,operational_disbursement_total,Illegal Migration appropriation,,confirmed,12708,"Exact state-paid amount; not established as FEMA funded"
state_appropriation_total,2026-06-30,FY2025-26-AC105163,state,State of Florida,Illegal Migration appropriation,567968917.00,appropriated_approved_released,Illegal Migration appropriation,,confirmed,,"Aggregate authority; not vendor or federal allocation"
state_disbursement_total,2026-06-30,FY2025-26-AC105163-DISB,state,State of Florida,Illegal Migration appropriation,563967423.96,operational_disbursement_total,Illegal Migration appropriation,,confirmed,,"Aggregate spending; not vendor or federal allocation"
allocation_gap,2026-07-14,EMW-PO010844-GAP,synthesis,DHS/FEMA,"North Florida / GEO-CDR BAKER",,unproven_pass_through,North Florida Detention Facility,"EMW-2025-DS-05000 / PO-010844",medium,12709,"No public drawdown, cost schedule, reimbursement request, subaward, or voucher crosswalk joins the two proven edges"
