facility,geo_role,contract_channel,award_or_vehicle,oversight_body,report_id,report_date,record_type,finding_class,issue_domain,exact_quote,quote_locator,agency_or_geo_response,corrective_action_status,source_url,identity_and_scope_note,financial_consequence_scope
Adelanto ICE Processing Center,GEO operator; historical City of Adelanto D-IGSA and later direct ICE procurement periods must not be merged,direct ICE contract for current period; historical D-IGSA,70CDCR20D00000009,DHS OIG,OIG-18-86,2018-09-27,unannounced inspection,inspection observation,PBNDS / health and safety,serious issues that violate ICE’s 2011 Performance-Based National Detention Standards and pose significant health and safety risks at the facility,"Highlights, PDF p. 2",ICE stated that it conducted a full inspection and a Special Assessment Review.,At issuance OIG treated the recommendation as resolved and open.,https://www.oig.dhs.gov/sites/default/files/assets/Mga/2018/oig-18-86-sep18.pdf,Historical City of Adelanto D-IGSA period; do not project the observation onto later direct-contract periods.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Adelanto ICE Processing Center,GEO operator; historical City of Adelanto D-IGSA and later direct ICE procurement periods must not be merged,direct ICE contract for current period; historical D-IGSA,70CDCR20D00000009,DHS OIG,OIG-19-47,2019-06-03,unannounced inspection,inspection observation,segregation,"Our spot inspections of the Adelanto, Essex, and Aurora facilities identified serious issues with the administrative and disciplinary segregation of detainees.","Report body, PDF p. 8",ICE stated field offices had taken corrective action at each facility when warranted.,Aggregate recommendation response; facility-specific closure requires recommendation-file review.,https://www.oig.dhs.gov/sites/default/files/assets/2019-06/OIG-19-47-Jun19.pdf,The quoted sentence covers Adelanto and Aurora plus non-GEO Essex; it is not independent corroboration for each facility.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Denver Contract Detention Facility,GEO operator,direct ICE contract,HSCEDM11D00003 (historical); 70CDCR20D00000001 (newer period),DHS OIG,OIG-19-47,2019-06-03,unannounced inspection,inspection observation,segregation,"Our spot inspections of the Adelanto, Essex, and Aurora facilities identified serious issues with the administrative and disciplinary segregation of detainees.","Report body, PDF p. 8",ICE stated field offices had taken corrective action at each facility when warranted.,Aggregate recommendation response; facility-specific closure requires recommendation-file review.,https://www.oig.dhs.gov/sites/default/files/assets/2019-06/OIG-19-47-Jun19.pdf,Aurora is the Denver Contract Detention Facility; the sentence also covers Adelanto and non-GEO Essex.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,DHS OIG,OIG-20-45,2020-07-01,unannounced inspection,inspection observation,grievance timeliness,"Of the 467 grievances filed from September 2018 to March 2019 at Northwest, 222 (47 percent) did not meet the 5-calendar-day response requirement, with 144 taking 10 days or longer to provide a response.","Report body, PDF p. 11",ICE concurred and directed field offices to take ongoing actions.,The report describes Special Assessment Reviews as part of ICE's response; later completion was not established in this wave.,https://www.oig.dhs.gov/sites/default/files/assets/2020-07/OIG-20-45-Jul20.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
South Texas ICE Processing Center,GEO operator,direct ICE contract,HSCEDM12D00001,DHS OIG,OIG-22-40,2022-04-22,unannounced inspection,inspection observation,grievances / segregation / COVID-19 / communication,"South Texas did not meet standards for grievances, segregation, COVID-19 response, or detainee communication.","Highlights, PDF p. 3",ICE concurred with all five recommendations.,"At issuance: three resolved and closed, two resolved and open; public page displayed recommendations 2 and 4 as open on 2026-07-14.",https://www.oig.dhs.gov/sites/default/files/assets/2022-05/OIG-22-40-Apr22.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
South Texas ICE Processing Center,GEO operator,direct ICE contract,HSCEDM12D00001,DHS OIG,OIG-22-40,2022-04-22,unannounced inspection,compliant finding / counterevidence,legal services / voluntary work / classification / medical,"South Texas complied with standards for legal services, the voluntary work program, and detainee classification and provided sufficient medical care to detainees.","Highlights, PDF p. 3",,,https://www.oig.dhs.gov/sites/default/files/assets/2022-05/OIG-22-40-Apr22.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Folkston ICE Processing Center,GEO downstream operator,Charlton County IGSA pass-through,EROIGSA-17-0002,DHS OIG,OIG-22-47,2022-07-01,unannounced inspection,inspection observation,conditions / medical / grievances / segregation / communication / property,"Folkston did not meet standards for facility conditions, medical care, grievances, segregation, staff-detainee communication, and detainee property.","Highlights, PDF p. 3",ICE concurred with all 13 recommendations.,"At issuance: 12 resolved and closed, one resolved and open.",https://www.oig.dhs.gov/sites/default/files/assets/2022-07/OIG-22-47-July22.pdf,Covers the main and annex collectively; the report does not assign every observation to a single building.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Folkston ICE Processing Center,GEO downstream operator,Charlton County IGSA pass-through,EROIGSA-17-0002,DHS OIG,OIG-22-47,2022-07-01,unannounced inspection,compliant finding / counterevidence,legal services / voluntary work / classification,"Folkston complied with standards for access to legal services, the voluntary work program, and detainee classification.","Highlights, PDF p. 3",,,https://www.oig.dhs.gov/sites/default/files/assets/2022-07/OIG-22-47-July22.pdf,Covers the main and annex collectively.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,DHS OIG,OIG-23-26,2023-05-22,unannounced inspection,inspection observation,grievances / language / food / medical staffing,Northwest did not always provide timely responses to detainee grievances and did not always respond to detainee requests and grievances in a language understood by the detainee.,"Highlights, PDF p. 3",ICE concurred with seven recommendations and did not concur with one.,"At issuance: three resolved and closed, four resolved and open, one unresolved and open; public pages displayed recommendations 1, 2, 3, 7, and 8 as open on 2026-07-14.",https://www.oig.dhs.gov/sites/default/files/assets/2023-05/OIG-23-26-May23.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,DHS OIG,OIG-23-26,2023-05-22,unannounced inspection,compliant finding / counterevidence,intake / classification / conditions / legal / recreation / segregation / use of force / requests,"the facility complied with standards for intake and classification; facility conditions, including housing and hygiene; detainee access to law library and legal services; recreation; segregation; use of force; and providing timely responses to detainee requests","Highlights, PDF p. 3",,,https://www.oig.dhs.gov/sites/default/files/assets/2023-05/OIG-23-26-May23.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
