row_id,facility,snapshot_date,record_type,award_channel,contract_id,task_order_id,modification_id,performance_start,performance_end,clin,pricing_component,unit,facility_capacity_beds,minimum_availability_beds,guaranteed_minimum_beds,guarantee_status,tier_start_bed,tier_end_bed,unit_price_nominal_usd,extended_line_amount_nominal_usd,total_award_or_obligation_usd,staffing_population_adults,staffing_population_juveniles,minimum_female_officers_per_shift,staffing_fte,redaction_or_missing,comparison_group,comparison_eligible,source_file,pdf_page,evidence_ref,notes
KAR-01,Karnes County Civil Detention Facility,2010-12-03,historical_schedule,IGSA,EROIGSA-11-0004,,,2010-12-03,,Article I.C,bed day first tier,bed-day,,480,,conditional/ramp-up-dependent,1,480,68.75,,,,,,,Payable-minimum start depends on Attachment 7 ramp-up plan; Article III says actual detainee days,historical_bed_day_rate,no,karnes-county-igsa-11-0004-2010.pdf,4,ICE-CONTRACT:EROIGSA-11-0004#pdf-p4,Do not treat 480 as an unconditional payable guarantee
KAR-02,Karnes County Civil Detention Facility,2010-12-03,historical_schedule,IGSA,EROIGSA-11-0004,,,2010-12-03,,Article I.C,bed day second tier,bed-day,,480,,conditional/ramp-up-dependent,481,600,56.48,,,,,,,Payable-minimum start depends on Attachment 7 ramp-up plan; Article III says actual detainee days,historical_bed_day_rate,no,karnes-county-igsa-11-0004-2010.pdf,4,ICE-CONTRACT:EROIGSA-11-0004#pdf-p4,Tier boundary is explicit; no inflation comparison because no current comparable unit price
KAR-03,Karnes County Civil Detention Facility,2010-12-03,historical_schedule,IGSA,EROIGSA-11-0004,,,2010-12-03,,Article I.C,transportation mileage,mile,,,,not applicable,,,0.50,,,,,,,none,transport_mileage_rate,no,karnes-county-igsa-11-0004-2010.pdf,4,ICE-CONTRACT:EROIGSA-11-0004#pdf-p4,Separate non-bed-day unit
KAR-04,Karnes County Civil Detention Facility,2010-12-03,historical_schedule,IGSA,EROIGSA-11-0004,,,2010-12-03,,Article I.C,detainee work program reimbursement,detainee-day,,,,not applicable,,,1.00,,,,,,,none,detainee_work_rate,yes,karnes-county-igsa-11-0004-2010.pdf,4,ICE-CONTRACT:EROIGSA-11-0004#pdf-p4,Same nominal $1/day field appears in other historical contracts; no across-year inflation comparison made
KAR-05,Karnes County Civil Detention Facility,2010-12-03,historical_terms,IGSA,EROIGSA-11-0004,,,2010-12-03,,Article III.A,minimum bed availability,bed,,480,,capacity commitment; actual-use liability,,,,,,,,,,Attachment 7 ramp-up payment trigger not recovered in a machine-readable schedule,minimum_availability,yes,karnes-county-igsa-11-0004-2010.pdf,5,ICE-CONTRACT:EROIGSA-11-0004#pdf-p5,Minimum availability is not recorded as guaranteed payable beds
STX-01,South Texas Detention Complex (Pearsall),2009-04-14,historical_schedule,direct contract,ACD-4-C-0001,HSCEDM-09-F-00001,P00007,2008-10-01,2009-09-30,3029,adult detainees guaranteed housing,bed-day,,,1146,explicit guaranteed housing,1,1146,,,,,,,,Quantity unit and unit price are b(4)-redacted,guaranteed_bed_tier,yes,southwest-texas-hscedm09f00001-2008-2010.pdf,20,ICE-CONTRACT:HSCEDM-09-F-00001-P00007#pdf-p20,The document uses guaranteed housing; rate remains null
STX-02,South Texas Detention Complex (Pearsall),2009-04-14,historical_schedule,direct contract,ACD-4-C-0001,HSCEDM-09-F-00001,P00007,2008-10-01,2009-09-30,3030,adult detainees above guaranteed minimum,bed-day,,,1146,above-guarantee maximum,1147,1904,,,,,,,,Quantity unit and unit price are b(4)-redacted,excess_bed_tier,yes,southwest-texas-hscedm09f00001-2008-2010.pdf,20,ICE-CONTRACT:HSCEDM-09-F-00001-P00007#pdf-p20,"758 max is recorded as incremental maximum; end bed 1904 is arithmetic, not quoted capacity"
STX-03,South Texas Detention Complex (Pearsall),2008-12-19,historical_schedule,direct contract,ACD-4-C-0001,HSCEDM-09-F-00001,P00004,2008-10-01,2009-09-30,3033,transportation above guaranteed,mile,,,,not applicable,,,8.28,,,,,,,Quantity and extended amount are b(4)-redacted,transport_mileage_rate,no,southwest-texas-hscedm09f00001-2008-2010.pdf,18,ICE-CONTRACT:HSCEDM-09-F-00001-P00004#pdf-p18,"Separate transport field, not comparable to bed-day pricing"
PEA-01,South Texas Detention Complex (Pearsall),2004-01-26,historical_capacity,direct contract,ACD-4-C-0001,,,2004-01-26,,PWS objective,adult male beds,bed,850,,,,,,,,,,,,,none,facility_capacity,yes,pearsall-cscacd4c0001-p00034-2004-2010.pdf,12,ICE-CONTRACT:ACD-4-C-0001#pdf-p12,"Canonical facility name; source family also uses the alias Southwest Texas Detention Complex. Quoted headline count; component subcounts sum to 840, so no correction was inferred"
PEA-02,South Texas Detention Complex (Pearsall),2004-01-26,historical_capacity,direct contract,ACD-4-C-0001,,,2004-01-26,,PWS objective,adult female beds,bed,150,,,,,,,,,,,,,none,facility_capacity,yes,pearsall-cscacd4c0001-p00034-2004-2010.pdf,12,ICE-CONTRACT:ACD-4-C-0001#pdf-p12,"Quoted headline count; component subcounts sum to 160, so no correction was inferred"
PEA-03,South Texas Detention Complex (Pearsall),2004-01-26,historical_capacity,direct contract,ACD-4-C-0001,,,2004-01-26,,PWS objective,juvenile beds,bed,20,,,,,,,,,,,,,none,facility_capacity,yes,pearsall-cscacd4c0001-p00034-2004-2010.pdf,12,ICE-CONTRACT:ACD-4-C-0001#pdf-p12,Separate population category
PEA-04,South Texas Detention Complex (Pearsall),2004-01-26,historical_staffing,direct contract,ACD-4-C-0001,,,2004-01-26,,PWS personnel,staffing population and female shift minimum,staffing requirement,,,,not applicable,,,,,,1000,20,5,,none,staffing_plan,yes,pearsall-cscacd4c0001-p00034-2004-2010.pdf,19,ICE-CONTRACT:ACD-4-C-0001#pdf-p19,Five female officers per shift excludes transportation
BRO-01,Broward Transitional Center,2009-04-01,historical_schedule,direct contract,HSCEDM-09-D-00006,,,2009-04-01,2014-02-28,0001,guaranteed minimum detainees per day,bed-day,,,,explicit guarantee,,,,,,,,,,"Guaranteed count, quantity and unit price are b(4)-redacted",guaranteed_bed_tier,yes,broward-contract-2009.pdf,2,ICE-CONTRACT:HSCEDM-09-D-00006#pdf-p2,All redacted numeric fields remain null
BRO-02,Broward Transitional Center,2009-04-01,historical_schedule,direct contract,HSCEDM-09-D-00006,,,2009-04-01,2014-02-28,0005,detainee volunteer work program wages,detainee-day,,,,not applicable,,,1.00,,,,,,,none,detainee_work_rate,yes,broward-contract-2009.pdf,2,ICE-CONTRACT:HSCEDM-09-D-00006#pdf-p2,"Schedule gives 21,000 EA at $1.00"
