evidence_ref,facility,snapshot,source_tier,document_id,source_file,pdf_page,source_url,exact_quote,used_for
ICE-CONTRACT:EROIGSA-11-0004#pdf-p4,Karnes County Civil Detention Facility,2010-12-03,primary government contract,EROIGSA-11-0004,karnes-county-igsa-11-0004-2010.pdf,4,https://deportationresearchclinic.org/Facility-Contracts,"Bed Day Rate – per detainee for the first 480 $ 68.75 per detainee / Bed Day Rate – per detainee for the 481-600 $ 56.48 per detainee / Transportation Mileage rate $ 0.50 per mile / Detainee Work Program Reimbursement $ 1.00 per day",Karnes unit-price schedule
ICE-CONTRACT:EROIGSA-11-0004#pdf-p4-guarantee,Karnes County Civil Detention Facility,2010-12-03,primary government contract,EROIGSA-11-0004,karnes-county-igsa-11-0004-2010.pdf,4,https://deportationresearchclinic.org/Facility-Contracts,"The attached Ramp-Up plan (Attachment (7)) indicates when ICE is required to start paying at the minimum requirements. Until such time, ICE is only required to pay the Bed Day rate at the rates established above.",Conditional minimum-payment trigger
ICE-CONTRACT:EROIGSA-11-0004#pdf-p5,Karnes County Civil Detention Facility,2010-12-03,primary government contract,EROIGSA-11-0004,karnes-county-igsa-11-0004-2010.pdf,5,https://deportationresearchclinic.org/Facility-Contracts,"The Service Provider shall provide male beds on a space available basis, with minimum availability of 480 beds. ... ICE will be financially liable only for the actual detainee days as defined in Paragraph C of Article III.",Minimum availability distinct from payable guarantee
ICE-CONTRACT:EROIGSA-11-0004#pdf-p6,Karnes County Civil Detention Facility,2010-12-03,primary government contract,EROIGSA-11-0004,karnes-county-igsa-11-0004-2010.pdf,6,https://deportationresearchclinic.org/Facility-Contracts,"The unit of service is called a “Bed Day” and is defined as one person per day. The bed day begins on the date of arrival. The Service Provider may bill ICE for the date of arrival but not the date of departure.",Unit definition
SEC:923796-2025-10K-KARNES,Karnes ICE Processing Center,2025-12-31,primary SEC filing,GEO 2025 Form 10-K,sec-geo-2025-10k.html,125,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,"GEO provides support services for ICE at the Karnes Center under an IGSA between Karnes County and ICE, that is effective through August 2029.",GEO role under Karnes IGSA
ICE-CONTRACT:HSCEDM-09-F-00001-P00007#pdf-p20,South Texas Detention Complex (Pearsall),2009-04-14,primary government contract,HSCEDM-09-F-00001 P00007,southwest-texas-hscedm09f00001-2008-2010.pdf,20,https://deportationresearchclinic.org/Facility-Contracts,"ADULT DETAINEES 1146 GUARANTEED HOUSING / ADULT DETAINEES ABOVE GUARANTEED MINIMUM 758 MAX",Guaranteed and excess bed tiers
ICE-CONTRACT:HSCEDM-09-F-00001-P00004#pdf-p18,South Texas Detention Complex (Pearsall),2008-12-19,primary government contract,HSCEDM-09-F-00001 P00004,southwest-texas-hscedm09f00001-2008-2010.pdf,18,https://deportationresearchclinic.org/Facility-Contracts,"COST OF TRANSPORTATON ABOVE GUARANTEED. $8.28 PER MILE",Transport rate separate from bed-day rate
ICE-CONTRACT:ACD-4-C-0001#pdf-p12,South Texas Detention Complex (Pearsall),2004-01-26,primary government contract,ACD-4-C-0001,pearsall-cscacd4c0001-p00034-2004-2010.pdf,12,https://deportationresearchclinic.org/Facility-Contracts,"Base year adult male detainees - 850 beds ... Base Year Adult female detainees - 150 beds ... Juveniles 20 beds",Facility capacity categories
ICE-CONTRACT:ACD-4-C-0001#pdf-p19,South Texas Detention Complex (Pearsall),2004-01-26,primary government contract,ACD-4-C-0001,pearsall-cscacd4c0001-p00034-2004-2010.pdf,19,https://deportationresearchclinic.org/Facility-Contracts,"The contractor shall, at all times, staff the facility to accommodate the estimated population of 1000 adult and 20 juvenile detainees. ... The contractor shall provide a minimum of five (5) female officers per shift excluding transportation.",Staffing requirement
ICE-CONTRACT:HSCEDM-09-F-00001-P00001#pdf-p5-p6,South Texas Detention Complex (Pearsall),2008-11-18,primary government contract,HSCEDM-09-F-00001 P00001,southwest-texas-hscedm09f00001-2008-2010.pdf,5-6,https://deportationresearchclinic.org/Facility-Contracts,"MODIFICATION OF CONTRACT/ORDER NO. ACD-4-C-0001 / HSCEDM-09-F-00001 ... The purpose of this modification is to provide funding for the South Texas Detention Cent ... Delivery Location Code: DROPEARSALL / SOUTHWEST TEXAS DETENTION COMPLEX / 566 VETERAN'S DRIVE / PEARSALL TX 78061 USA",Primary support that South Texas and Southwest Texas are same-contract facility-name variants
ICE-CONTRACT:HSCEDM-09-D-00006#pdf-p2,Broward Transitional Center,2009-04-01,primary government contract,HSCEDM-09-D-00006,broward-contract-2009.pdf,2,https://deportationresearchclinic.org/Facility-Contracts,"0001 Guaranteed Minimum - [redacted] detainees / day ... 0005 Detainee Volunteer Work Program Wages 21000 EA 1.00",Guarantee architecture and work-program rate
ICE-CONTRACT:HSCEDM-09-D-00006#pdf-p1,Broward Transitional Center,2009-04-01,primary government contract,HSCEDM-09-D-00006,broward-contract-2009.pdf,1,https://deportationresearchclinic.org/Facility-Contracts,"TOTAL AWARD AMOUNT ... $111,550,397.72",Award total kept separate
ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p2,Northwest Detention Center (Tacoma),2009-10-24,primary government contract,HSCEDM-10-D-00001,tacoma-contract-2010.pdf,2,https://deportationresearchclinic.org/Facility-Contracts,"0001A Bed-day rate for [redacted] beds-days. This is a fully burdened rate. Unit of Issue [redacted] is equivalent to Bed-Day. ... 50,369,945.25 / 0001B Bed-day rate for quantities in excess of [redacted] ... 1,449,604.80",Base and excess tier architecture; extended amounts only
ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p4,Northwest Detention Center (Tacoma),2009-10-24,primary government contract,HSCEDM-10-D-00001,tacoma-contract-2010.pdf,4,https://deportationresearchclinic.org/Facility-Contracts,"Detainee Volunteer Wages for the Detainee Work Program. Reimbursement for this line item will be at the actual cost of $1.00 per day per detainee.",Work-program unit rate
ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p11,Northwest Detention Center (Tacoma),2009-10-24,primary government contract,HSCEDM-10-D-00001,tacoma-contract-2010.pdf,11,https://deportationresearchclinic.org/Facility-Contracts,"The total amount of award: $305,519,843.60.",Award total kept separate
ICE-CONTRACT:HSCEOP-06-D-00010-P00008#pdf-p41,Aurora/Denver Contract Detention Facility,2008-06-27,primary government contract,HSCEOP-06-D-00010 P00008,aurora-denver-contract-2006-pp1-50-ocr.pdf,41,https://deportationresearchclinic.org/Facility-Contracts,"THIS LINE ITEM REPRESENTS THE MINIMUM GUARANTEE FOR OPTION I TERM OF 6/1/07 - 5/31/08. ... BED DAY MINIMUM GUARANTEE (NO HEALTH CARE) ... THIS CLIN IS FOR BEDS NEEDED IN EXCESS OF THE MINIMUM GURANTEE ... BED DAY RATE FOR REQUIREMENT IN EXCESS ... 365,268.00",Minimum and excess architecture with redacted counts/rates
