facility,document,snapshot,field_sought,status,reason,source_file,pdf_page,next_step
Karnes County Civil Detention Facility,EROIGSA-11-0004,2010-12-03,Numeric payable minimum after ramp-up,not normalized as a number,"Article I.C points to Attachment 7 for when ICE starts paying minimum requirements; Article III.A separately says 480-bed minimum availability and actual detainee-day liability. The retrieved body does not supply a safe unconditional payable-bed number.",karnes-county-igsa-11-0004-2010.pdf,4-5,"Request the executed Attachment 7 ramp-up schedule only if the exact start date/volume is essential"
South Texas Detention Complex,HSCEDM-09-F-00001 P00007,2009-04-14,Guaranteed and excess bed-day unit prices,redacted,"CLIN 3029 and 3030 quantity/unit-price fields are marked b(4).",southwest-texas-hscedm09f00001-2008-2010.pdf,20,"Request unredacted CLIN 3029-3030 pricing pages"
South Texas Detention Complex (Pearsall),ACD-4-C-0001,2004-01-26,Base and option schedule unit prices,redacted,"Schedule unit prices are b(4)-redacted; the staffing PWS remains readable. Southwest Texas Detention Complex is retained as a primary-supported facility-name alias.",pearsall-cscacd4c0001-p00034-2004-2010.pdf,3-9,"Request unredacted schedule pages only"
Broward Transitional Center,HSCEDM-09-D-00006,2009-04-01,Guaranteed minimum count and bed-day prices,redacted,"Guaranteed count, quantities and unit-price fields are b(4)-redacted.",broward-contract-2009.pdf,2-5,"Request unredacted CLIN 0001-0003 and option equivalents"
Northwest Detention Center (Tacoma),HSCEDM-10-D-00001,2009-10-24,Base/excess tier quantities and unit prices,redacted,"The contract discloses extended line amounts but withholds bed counts, bed-day quantities and unit prices.",tacoma-contract-2010.pdf,2-11,"Request unredacted CLIN x001A/x001B schedules"
Aurora/Denver Contract Detention Facility,HSCEOP-06-D-00010 P00008,2008-06-27,Guaranteed/excess bed counts and unit prices,redacted,"The modification exposes tier labels and some extended amounts, but b(4)-redacts the counts and per-unit rates.",aurora-denver-contract-2006-pp1-50-ocr.pdf,41-43,"Request unredacted CLIN 1001/1002 through 4001/4002"
Adelanto Detention Facility,EROIGSA-11-0003 P00003,2011-06-01,Medical staffing FTE increase and price effect,redacted,"The FTE count and related pricing are b(4)-redacted.",adelanto-eroigsa-11-0003-409pp.pdf,241-243,"Request Attachment 1 Increase Medical Staffing Plan and associated pricing page"
Four GEO facilities,ICE 2013-FOIA-32547 invoice production,2012,Invoice unit prices,redacted,"Targeted full-document OCR confirms recurring guaranteed/expansion CLINs and invoice totals, but unit-price fields are b(4)-redacted throughout.",geo-four-facilities-payments-2012-foia32547-ocr.pdf,1-525,"Use for invoice architecture or totals; do not derive a unit rate without billable quantity and unredacted line price"
Northwest ICE Processing Center (Tacoma),HSCEDM-15-D-00015 P00049,2025-04-22,"Current guaranteed beds, staffing counts and bed-day rate",redacted,"ICE's current modification explicitly changes the guaranteed-minimum bed-day rate but masks old/new rate and staffing values.",ice-tacoma-HSCEDM15D00015-P00049-ocr.pdf,2,"Request the unredacted P00049 page 2 and incorporated staffing plans"
Aurora/Denver Contract Detention Facility,70CDCR22D00000001 P00011,2024-06-03,Current bed-day rate and staffing-plan values,redacted,"ICE's modification says the rate changed but masks the From/To values and staffing attachment.",ice-aurora-70CDCR22D00000001-P00011-ocr.pdf,2,"Request unredacted CLIN 2001C and Attachment 25"
Broward Transitional Center,70CDCR21D00000004 P00011,2023-12-14,Current facility operations and transport/guard rates,redacted,"ICE's modification exposes the units and CLIN labels but masks old/new rates and overall contract-value change.",ice-broward-70CDCR21D00000004-P00011-ocr.pdf,2-4,"Request unredacted modified CLIN schedules"
South Texas ICE Processing Center,70CDCR20D00000012 P00021,2025-04-22,Current modification schedule,direct document link not recovered,"ICE's FOIA library index lists P00021, but the direct filename was not exposed by the current paginated HTML and one diagnostic filename probe returned 404.",drc-ice-foia-productions-index.html,,"Use ICE FOIA library title in a narrow records request; current USAspending award detail is preserved separately"
All six current award snapshots,USAspending award detail,2026-07-14,Current unit prices/bed quantities,not present,"USAspending provides award/obligation values, descriptions and performance periods, not CLIN-level unit prices or guaranteed-bed schedules.",usaspending-*-current-award.json,,"Do not divide obligations by assumed capacity; obtain the ICE pricing schedules"
Cross-year rate comparison,Historical versus current,2026-07-14,Like-for-like current bed-day unit price,unavailable,"Only Karnes yielded an unredacted historical bed-day unit price. Retrieved current ICE modifications with comparable fields redact those values; USAspending contains only award-level values.",2026-07-14-lead-57786-historical-ice-rates-ledger.csv,,"No nominal or CPI-U comparison performed; use official BLS CPI only after recovering a comparable current unit price"
