dedup_key_sha256,fiscal_year,action_month,component,program_class,facility_or_service,action_date,award_id,parent_award_id,instrument_type,modification_number,is_modification,recipient_legal_name,recipient_uei,action_obligation,action_type_code,action_type_description,transaction_id,action_description,award_description,source_url,task_current_total_obligation,task_current_total_outlay,task_current_base_exercised_options,task_current_base_and_all_options_value,task_current_period_start,task_current_period_end,task_current_potential_end,parent_idv_current_total_obligation,parent_idv_current_total_outlay,parent_idv_current_base_exercised_options,parent_idv_current_base_and_all_options_value,parent_idv_current_period_start,parent_idv_current_period_end,parent_idv_current_potential_end,invoice_record_in_sources,recognized_revenue_record_in_sources,metric_boundary,primary_action_mechanism,amount_sign,is_new_or_base_task_action,is_explicit_option_exercise,is_closeout,is_deobligation,is_term_extension,is_rate_or_equitable_adjustment,is_capacity_or_scope_change,is_administrative_or_correction,fiscal_timing_class
872ec0f735068b5acda51fd7b67a52b73055da4b0ca96627f001433d52fc144a,2025,2024-10,ICE,ICE transportation/removal services,Broward Transitional Center,2024-10-09,70CDCR24FR0000053,70CDCR21D00000004,Delivery Order,P00001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,0.00,M,OTHER ADMINISTRATIVE ACTION,CONT_TX_7012_7012_70CDCR24FR0000053_P00001_70CDCR21D00000004_0,ADMIN MOD,NEW TASK ORDER TO PROVIDE FUNDING TO HOUSE AND TRANSPORT ICE DETAINEES AT BROWARD TRANSITIONAL CENTER,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,42926174.75,42940006.15,43191291.32,43191291.32,2024-09-01,2025-09-30,2025-09-30 00:00:00,0.0,,,216574844.7,2021-08-27,2026-08-31,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",other administrative action,zero-dollar action,0,0,0,0,0,0,0,1,fiscal-year first quarter
a938d8aa580e3fdb132c7bc7c2d30c27c023a91b8a91400a016bcb29129f9a82,2025,2024-10,ICE,ICE detention services,Adelanto,2024-10-16,70CDCR24FR0000011,70CDCR20D00000009,Delivery Order,P00008,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,14144700.00,C,FUNDING ONLY ACTION,CONT_TX_7012_7012_70CDCR24FR0000011_P00008_70CDCR20D00000009_0,FUNDING DETENTION BEDS AT ADELANTO,ESTABLISH NEW TASK ORDER FOR DETENTION SERVICES AT ADELANTO,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000011_7012_70CDCR20D00000009_7012,83367984.37,84155973.57,83367984.37,83367984.37,2023-12-20,2024-12-19,2024-12-19 00:00:00,0.0,,,2147338886.74,2019-12-20,2029-12-19,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",funding-only action,positive obligation,0,0,0,0,0,0,0,0,fiscal-year first quarter
2a5c7b15556cb93b24b08091ce077dc0d744174a1cdfeeb03616126cd3b9ebf9,2025,2024-10,ICE,ICE detention services,Aurora / Denver,2024-10-16,70CDCR25FR0000005,70CDCR22D00000001,Delivery Order,0,no,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,9724800.00,,NEW/INITIAL ACTION TYPE NOT POPULATED,CONT_TX_7012_7012_70CDCR25FR0000005_0_70CDCR22D00000001_0,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY","DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,59993453.2,59995192.61,59993453.2,59993453.2,2024-10-16,2025-10-15,2025-10-15 00:00:00,0.0,,,482389108.1,2021-10-16,2026-10-15,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",new/base/successor task action,positive obligation,1,0,0,0,0,0,0,0,fiscal-year first quarter
03b6c52f70b5ec26c328eb3be41a86d584670baa087e931038f4afa8a2c1f949,2025,2024-10,CBP,CBP detention/jail space,CBP RGV detention/jail space,2024-10-17,70B03C20P00000219,,PURCHASE ORDER,P00008,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,-338339.52,D,CHANGE ORDER,CONT_TX_7014_-NONE-_70B03C20P00000219_P00008_-NONE-_0,DE-OBLIGATION OF UNSPENT FUNDS.,PURCHASE OF DETENTION/JAIL SPACE FOR THE RGV SECTOR.,https://www.usaspending.gov/award/CONT_AWD_70B03C20P00000219_7014_-NONE-_-NONE-,585781.54,114783.63,585781.54,987051.3,2020-05-01,2024-10-31,2024-10-31 14:09:27,,,,,,,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",deobligation without explicit closeout,negative obligation/deobligation,0,0,0,1,0,0,0,0,fiscal-year first quarter
099ebbbfc780fe59441ebba58e9d5a61b76df0360e293ed53566be1d59f7db3b,2025,2024-10,ICE,ICE detention services,Robert A. Deyton Detention Facility,2024-10-24,70CDCR24FC0000005,70CDCR18A00000007,BPA Call,P00001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,6000.00,C,FUNDING ONLY ACTION,CONT_TX_7012_7012_70CDCR24FC0000005_P00001_70CDCR18A00000007_0,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FC0000005_7012_70CDCR18A00000007_7012,489732.4,489732.4,489732.4,489732.4,2024-07-23,2025-07-22,2025-07-22 00:00:00,0.0,,,0.0,2018-07-16,2028-07-22,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",funding-only action,positive obligation,0,0,0,0,0,0,0,0,fiscal-year first quarter
31eb1553c688900da2d86125a995ffec6b382047bc797e295b1517905e7e9d2a,2025,2024-10,ICE,ICE detention services,Tacoma / Northwest,2024-10-24,70CDCR24FR0000003,HSCEDM15D00015,Delivery Order,P00013,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,5473158.00,C,FUNDING ONLY ACTION,CONT_TX_7012_7012_70CDCR24FR0000003_P00013_HSCEDM15D00015_0,"FUNDING FOR DETENTION SERVICES AT TACOMA, WA",NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES FOR NORTHWEST DETENTION CENTER.,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,72727938.31,72727938.31,72727938.31,72727938.31,2023-10-28,2024-09-27,2025-09-27 00:00:00,0.0,,,770465597.05,2015-09-28,2025-09-27,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",funding-only action,positive obligation,0,0,0,0,0,0,0,0,fiscal-year first quarter
b0e5e135e7eaaa16bea2dc35b8efb2f8446effef6424651b7294268f96c38547,2025,2024-10,ICE,ICE ISAP/electronic monitoring,B.I. ISAP IV supervision/case management,2024-10-24,70CDCR24FR0000049,70CDCR20D00000011,Delivery Order,P00006,yes,B.I. INCORPORATED,PKK6L9KLMYR5,30339560.00,C,FUNDING ONLY ACTION,CONT_TX_7012_7012_70CDCR24FR0000049_P00006_70CDCR20D00000011_0,FUNDING FOR INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) IV ALTERNATIVES TO DETENTION OPERATIONAL SUPPORT,INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP IV),https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000049_7012_70CDCR20D00000011_7012,270648323.5,270442578.35,270648323.5,270648323.5,2024-08-01,2025-09-30,2025-09-30 00:00:00,0.0,,,2216562177.89,2020-03-23,2025-09-30,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",funding-only action,positive obligation,0,0,0,0,0,0,0,0,fiscal-year first quarter
0ea9115da618fc79f7a7d66498dc0e4653de363c2450df6a186e9f95ae3cdbd0,2025,2024-10,ICE,ICE detention services,Tacoma / Northwest,2024-10-24,70CDCR25FR0000004,HSCEDM15D00015,Delivery Order,0,no,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,13617122.00,,NEW/INITIAL ACTION TYPE NOT POPULATED,CONT_TX_7012_7012_70CDCR25FR0000004_0_HSCEDM15D00015_0,"NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES AT TACOMA, WA FOR SEATTLE AOR","NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES AT TACOMA, WA FOR SEATTLE AOR",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,117431349.5,114161655.04,117431349.5,117431349.5,2024-10-28,2026-03-27,2026-03-27 00:00:00,0.0,,,770465597.05,2015-09-28,2025-09-27,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",new/base/successor task action,positive obligation,1,0,0,0,0,0,0,0,fiscal-year first quarter
fe65e0949a81e934f14697b949a2af5602f53a8d99b745388b100612093caa05,2025,2024-10,ICE,ICE detention services,Rio Grande Detention Center,2024-10-25,70CDCR24FC0000004,HSCEDM14A00001,BPA Call,P00005,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1025800.00,C,FUNDING ONLY ACTION,CONT_TX_7012_7012_70CDCR24FC0000004_P00005_HSCEDM14A00001_0,RIO GRANDE DETENTION CENTER FUNDING MOD,RIO GRANDE DETENTION CENTER FY24 BPA CALL,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FC0000004_7012_HSCEDM14A00001_7012,6796406.43,6796406.43,6796406.43,6796406.43,2024-04-01,2025-03-31,2025-03-31 00:00:00,162677.4,,0.0,92715840.0,2013-12-17,2027-04-20,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",funding-only action,positive obligation,0,0,0,0,0,0,0,0,fiscal-year first quarter
2e7428c150bd13bc36830110388f3c59faf66ec6a815f2973839cf76ea5d1c32,2025,2024-10,ICE,ICE other/unresolved,Montgomery Processing Center,2024-10-25,70CDCR24FR0000056,HSCEDM17D00009,Delivery Order,P00002,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,11943800.00,C,FUNDING ONLY ACTION,CONT_TX_7012_7012_70CDCR24FR0000056_P00002_HSCEDM17D00009_0,MONTGOMERY PROCESSING CTR FY24,MONTGOMERY PROCESSING CTR FY24,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,61884954.77,60431911.58,61884954.77,61884954.77,2024-08-17,2025-08-17,2025-08-17 00:00:00,0.0,,,581788698.78,2017-04-12,2026-08-17,,not present,not transaction-attributable,"action_obligation is a transaction flow; task/IDV obligations, outlays, and values are current award snapshots repeated across rows; no invoice or transaction-attributable recognized-revenue record is present",funding-only action,positive obligation,0,0,0,0,0,0,0,0,fiscal-year first quarter
