date,event_type,entity_or_entities,event,capacity_or_effect,source_ref,finding_or_relation
1978-09-28,formation,B.I. Incorporated,Articles of Incorporation filed and effective under exact name B.I. INCORPORATED,Colorado domestic profit corporation; entity ID 19871356363,CO_SOS:19871356363,Finding 13051
1980-10-21,amendment,B.I. Incorporated,Amendment recorded,Substance not described in transaction metadata,CO_SOS_HISTORY:19871356363,
1981-12-15,amendment,B.I. Incorporated,Two amendments recorded; one comment says CHANGE RORA,No expansion of source acronym or unstated substance,CO_SOS_HISTORY:19871356363,
1983-03-07,amendment,B.I. Incorporated,Two amendments recorded; one comment says CHANGE RORA,No expansion of source acronym or unstated substance,CO_SOS_HISTORY:19871356363,
1986-06-25,amendment,B.I. Incorporated,Amendment recorded with comment CHANGE RORA,No expansion of source acronym or unstated substance,CO_SOS_HISTORY:19871356363,
1987-01-14,amendment,B.I. Incorporated,Amendment recorded,Substance not described,CO_SOS_HISTORY:19871356363,
1987-01-21,amendment,B.I. Incorporated,Amendment recorded with comment CHANGE RORA,No expansion of source acronym or unstated substance,CO_SOS_HISTORY:19871356363,
1987-03-26,amendment,B.I. Incorporated,Amendment recorded,Substance not described,CO_SOS_HISTORY:19871356363,
1988-02-17,amendment,B.I. Incorporated,Amendment recorded,Substance not described,CO_SOS_HISTORY:19871356363,
1993-03-29,amendment,B.I. Incorporated,Amendment recorded with comment CHANGE RORA,No expansion of source acronym or unstated substance,CO_SOS_HISTORY:19871356363,
1994-06-30,merger-survivor,B.I. Incorporated; Guardian Technologies Inc.; BI Monitoring Corporation,B.I. listed as surviving entity in two merger rows,Guardian Technologies and BI Monitoring listed as non-survivors,CO_SOS_HISTORY:19871356363,Finding 13052
1995-01-11,foreign-qualification,BI Incorporated of Colorado,Florida foreign-profit registration F95000000233 recorded,FEI 840769926; formation state CO; active in bulk snapshot,FL-SunBiz:F95000000233,Finding 13055
1999-06-30,merger-survivor,B.I. Incorporated; Peregrine Corrections Inc.,B.I. listed as surviving entity,Peregrine Corrections listed as non-survivor,CO_SOS_HISTORY:19871356363,Finding 13052
2000-04-10,merger-survivor,B.I. Incorporated; Community Corrections Corporation,B.I. listed as surviving entity,Community Corrections listed as non-survivor,CO_SOS_HISTORY:19871356363,Finding 13052
2000-10-06,merger-survivor,B.I. Incorporated; KBII Acquisition Company Inc.,B.I. listed as surviving entity,KBII Acquisition listed as non-survivor,CO_SOS_HISTORY:19871356363,Finding 13052
2000-11-28,amendment,B.I. Incorporated,Amended and restated filing with RORA and stock-change comment,Exact stock or governance terms unavailable in metadata,CO_SOS_HISTORY:19871356363,
2001-04-13,amendment,B.I. Incorporated,Amendment recorded with comment CHANGE RORA,No expansion of source acronym or unstated substance,CO_SOS_HISTORY:19871356363,
2008-08,formation-purpose,BII Holding Corporation,BII incorporated in Delaware to acquire 100% of Behavioral Holding Corp.,Holding company; exact day not stated,SEC:0000950123-11-056083:F-7,Finding 13053
2008-08-15,ownership,BII Holding Corporation; Behavioral Holding Corp.; B.I. Incorporated,BII acquisition of 100% of BHC became effective; BHC wholly owned BI,Historical evidenced chain BII -> BHC -> BI,SEC:0000950123-11-056083:F-7,Finding 13053; Relations 855-856
2010-12-21,merger-agreement,GEO; GEO Acquisition IV; BII Holding Corporation,GEO merger subsidiary agreed to merge into BII Holding,Planned result: BII survives as wholly owned GEO subsidiary; announced consideration $415m,SEC:0000950123-10-116753:EX-2.1,Existing finding 12783
2011-02-10,acquisition-close,GEO; BII Holding Corporation; B.I. Incorporated,GEO reports acquisition closed,BII survives; $409.6m cash consideration excluding acquired cash expenses and adjustments,SEC:0001193125-12-090269:10-K,Existing finding 12783; Relation 857
2011-06-02,co-registrant-disclosure,BII Holding; BII Holding I; Behavioral Holding; Behavioral Acquisition; B.I. Incorporated,SEC S-4/A lists jurisdictions EINs and signatories,BI shown CO/EIN 840769926; three holding entities shown DE,SEC:0000950123-11-056083,
2025-09-29,periodic-report,B.I. Incorporated,Colorado file report recorded with principal-address-change comment,Latest periodic/file report in retrieved Colorado history,CO_SOS_HISTORY:19871356363,
2025-12-22,agent-change,B.I. Incorporated,Colorado registered-agent statement of change recorded,Latest transaction in retrieved Colorado history,CO_SOS_HISTORY:19871356363,
2025-12-31,current-subsidiary,B.I. Incorporated,GEO Exhibit 21 lists B.I. Incorporated (CO),Direct-or-indirect 100%-held GEO subsidiary; significant-subsidiary list caveat applies,SEC:0001193125-26-071747:EX-21.1,Finding 12382
2025-12-31,current-guarantors,BI Incorporated; BII Holding; BII Holding I; Behavioral Holding,GEO Exhibit 22 names all four as subsidiary guarantors,Exact current intermediate chain not disclosed,SEC:0001193125-26-071747:EX-22.1,Finding 13054; Relations 858-859
2026-03-01,federal-registration,B.I. Incorporated,SAM public bulk lists UEI PKK6L9KLMYR5 and CAGE 3CUH9,Active registration; expiration 2026-11-13; entity start 1978-09-28; CO incorporation,SAM:UEI:PKK6L9KLMYR5,Finding 13056
2026-07-14,identity-resolution,B.I. Incorporated name variants,Primary records resolve four name forms to one Colorado corporation,Medium-confidence multi-document synthesis; legacy duplicates retained,CO_SOS:19871356363 | SEC:CIK:0001517758 | FL-SunBiz:F95000000233 | SEC:EX-21/22 | SAM:UEI:PKK6L9KLMYR5,Finding 13056; Aliases 226-227
