db_record_id,db_entity_id,entity,record_kind,subject,capacity,address,date_start,date_end,source
2626,4811,"GEO Secure Services, LLC",role,George C. Zoley,Manager,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
2627,4811,"GEO Secure Services, LLC",role,J. David Donahue,Manager,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
2628,4811,"GEO Secure Services, LLC",role,Wayne Calabrese,Manager,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
2629,4811,"GEO Secure Services, LLC",role,Scott Schipma,Manager,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
2630,4811,"GEO Secure Services, LLC",role,Shayn March,Manager,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
2587,5146,"GEO GSS HOLDINGS, LLC",role,George C. Zoley,"Manager, Executive Chairman",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2631,5146,"GEO GSS HOLDINGS, LLC",role,Brian R. Evans,"Manager, VP, Finance and CFO",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2632,5146,"GEO GSS HOLDINGS, LLC",role,Joe Negron,"Manager, VP, Secretary",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2633,5146,"GEO GSS HOLDINGS, LLC",role,Jose Gordo,CEO,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2634,5146,"GEO GSS HOLDINGS, LLC",role,Wayne Calabrese,President,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2635,5146,"GEO GSS HOLDINGS, LLC",role,Ron Brack,"VP, Accounting",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2636,5146,"GEO GSS HOLDINGS, LLC",role,Beth A. Crews,"VP, Asst. Secretary",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2637,5146,"GEO GSS HOLDINGS, LLC",role,Marcel Maier,"VP, Tax",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
2638,5146,"GEO GSS HOLDINGS, LLC",role,Shayn March,"VP, Treasurer",,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
1065,4811,"GEO Secure Services, LLC",address,,physical,"4955 Technology Way, Boca Raton, FL 33431",,,SAM:UEI:JLG3JBCL4CC7
1076,4811,"GEO Secure Services, LLC",address,,principal,"4955 Technology Way, Boca Raton, FL 33431",,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
1077,4811,"GEO Secure Services, LLC",address,,mailing,"4955 Technology Way, Boca Raton, FL 33431",,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
1078,4811,"GEO Secure Services, LLC",address,,agent,"801 US Highway 1, North Palm Beach, FL 33408",,,https://search.sunbiz.org/Inquiry/CorporationSearch/GetDocument?aggregateId=flal-l12000160666-e9e0a86b-50b0-45a6-ac14-e7b760b95ebd&formatType=PDF&transactionId=l12000160666-45b94f6e-16e9-4a7a-86c8-63bc01dc11e4
1079,5146,"GEO GSS HOLDINGS, LLC",address,,principal,"4955 Technology Way, Boca Raton, FL 33431",,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
1080,5146,"GEO GSS HOLDINGS, LLC",address,,mailing,"4955 Technology Way, Boca Raton, FL 33431",,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
1081,5146,"GEO GSS HOLDINGS, LLC",address,,agent,"801 US Highway 1, North Palm Beach, FL 33408",,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchByNumber?searchNumber=L22000531201
