date,event,legal_name,identifier_or_record,corporate_or_recipient_status,parent_or_group_attribution,source_family,source_ref,evidentiary_boundary
2007-10-04,Florida formation,GEO TRANSPORT INC.,P07000109960 / EIN 56-2677868,Florida profit corporation; active on retrieval,Not stated by formation record,Florida Division of Corporations,SUNBIZ:P07000109960,"Official detail says No Events and No Name History; this is a Florida-record boundary"
2008-04-21,First annual report image listed after formation,GEO TRANSPORT INC.,P07000109960,Annual report image listed,Not stated,Florida Division of Corporations,SUNBIZ:P07000109960:2008-ANNUAL-REPORT,Image not separately downloaded
2011-06-02,SEC co-registrant filing,GEO Transport Inc.,CIK 0001517753 / EIN 56-2677868,Florida co-registrant in S-4/A,GEO registration-statement group,SEC EDGAR,SEC:0000950123-11-056083:S-4/A,"Co-registration and guarantor-family context do not identify the exact immediate parent"
2012-03-21,SAM registration,GEO TRANSPORT INC.,UEI DFEKRCYPZD84 / CAGE 6PV86,Federal entity registration,No parent field in SAM row,SAM public extract,SAM:UEI:DFEKRCYPZD84,"Registration date is not entity formation date"
2019-04-26,Principal and mailing address change,GEO TRANSPORT INC.,4955 Technology Way Boca Raton FL 33431,Current Sunbiz address on retrieval,Shared GEO headquarters address,Florida Division of Corporations,SUNBIZ:P07000109960,"Shared address is not ownership or operational evidence by itself"
2021-09-22,ICE definitive-contract recipient attribution,GEO TRANSPORT INC.,70CDCR21C00000005 / UEI DFEKRCYPZD84,Direct ICE prime recipient,USAspending parent recipient THE GEO GROUP INC. / JMLKZZ1NL2Z6,USAspending,USASPENDING:CONT_AWD_70CDCR21C00000005_7012_-NONE-_-NONE-,"Parent-recipient field establishes federal recipient grouping; exact immediate corporate parent unresolved"
2025-04-16,Latest Sunbiz annual report image listed,GEO TRANSPORT INC.,P07000109960,Annual report image listed,Not stated,Florida Division of Corporations,SUNBIZ:P07000109960:2025-ANNUAL-REPORT,Image not separately downloaded
2025-09-23,SAM activation and last update,GEO TRANSPORT INC.,UEI DFEKRCYPZD84 / CAGE 6PV86,Extract expiration 2026-09-19; no DBA,No parent field in SAM row,SAM public extract,SAM:UEI:DFEKRCYPZD84,"March 2026 public extract snapshot; not a live SAM status call"
2025-12-31,FY2025 subsidiary disclosure,GEO Transport Inc.,Exhibit 21.1,Listed subsidiary under direct-or-indirect 100% sentence,Ultimate GEO ownership; exact immediate parent not specified,SEC EDGAR,SEC:0001193125-26-071747:EX-21.1,"Exhibit omits 75 domestic and 20 foreign subsidiaries"
2025-12-31,FY2025 guarantor disclosure,GEO Transport Inc.,Exhibit 22.1,Subsidiary guarantor to outstanding GEO senior notes,GEO guarantor group,SEC EDGAR,SEC:0001193125-26-071747:EX-22.1,"Guarantor status is not an immediate-parent disclosure"
2026-01-09,ICE delivery-order recipient attribution,GEO TRANSPORT INC.,70CDCR26FR0000002 / UEI DFEKRCYPZD84,Direct ICE prime delivery-order recipient,USAspending parent recipient THE GEO GROUP INC. / JMLKZZ1NL2Z6,USAspending,USASPENDING:CONT_AWD_70CDCR26FR0000002_7012_70CDCR25D00000002_7012,"No award totals repeated in this legal-entity trace"
2026-07-14,Current official-detail retrieval,GEO TRANSPORT INC.,P07000109960,Active; 14 officers listed; No Events; No Name History,No beneficial-ownership conclusion from officer roster,Florida Division of Corporations,SUNBIZ:P07000109960:LIVE:2026-07-14,"Officer listing is neither beneficial ownership nor operational or contract involvement"
