role_id,person_name,sunbiz_title,address,listing_status,retrieved_at,source_ref,boundary
2585,George C. Zoley,"DIRECTOR, Executive Chairman","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2613,Joe Negron,"VP, SECRETARY, DIRECTOR","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2614,Marcel Maier,"VP, Tax","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2615,Ronald A Brack,"VP, CONTROLLER","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2616,Beth A. Crews,"VP, ASST. SEC.","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2617,Amber Martin,"VP, Contract Administration","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2618,Ed Stubbs,"VP, Operations","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2619,Shayn March,"VP, ASST. TREASURER","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2620,Eben Morales,VP,"4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2621,Ashley Neill,VP,"4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2622,Wayne Calabrese,"VP, COO","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2623,J. David Donahue,"President, Director","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2624,Paul Laird,"VP, Director","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
2625,Mark Suchinski,"VP, Treasurer","4955 Technology Way, Boca Raton, FL 33431",current listed officer,2026-07-14,SUNBIZ:P07000109960:LIVE:2026-07-14,"Not beneficial ownership or evidence of operational or contract involvement"
