match_id,confidence,match_rule,name_score,date_gap_days,amount,state_record_id,state_date,state_payer_as_filed,state_recipient_as_filed,fec_record_id,fec_date,fec_recipient_as_filed,fec_transaction_id,fec_sub_id,deduplication_disposition
PACMATCH:8bfac0482081f5ccc791,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,17,10000.00,FL:57e1a5c930fb0a9be2fb1103,2015-10-31,"THE GEO GROUP, INC PAC",Let's Get To Work (PAC),FEC:4110920151256920493,2015-10-14,LET'S GET TO WORK,9489749,4110920151256920493,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:3575080d44aa9cef183e,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,22,5000.00,FL:1fbf510be628de56684f418e,2015-11-10,"THE GEO GROUP, INC. PAC",Friends of Dana Young (PAC),FEC:4110920151256920492,2015-10-19,FRIENDS OF DANA YOUNG,9488339,4110920151256920492,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:bbf56ba0855f2918a1ad,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,21,25000.00,FL:6388bca223120f138421d69a,2016-01-08,THE GEO GROUP INC. POLITICAL ACTION COMMITTEE,Florida Republican Senatorial Campaign C (PAP),FEC:4012820161261104206,2015-12-18,FLORIDA REPUBLICAN SENATORIAL CAMPAIGN COMMITTEE,9597728,4012820161261104206,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:9147f388d3a512bdd18b,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,6,10000.00,FL:fbe002dd129ad2fc7cb03819,2016-01-11,"THE GEO GROUP, INC POLITICAL ACTION COMMITTEE",Conservative Principles for Florida (PAC),FEC:4021920161272554256,2016-01-05,CONSERVATIVE PRINCIPLES FOR FLORIDA PC,9627141,4021920161272554256,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:96efc36b06fe7eefde1c,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,6,25000.00,FL:ff2871070081e3c1a7bc8eb1,2016-01-11,THE GEO GROUP INC PAC,Growing A Sustainable Future (PAC),FEC:4021920161272554255,2016-01-05,GROWING A SUSTAINABLE FUTURE,9627140,4021920161272554255,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:db025c39f627d59f1ef6,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,10,437.00,FL:b3ec7620f6457f72a72092c2,2016-04-28,"THE GEO GROUP, INC. PAC-FLORIDA","Brandes, Jeff  (REP)(STS)",FEC:4052020161292990698,2016-04-18,JEFF BRANDES CAMPAIGN,9811213,4052020161292990698,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:e28006838c19b3dcd15d,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,6,1000.00,FL:f78b2d261d825cc9291758e7,2016-05-16,"THE GEO GROUP, INC. PAC","Young, Dana  (REP)(STS)",FEC:4060720161294536515,2016-05-10,DANA D. YOUNG CAMPAIGN,9859607,4060720161294536515,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:fc7b46f01950e7e87304,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,0.916667,42,1000.00,FL:e65dc4f72b0ca598f1239a07,2016-05-24,"THE GEO GROUP, INC. PAC","Siplin, Gary  (DEM)(STS)",FEC:4052020161292990694,2016-04-12,GARY SILPIN CAMPAIGN FOR SENATE,9798194,4052020161292990694,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:4a86262a0500542617bb,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,14,12500.00,FL:81d9e79b90fc9f89fa4e1373,2016-07-06,"THE GEO GROUP, INC. PAC",Innovate Florida (PAC),FEC:4110120161345675449,2016-06-22,INNOVATE FLORIDA,9923651,4110120161345675449,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:ee56e87c21d23ba64d89,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,7,1000.00,FL:e0f16dc572bb6ac1019dcc4a,2016-08-08,"THE GEO GROUP, INC. PAC","Broxson, Doug  (REP)(STS)",FEC:4110320161345898471,2016-08-01,DOUG BROXSON CAMPAIGN,9999289,4110320161345898471,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:75aa62cdd8c02ea3e11b,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,10,1000.00,FL:21ede0e611a2282dc91f6271,2016-08-11,THE GEO GROUP INC. PAC,"Rivera, David  (REP)(STR)",FEC:4110320161345898481,2016-08-01,DAVID RIVERA CAMPAIGN,9999295,4110320161345898481,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:89b4329675a7f25ab7bf,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,11,1000.00,FL:0dbb8880db5be3c229619835,2016-08-12,"THE GEO GROUP, INC. POLITICAL ACTION COMMITTEE","Artiles, Frank  (REP)(STS)",FEC:4110320161345898473,2016-08-01,FRANK ARTILES CAMPAIGN,9999291,4110320161345898473,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:b09e0f0c6e4d912f1ec7,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,0.976190,11,1000.00,FL:72b04a0d7cd680effd9eac70,2016-08-12,THE GEO GROUP PAC,"Benacquisto, Lizbeth  (REP)(STS)",FEC:4110320161345898465,2016-08-01,LIZBETH BENAQUISTO CAMPAIGN,9999285,4110320161345898465,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:3dd0a4484aefe9f5f38c,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,12,1000.00,FL:1de24f465acaa59f08c4d3e3,2016-08-26,THE GEO GROUP INC.  - PAC,"Perry, Keith  (REP)(STS)",FEC:4012420171368502138,2016-09-07,KEITH PERRY CAMPAIGN,10051123,4012420171368502138,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:f3e8028155de5d9bae1c,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,45,1000.00,FL:732c42c60bfc34dfcc7e1294,2016-09-15,"THE GEO GROUP, INC. PAC","Young, Dana  (REP)(STS)",FEC:4110320161345898477,2016-08-01,DANA YOUNG CAMPAIGN,9999293,4110320161345898477,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:ec42d0661ee861a2de98,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,0.960000,13,1000.00,FL:a9148dda9523bfa280ee2965,2016-09-20,THE GEO GROUP INC. POLITICAL ACTION COMMITTEE,"Diaz de la Portilla, Miguel  (REP)(STS)",FEC:4012420171368502140,2016-09-07,MIGUEL DIAZ DE LAS PORTILLA CAMPAIGN,10051124,4012420171368502140,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:e0dcf037a873d86ad647,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,14,1000.00,FL:da9c61dfc1aae16fdda1fe2c,2016-09-21,"THE GEO GROUP, INC. POLITICAL ACTION COMMITTEE","Flores, Anitere  (REP)(STS)",FEC:4012420171368502136,2016-09-07,ANITERE FLORES CAMPAIGN,10051122,4012420171368502136,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:af817e56358e8063863e,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,15,1000.00,FL:e5886b5bb95cc855dd664123,2016-09-22,"THE GEO GROUP, INC. POLITICAL ACTION COMMITTEE","Artiles, Frank  (REP)(STS)",FEC:4012420171368502134,2016-09-07,FRANK ARTILES CAMPAIGN,10051121,4012420171368502134,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:b7f91d3ac6fa4555c0e4,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,2,1000.00,FL:aa0128ff61bf2ab810315410,2016-10-21,"THE GEO GROUP, INC. PAC","Negron, Joe  (REP)(STS)",FEC:4012420171368502194,2016-10-19,JOE NEGRON FOR FLORIDA SENATE,10141378,4012420171368502194,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:37bd1f7d1b01765a8e2a,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,22,3000.00,FL:8b399a7f13fe104e92851b6e,2017-06-29,"THE GEO GROUP, INC POLITICAL ACTION COMMITTEE","Putnam, Adam H. (REP)(GOV)",FEC:4071320171418836420,2017-06-07,ADAM PUTNAM CAMPAIGN ACCOUNT,10533652,4071320171418836420,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:b424f5b776a93d2c8baa,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,6,1000.00,FL:348069be89b0b3cd8e2f2acc,2018-10-18,THE GEO GROUP INC. POLITICAL ACTION COMMITTEE,"Lee, Tom  (REP)(STS)",FEC:4111620181618046034,2018-10-12,TOM LEE CAMPAIGN,11507017,4111620181618046034,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
PACMATCH:9d843ce6047f71da3b28,high,exact positive amount; Florida jurisdiction; date gap <=45 days; recipient token-fuzzy score >=0.90; one-to-one assignment,1.000000,4,1000.00,FL:c14f5c3847a01996d84cb676,2018-10-30,"THE GEO GROUP, INC. PAC",Treasure Florida (PAC),FEC:4112920181620186664,2018-10-26,TREASURE FLORIDA,11542478,4112920181620186664,same underlying payment corroborated across payer/recipient sources; count FEC canonical row once
