row_id,event_date,year,jurisdiction_code,jurisdiction_name,exact_payer_legal_name_as_filed,payer_class,payer_class_basis,recipient_name_as_filed,recipient_type,recipient_type_basis,party,party_basis,office,office_basis,amount,amount_sign,transaction_type,transaction_status_code,refund_void_amendment_status,source_record_id,transaction_id,guid,filer_report_id,filer_report_version_id,parent_transaction_guid,report_name,election_type_source_reported,source_file,source_url,source_quote,aggregation_eligible,duplicate_amendment_notes,coverage_boundary,company_report_corporate_total,company_minus_primary_strict_coverage_difference,notes
GA-194160,2025-12-30,2025,GA,Georgia,"The GEO Group, Inc",geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Alan Powell Campaign,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,2000.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-194160,194160,758076e9-dde6-4316-b666-ad7b9a60a744,1063,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":194160,""guid"":""758076e9-dde6-4316-b666-ad7b9a60a744"",""transactionDate"":""12/30/2025"",""sourceName"":""The GEO Group, Inc"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Alan Powell Campaign"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":2000.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1063,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":null,""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-193001,2025-12-29,2025,GA,Georgia,The GEO Group Inc,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Friends of Jon Burns,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,3300.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-193001,193001,0fe0d472-b6be-4273-ad69-d05b8bbc6264,1259,1,,2026 Jan 31 CCDR,General-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":193001,""guid"":""0fe0d472-b6be-4273-ad69-d05b8bbc6264"",""transactionDate"":""12/29/2025"",""sourceName"":""The GEO Group Inc"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Friends of Jon Burns"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":3300.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1259,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""General-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-193014,2025-12-29,2025,GA,Georgia,The GEO Group Inc,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Friends of Jon Burns,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,1700.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-193014,193014,19437752-7978-49d2-8508-128db4cf7a3a,1259,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":193014,""guid"":""19437752-7978-49d2-8508-128db4cf7a3a"",""transactionDate"":""12/29/2025"",""sourceName"":""The GEO Group Inc"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Friends of Jon Burns"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":1700.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1259,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-211137,2025-12-23,2025,GA,Georgia,The Geo Group Inc,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Burt Jones for Georgia,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,4000.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-211137,211137,f7c20279-871c-44cd-b8d9-12a369071f8f,1291,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":211137,""guid"":""f7c20279-871c-44cd-b8d9-12a369071f8f"",""transactionDate"":""12/23/2025"",""sourceName"":""The Geo Group Inc"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Burt Jones for Georgia"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":4000.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1291,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431-3367""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-73062,2025-12-02,2025,GA,Georgia,The GEO Group Inc,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Rob Leverett for State House,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,1000.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-73062,73062,6385bcc2-a120-46c1-b58b-16b5968b272f,587,1,,2026 Jan 31 CCDR,General-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":73062,""guid"":""6385bcc2-a120-46c1-b58b-16b5968b272f"",""transactionDate"":""12/02/2025"",""sourceName"":""The GEO Group Inc"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Rob Leverett for State House"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":1000.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":587,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""General-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":null,""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-190311,2025-12-01,2025,GA,Georgia,"The GEO Group, Inc PAC",ambiguous_pac_name_filed_as_business,Payer string contains PAC but PeachFile transactionSource is Corporation / Business / Unregistered Committee; excluded from strict corporate aggregation.,Crowe for Georgia,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,1000.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-190311,190311,99fefbf8-85bb-45da-89a4-f648cfc9a5af,1279,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":190311,""guid"":""99fefbf8-85bb-45da-89a4-f648cfc9a5af"",""transactionDate"":""12/01/2025"",""sourceName"":""The GEO Group, Inc PAC"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Crowe for Georgia"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":1000.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1279,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",false,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,PAC-labelled payer ambiguity; preserve separately from corporate rows.
GA-107829,2025-11-25,2025,GA,Georgia,The Geo Group Inc.,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Committee to Elect Robertson for Georgia,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,1000.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-107829,107829,3cad202a-caa4-4207-800c-7603a75928b8,902,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":107829,""guid"":""3cad202a-caa4-4207-800c-7603a75928b8"",""transactionDate"":""11/25/2025"",""sourceName"":""The Geo Group Inc."",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Committee to Elect Robertson for Georgia"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":1000.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":902,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431-3367""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-149742,2025-11-06,2025,GA,Georgia,The Geo Group Inc Political Contribution Account,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,John F. Kennedy for Georgia,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,2500.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-149742,149742,451f7faf-8f2c-4fca-bba8-99950656570b,1315,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":149742,""guid"":""451f7faf-8f2c-4fca-bba8-99950656570b"",""transactionDate"":""11/06/2025"",""sourceName"":""The Geo Group Inc Political Contribution Account"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""John F. Kennedy for Georgia"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":2500.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1315,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431-3367""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-154223,2025-11-06,2025,GA,Georgia,The GEO Group Inc ,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Larry Walker for State Senate,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,2500.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-154223,154223,62e3f903-66c2-418e-b86e-6fb2b0375b5a,1107,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":154223,""guid"":""62e3f903-66c2-418e-b86e-6fb2b0375b5a"",""transactionDate"":""11/06/2025"",""sourceName"":""The GEO Group Inc "",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Larry Walker for State Senate"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":2500.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1107,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":"""",""transactionSourceCity"":""Boca Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
GA-39935,2025-10-06,2025,GA,Georgia,The  GEO Group Inc,geo_corporate_legal_entity,Exact GEO Group corporate/PCA payer string and 4955 Technology Way address returned under PeachFile source type TBSN.,Friends for Doreen Carter,Campaign Committee,PeachFile filerTypeDesc; this may not match GEO report's candidate/committee categorization.,,not_source_reported,,not_source_reported,2000.00,positive,Contribution,TFIL,filed positive; parentTguid null; filerReportVersionId 1; no refund/void flag in returned item,GA-PeachFile-transactionId-39935,39935,562aaefd-4d21-46ab-8af1-b5ba4ccf398d,1253,1,,2026 Jan 31 CCDR,Primary-2026,2026-07-14-lead-59033-nonfl-corporate-wave6-manifest.json,https://api-peachfile.ethics.ga.gov/api/PublicTransactionDetails/GetTransactionDetails,"{""transactionId"":39935,""guid"":""562aaefd-4d21-46ab-8af1-b5ba4ccf398d"",""transactionDate"":""10/06/2025"",""sourceName"":""The  GEO Group Inc"",""transactionSource"":""Corporation / Business / Unregistered Committee"",""filerName"":""Friends for Doreen Carter"",""filerTypeDesc"":""Campaign Committee"",""transactionAmount"":2000.0,""transactionTypeCodeDescription"":""Contribution"",""transactionStatusCode"":""TFIL"",""reportName"":""2026 Jan 31 CCDR"",""filerReportId"":1253,""filerReportVersionId"":1,""parentTguid"":null,""electionTypeDescription"":""Primary-2026"",""transactionSourceAddressLine1"":""4955 Technology Way"",""transactionSourceAddressLine2"":null,""transactionSourceCity"":""Boco Raton"",""transactionSourceStateCode"":""FL"",""transactionSourceZipcode"":""33431""}",true,"Kept as a distinct row. No deduplication: unique transactionId/guid; no parentTguid. The two Friends of Jon Burns rows have separate transaction IDs, GUIDs, amounts, and election types.","PeachFile public API sourceName=GEO, sourceTypeCode=TBSN, transactionTypeCode=TCON, 2024-01-01 through 2025-12-31; all 2,483 returned items across 25 pages reviewed with exact-name/address filtering. Legacy system separately reviewed across 17 pages.",64800.00,38800.00,
