committee_id,committee_name,committee_party_official,recipient_class,trump_named_committee,source_receipt_rows,gross_source_receipts,linked_refunds,linked_refund_net
C00382150,"THE GEO GROUP, INC. POLITICAL ACTION COMMITTEE",,geo_company_pac,no,1071,465022.1,576.9,464445.2
C00618389,TRUMP VICTORY,,external_political_committee,yes,4,253000.0,0,253000.0
C00858373,GROW THE MAJORITY,,external_political_committee,no,2,200000.0,0,200000.0
C00766782,TAKE BACK THE HOUSE 2022,,external_political_committee,no,2,150000.0,0,150000.0
C00695585,TAKE BACK THE HOUSE 2020,,external_political_committee,no,1,100000.0,0,100000.0
C00544544,NEW REPUBLICAN PAC,,external_political_committee,no,1,50000.0,0,50000.0
C00831925,PROTECT THE HOUSE 2024,,external_political_committee,no,1,50000.0,0,50000.0
C00676957,RICK SCOTT VICTORY FUND,,external_political_committee,no,1,39300.0,0,39300.0
C00371302,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,DEMOCRATIC PARTY,external_political_committee,no,11,28100.0,0,28100.0
C00867937,"TRUMP 47 COMMITTEE, INC.",,external_political_committee,yes,1,25000.0,0,25000.0
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,,external_political_committee,yes,3,24200.0,0,24200.0
C00692343,TEAM RICK SCOTT,,external_political_committee,no,6,21600.0,0,21600.0
C00568162,SCALISE LEADERSHIP FUND,,external_political_committee,no,2,20000.0,0,20000.0
C00494617,RUBIO VICTORY COMMITTEE,,external_political_committee,no,1,16850.0,0,16850.0
C00369033,TEXANS FOR SENATOR JOHN CORNYN INC.,REPUBLICAN PARTY,external_political_committee,no,3,12500.0,0,12500.0
C00428110,"SPIRIT AEROSYSTEMS, INC. PAC",,external_political_committee,no,79,11286.0,0,11286.0
C00620518,MARCO RUBIO FOR SENATE 2016,REPUBLICAN PARTY,external_political_committee,no,7,10750.0,0,10750.0
C00896332,ASHLEY MOODY VICTORY FUND,,external_political_committee,no,4,10500.0,0,10500.0
C00439398,TEXAS FIRST PAC,,external_political_committee,no,2,10000.0,0,10000.0
C00571208,ONE GEORGIA PAC,,external_political_committee,no,2,10000.0,0,10000.0
C00856120,KARI LAKE VICTORY FUND,,external_political_committee,no,1,10000.0,0,10000.0
C00676965,RICK SCOTT FOR FLORIDA,REPUBLICAN PARTY,external_political_committee,no,3,8100.0,0,8100.0
C00547570,PERDUE FOR SENATE,REPUBLICAN PARTY,external_political_committee,no,4,8000.0,0,8000.0
C00575910,REBECCA NEGRON FOR CONGRESS,REPUBLICAN PARTY,external_political_committee,no,4,7400.0,2700.0,4700.0
C00539825,CAPITO FOR WEST VIRGINIA,REPUBLICAN PARTY,external_political_committee,no,3,7000.0,0,7000.0
C00500025,RECLAIM AMERICA PAC,,external_political_committee,no,3,6500.0,0,6500.0
C00371203,JOHN CARTER FOR CONGRESS,REPUBLICAN PARTY,external_political_committee,no,2,5400.0,0,5400.0
C00387464,ALAMO PAC,,external_political_committee,no,1,5000.0,0,5000.0
C00473827,FRIENDS OF MIKE LEE INC,REPUBLICAN PARTY,external_political_committee,no,2,5000.0,0,5000.0
C00497305,YOPAC,,external_political_committee,no,1,5000.0,0,5000.0
C00502039,COLLINS FOR CONGRESS,REPUBLICAN PARTY,external_political_committee,no,2,5000.0,0,5000.0
C00541011,MCCARTHY VICTORY FUND,,external_political_committee,no,1,5000.0,0,5000.0
C00547976,"BEN SASSE FOR U.S. SENATE, INC.",REPUBLICAN PARTY,external_political_committee,no,2,5000.0,0,5000.0
C00736991,TEAM LOEFFLER,,external_political_committee,no,1,5000.0,0,5000.0
C00760108,BYRON DONALDS VICTORY FUND,,external_political_committee,no,1,5000.0,0,5000.0
C00458844,MARCO RUBIO FOR PRESIDENT,REPUBLICAN PARTY,external_political_committee,no,2,3700.0,5200.0,-1500.0
C00687574,GREEN VICTORY FUND,,external_political_committee,no,1,3300.0,0,3300.0
