evidence_id,claim_scope,event_or_filing_date,source_class,local_path,official_url,exact_quote_or_structured_value,interpretation,boundary
OGE-COVER,"Filer, office, annual-report timing, and report-level late-fee note",2026-06-29,"primary government disclosure","investigations/geo-group/sources/2026-07-14-lead-59356/oge/Donald-J-Trump-2026-278ANNUAL.pdf","https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/69AEAA9D7455ACD585258E27002DDEE1/%24FILE/Donald-J-Trump-2026-278ANNUAL.pdf","Filer's Name: Donald J. Trump; Position: President; OGE Received 6/29/2026. The filer paid late filing fees related to transactions not previously reported on 278-Ts.","The annual report is attributable to the public filer and the late-fee comment applies at report level.","The comment does not identify GEO, a specific transaction, a covered owner, or the cause of any particular delay."
OGE-PART7-COVERAGE,"Persons whose transactions may appear in Part 7",2026-07-14,"primary OGE form and guidance","investigations/geo-group/sources/2026-07-14-lead-59356/oge/OGE-Form-278e-blank.txt","https://www.oge.gov/web/278eGuide.nsf/Part_7","Part 7 discloses purchases, sales, or exchanges of real property or securities in excess of $1,000 made on behalf of the filer, the filer's spouse, or dependent child during the reporting period.","A Part 7 row is a household-reportable transaction, not automatically a filer-only transaction.","The row does not name which covered person owned or directed the transaction."
OGE-PRIVACY,"Public-form identity and account-number boundary",2026-07-14,"primary OGE form","investigations/geo-group/sources/2026-07-14-lead-59356/oge/OGE-Form-278e-blank.txt","https://www.oge.gov/web/278eGuide.nsf/Part_7","Note: This is a public form. Do not include account numbers, street addresses, or family members' names.","The absence of a family name or account number is an intentional public-form design feature.","No named spouse/dependent child or account number should be inferred or reconstructed."
OGE-HOLDING,"Year-end GEO holding and dividend bands",2025-12-31,"primary government disclosure","investigations/geo-group/sources/2026-07-14-lead-59356/oge/Donald-J-Trump-2026-278ANNUAL.txt","https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/69AEAA9D7455ACD585258E27002DDEE1/%24FILE/Donald-J-Trump-2026-278ANNUAL.pdf","791 GEO GROUP INC NEW REIT N/A $50,001 - $100,000 Dividend $1,001 - $2,500","The disclosure household reported GEO security exposure at year end.","The row does not identify the covered owner, shares, cost basis, broker, adviser, voting control, or trade authority."
OGE-ANNUAL-TRADES,"Fourteen 2025 GEO purchases/sales under Investment Account #7",2025,"primary government disclosure plus deterministic extraction","investigations/geo-group/reports/2026-07-14-lead-59356-trade-to-action-ledger.csv","https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/69AEAA9D7455ACD5858E27002DDEE1/%24FILE/Donald-J-Trump-2026-278ANNUAL.pdf","Representative exact row: 1163 GEO GROUP INC NEW Purchase 1/30/2025 $15,001 - $50,000. The ledger preserves all fourteen exact rows and source-line numbers.","The annual report identifies account label, issuer, purchase/sale, date, and value category.","A purchase/sale is not a grant, option expiration, or vesting event; the rows do not identify the decision maker or strategy."
OGE-PTR-GEO,"Additional GEO purchase disclosed on the May 8, 2026 PTR",2026-03-04,"primary government disclosure","investigations/geo-group/sources/2026-07-14-lead-59356/oge/Trump-Donald-J-05.08.2026-278T-2.pdf","https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/405E4EC4E27BE8D185258DF7002DD1C0/%24FILE/Trump%2C%20Donald%20J.-05.08.2026-278T%282%29.pdf","Visual transcription of row 1489: GEO GROUP INC NEW REIT; Purchase; 3/4/2026; Notification Received Over 30 Days Ago: Yes; $15,001 - $50,000.","The PTR supplies date, type, value band, and late-notification flag.","The PTR row does not display Investment Account #7 or name the covered owner, broker, adviser, or person giving instructions."
OGE-PTR-SERIES,"Official PTR-series coverage",2025-08-19/2026-07-01,"primary OGE index and primary disclosures","investigations/geo-group/sources/2026-07-14-lead-59356/oge/ptr-urls.tsv","https://extapps2.oge.gov/201/Presiden.nsf/API.xsp/v2/rest?draw=1&start=0&length=20000","Seventeen official Donald J. Trump 278-T PDFs were enumerated from the OGE PAS API; exact-text screening located GEO GROUP only in the May 8, 2026 report.","The bounded series screen found one GEO-bearing PTR among seventeen indexed transaction reports.","OCR/text search can miss unreadable image content; the negative is bounded to the archived official series and exact issuer-name screen."
CADENCE-ANNUAL,"Same-account portfolio context for annual GEO dates",2025,"derived from primary disclosure","investigations/geo-group/reports/2026-07-14-lead-59356-build-summary.json","https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/69AEAA9D7455ACD5858E27002DDEE1/%24FILE/Donald-J-Trump-2026-278ANNUAL.pdf","The deterministic parser read 10,311 Investment Account #7 Part 7 rows. Each annual GEO date had 16 to 616 same-day Account #7 transaction rows, including the GEO row.","GEO transactions occurred within broad same-account activity rather than as isolated one-row trade days.","Portfolio cadence does not establish discretionary management, automated rebalancing, beneficial ownership, motive, or absence of material knowledge."
CADENCE-PTR,"Same-day portfolio context for the March 4, 2026 GEO row",2026-03-04,"derived from primary disclosure OCR","investigations/geo-group/reports/2026-07-14-lead-59356-build-summary.json","https://extapps2.oge.gov/201/Presiden.nsf/PAS%2BIndex/405E4EC4E27BE8D185258DF7002DD1C0/%24FILE/Trump%2C%20Donald%20J.-05.08.2026-278T%282%29.pdf","The normalized PTR text contains 204 transaction rows dated March 4, 2026, including GEO row 1489.","The March 4 GEO purchase was one entry in dense same-day multi-security activity.","OCR transaction types were not classified; the PTR does not link these rows to one account or one decision maker."
CONTROL-ALL,"All-action timing comparison",2025-01-20/2026-03-04,"derived from canonical USAspending-backed DHS action ledger","investigations/geo-group/reports/2026-07-14-lead-59356-window-control-summary.csv","https://www.usaspending.gov/","At +/-14 days: trade dates 15/15; matched same-weekday controls 198/198; all weekdays 292/293. At +/-7 days: trade dates 14/15; matched controls 191/198.","Dense DHS action cadence makes broad action-date proximity a non-discriminating observation.","Rows include bases, modifications, deobligations, closeouts, and zero-dollar actions; proximity is not procurement initiation, evaluation, selection, knowledge, or causation."
CONTROL-BASE,"Base-action timing comparison",2025-01-20/2026-03-04,"derived from canonical USAspending-backed DHS action ledger","investigations/geo-group/reports/2026-07-14-lead-59356-window-control-summary.csv","https://www.usaspending.gov/","At +/-14 days: trade dates 7/15; matched same-weekday controls 128/198; all weekdays 186/293. At +/-7 days: trade dates 5/15; matched controls 86/198.","Trade dates were not more concentrated near base actions than the comparison samples at the reported windows.","The sample is descriptive, overlapping, and small; it is not an inferential causal test. The post-inauguration universe left-censors the earliest trade at windows beyond seven days."
DELANEY-SEC,"Public Delaney announcement after the February 24 purchase",2025-02-27,"primary SEC-filed company statement","investigations/geo-group/sources/2026-07-14-lead-59356/sec/2025-02-27-d886579dex991.txt","https://www.sec.gov/Archives/edgar/data/923796/000119312525037537/d886579dex991.htm","We announced today that we have been awarded a 15-year, fixed-price contract by ICE to provide support services for the establishment of a federal immigration processing center at the company-owned, 1,000-bed Delaney Hall Facility.","The February 24 GEO purchase was three days before GEO's public award announcement.","ICE had already used a public presolicitation/solicitation; the public record reviewed here does not establish proposal receipt, evaluation, selection, notice, or trade-instruction dates."
DELANEY-SAM,"Public competitive procurement context for Delaney",2024/2025,"official SAM links and USAspending parent-IDV fields","investigations/geo-group/sources/2026-07-14-lead-59356/procurement/70CDCR25D00000007.json","https://sam.gov/opp/5cf4af3e829a465b83efaa9942a765a3/view","USAspending parent fields: solicitation 70CDCR24R00000012; FULL AND OPEN COMPETITION; NEGOTIATED PROPOSAL/QUOTE; number_of_offers_received=2. Official SAM solicitation and presolicitation links were located.","The Delaney award arose from a publicly advertised competitive follow-on rather than a same-day unannounced action.","The source-selection decision, evaluation chronology, comparative price file, and notice-to-awardee chronology were not recovered."
