source_trade_date,control_date,offset_weeks,direction,weekday,any_action_within_1d,any_base_within_1d,any_action_within_3d,any_base_within_3d,any_action_within_7d,any_base_within_7d,any_action_within_14d,any_base_within_14d,any_action_within_30d,any_base_within_30d
2025-01-30,2025-01-23,1,before,Thursday,1,0,1,0,1,0,1,0,1,0
2025-01-30,2025-02-06,1,after,Thursday,1,0,1,0,1,0,1,0,1,1
2025-01-30,2025-02-13,2,after,Thursday,1,0,1,0,1,0,1,0,1,1
2025-01-30,2025-02-20,3,after,Thursday,1,0,1,0,1,0,1,1,1,1
2025-01-30,2025-02-27,4,after,Thursday,1,0,1,0,1,1,1,1,1,1
2025-01-30,2025-03-06,5,after,Thursday,1,1,1,1,1,1,1,1,1,1
2025-01-30,2025-03-13,6,after,Thursday,1,0,1,0,1,1,1,1,1,1
2025-01-30,2025-03-20,7,after,Thursday,1,0,1,0,1,0,1,1,1,1
2025-02-03,2025-01-20,2,before,Monday,0,0,0,0,1,0,1,0,1,0
2025-02-03,2025-01-27,1,before,Monday,1,0,1,0,1,0,1,0,1,0
2025-02-03,2025-02-10,1,after,Monday,0,0,1,0,1,0,1,0,1,1
2025-02-03,2025-02-17,2,after,Monday,0,0,1,0,1,0,1,0,1,1
2025-02-03,2025-03-03,4,after,Monday,1,0,1,1,1,1,1,1,1,1
2025-02-03,2025-03-10,5,after,Monday,1,0,1,0,1,1,1,1,1,1
2025-02-03,2025-03-17,6,after,Monday,0,0,1,0,1,0,1,1,1,1
2025-02-03,2025-03-24,7,after,Monday,0,0,1,0,1,1,1,1,1,1
2025-02-03,2025-03-31,8,after,Monday,1,1,1,1,1,1,1,1,1,1
2025-02-04,2025-01-21,2,before,Tuesday,0,0,1,0,1,0,1,0,1,0
2025-02-04,2025-01-28,1,before,Tuesday,1,0,1,0,1,0,1,0,1,0
2025-02-04,2025-02-11,1,after,Tuesday,0,0,1,0,1,0,1,0,1,1
2025-02-04,2025-02-18,2,after,Tuesday,1,0,1,0,1,0,1,0,1,1
2025-02-04,2025-02-25,3,after,Tuesday,1,0,1,0,1,0,1,1,1,1
2025-02-04,2025-03-04,4,after,Tuesday,1,0,1,1,1,1,1,1,1,1
2025-02-04,2025-03-11,5,after,Tuesday,1,0,1,0,1,1,1,1,1,1
2025-02-04,2025-03-18,6,after,Tuesday,1,0,1,0,1,0,1,1,1,1
2025-02-04,2025-03-25,7,after,Tuesday,0,0,0,0,1,1,1,1,1,1
2025-02-04,2025-04-01,8,after,Tuesday,1,1,1,1,1,1,1,1,1,1
2025-02-05,2025-01-22,2,before,Wednesday,0,0,1,0,1,0,1,0,1,0
2025-02-05,2025-01-29,1,before,Wednesday,1,0,1,0,1,0,1,0,1,0
2025-02-05,2025-02-12,1,after,Wednesday,1,0,1,0,1,0,1,0,1,1
2025-02-05,2025-02-19,2,after,Wednesday,1,0,1,0,1,0,1,0,1,1
2025-02-05,2025-02-26,3,after,Wednesday,1,0,1,0,1,0,1,1,1,1
2025-02-05,2025-03-05,4,after,Wednesday,1,1,1,1,1,1,1,1,1,1
2025-02-05,2025-03-12,5,after,Wednesday,1,0,1,0,1,1,1,1,1,1
2025-02-05,2025-03-19,6,after,Wednesday,1,0,1,0,1,0,1,1,1,1
2025-02-05,2025-03-26,7,after,Wednesday,0,0,0,0,1,1,1,1,1,1
2025-02-05,2025-04-02,8,after,Wednesday,1,1,1,1,1,1,1,1,1,1
2025-02-24,2025-01-20,5,before,Monday,0,0,0,0,1,0,1,0,1,0
2025-02-24,2025-01-27,4,before,Monday,1,0,1,0,1,0,1,0,1,0
2025-02-24,2025-02-10,2,before,Monday,0,0,1,0,1,0,1,0,1,1
2025-02-24,2025-02-17,1,before,Monday,0,0,1,0,1,0,1,0,1,1
2025-02-24,2025-03-03,1,after,Monday,1,0,1,1,1,1,1,1,1,1
2025-02-24,2025-03-10,2,after,Monday,1,0,1,0,1,1,1,1,1,1
