trade_date,disclosure_form,public_filer,covered_owner_publicly_identified,trade_decision_maker_publicly_identified,account_label,security,security_class,transaction_type,value_range,notification_over_30_days,same_day_account7_rows,same_day_account7_purchases,same_day_account7_sales,source_line,source_row_raw,nearest_action_date,nearest_action_day_offset,nearest_action_award_id,nearest_action_parent_award_id,nearest_action_modification,nearest_action_obligation,nearest_action_description,nearest_action_source_url,nearest_base_date,nearest_base_day_offset,nearest_base_award_id,nearest_base_parent_award_id,nearest_base_modification,nearest_base_obligation,nearest_base_description,nearest_base_source_url,actions_within_1d,action_obligations_net_within_1d,bases_within_1d,base_obligations_net_within_1d,actions_within_3d,action_obligations_net_within_3d,bases_within_3d,base_obligations_net_within_3d,actions_within_7d,action_obligations_net_within_7d,bases_within_7d,base_obligations_net_within_7d,actions_within_14d,action_obligations_net_within_14d,bases_within_14d,base_obligations_net_within_14d,actions_within_30d,action_obligations_net_within_30d,bases_within_30d,base_obligations_net_within_30d
2025-01-30,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$15,001 - $50,000",not a field on annual Part 7,604,604,0,42710,"1163          GEO GROUP INC NEW                                                                                                                                                                                                   Purchase               1/30/2025 $15,001 - $50,000",2025-01-29,-1,70CDCR24FR0000053,70CDCR21D00000004,P00003,6777267.00,FUNDING MODIFICATION TO PROVIDE ADDITIONAL FUNDING.,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,2025-03-06,35,70CDCR25FR0000029,70CDCR25D00000007,0,4448573.90,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,1,6777267.00,0,0.00,3,11872589.23,0,0.00,6,19511550.37,0,0.00,10,88712299.18,0,0.00,16,115991321.18,0,0.00
2025-02-03,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$1,001 - $15,000",not a field on annual Part 7,616,614,2,47260,"2479          GEO GROUP INC NEW                                                                                                                                                                                                   Purchase                2/3/2025 $1,001 - $15,000",2025-02-05,2,70CDCR24FR0000003,HSCEDM15D00015,P00014,-4867824.31,"DE-OBLIGATION OF DETENTION AND TRANSPORTATION FUNDS AND CLOSE OUT OF TASK ORDER FOR DETENTION SERVICES IN TACOMA, WA",https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,2025-03-06,31,70CDCR25FR0000029,70CDCR25D00000007,0,4448573.90,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,0,0.00,0,0.00,1,-4867824.31,0,0.00,5,66482164.92,0,0.00,10,88712299.18,0,0.00,21,148312946.59,0,0.00
2025-02-04,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$1,001 - $15,000",not a field on annual Part 7,356,356,0,51481,"3704          GEO GROUP INC NEW                                                                                                                                                                                                   Purchase               2/4/2025 $1,001 - $15,000",2025-02-05,1,70CDCR24FR0000003,HSCEDM15D00015,P00014,-4867824.31,"DE-OBLIGATION OF DETENTION AND TRANSPORTATION FUNDS AND CLOSE OUT OF TASK ORDER FOR DETENTION SERVICES IN TACOMA, WA",https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,2025-03-06,30,70CDCR25FR0000029,70CDCR25D00000007,0,4448573.90,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,1,-4867824.31,0,0.00,2,54609575.69,0,0.00,4,61372676.38,0,0.00,10,88712299.18,0,0.00,22,152761520.49,1,4448573.90
2025-02-05,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$1,001 - $15,000",not a field on annual Part 7,296,296,0,51344,"3663          GEO GROUP INC NEW                                                                                                                                                                                                   Purchase               2/5/2025 $1,001 - $15,000",2025-02-05,0,70CDCR24FR0000003,HSCEDM15D00015,P00014,-4867824.31,"DE-OBLIGATION OF DETENTION AND TRANSPORTATION FUNDS AND CLOSE OUT OF TASK ORDER FOR DETENTION SERVICES IN TACOMA, WA",https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,2025-03-06,29,70CDCR25FR0000029,70CDCR25D00000007,0,4448573.90,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,1,-4867824.31,0,0.00,2,54609575.69,0,0.00,3,61386842.69,0,0.00,11,96054083.18,0,0.00,22,152761520.49,1,4448573.90
2025-02-24,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$15,001 - $50,000",not a field on annual Part 7,554,409,145,44514,"1685          GEO GROUP INC NEW                                                                                                                                                                                                   Purchase               2/24/2025 $15,001 - $50,000",2025-02-24,0,70CDCR25FR0000009,70CDCR20D00000009,P00002,14335200.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, DAILY OCCUPANCY, TRANSPORTATION, GUARD SERVICES, AND COVID TESTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000009_7012_70CDCR20D00000009_7012,2025-03-06,10,70CDCR25FR0000029,70CDCR25D00000007,0,4448573.90,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,2,14335200.00,0,0.00,4,17146334.00,0,0.00,8,32787276.22,0,0.00,15,73772570.12,1,4448573.90,27,152697293.47,1,4448573.90
2025-03-27,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Sale,"$1,001 - $15,000",not a field on annual Part 7,364,165,199,56040,"5023          GEO GROUP INC NEW                                                                                                                                                                                                   sale               3/27/2025 $1,001 - $15,000",2025-03-31,4,70CDCR25FC0000002,HSCEDM14A00001,0,655200.00,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES AT RIO GRANDE DETENTION CENTER IN LAREDO, TX.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FC0000002_7012_HSCEDM14A00001_7012,2025-03-31,4,70CDCR25FC0000002,HSCEDM14A00001,0,655200.00,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES AT RIO GRANDE DETENTION CENTER IN LAREDO, TX.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FC0000002_7012_HSCEDM14A00001_7012,0,0.00,0,0.00,0,0.00,0,0.00,7,14405109.49,2,7656200.00,13,20728242.45,2,7656200.00,32,95028801.59,3,12104773.90
2025-04-28,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$15,001 - $50,000",not a field on annual Part 7,415,222,193,41158,"711           GEO GROUP INC NEW                                                                                                                                                                                                   Purchase               4/28/2025 $15,001 - $50,000",2025-04-28,0,70CDCR24FR0000053,70CDCR21D00000004,P00006,3616900.00,THIS MODIFICATION OBLIGATES FUNDS FOR DETENTION AND TRANSPORTATION SERVICES TO HOUSE AND SAFEGUARD ILLEGAL ALIEN DETAINEES AT BROWARD TRANSITIONAL CENTER WITHIN ENFORCEMENT AND REMOVAL OPERATIONS (ERO) MIAMI AREA OF RESPONSIBILITY (AOR),https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,2025-05-17,19,70CDCR25FR0000075,70CDCR25D00000016,0,250.00,THIS IS A TASK ORDER FOR THE MINIMUM OBLIGATION UNDER THE MULTIPLE-AWARD STRATEGIC SOURCING VEHICLE FOR EMERGENCY DETENTION AND RELATED SERVICES FOR ALIENS IN IMMIGRATION AND CUSTOMS ENFORCEMENT CUSTODY IN RESPONSE TO THE BORDER EMERGENCY.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000075_7012_70CDCR25D00000016_7012,2,13759564.24,0,0.00,4,25559764.24,0,0.00,8,43745098.16,0,0.00,18,100244563.47,0,0.00,33,149162938.27,3,7656450.00
2025-05-15,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$15,001 - $50,000",not a field on annual Part 7,222,222,0,42436,"1081          GEO GROUP INC NEW                                                                                                                                                                                                   Purchase              5/15/2025 $15,001 - $50,000",2025-05-16,1,70B03C24C00000054,,P00003,333462.46,DETENTION SPACE,https://www.usaspending.gov/award/CONT_AWD_70B03C24C00000054_7014_-NONE-_-NONE-,2025-05-17,2,70CDCR25FR0000075,70CDCR25D00000016,0,250.00,THIS IS A TASK ORDER FOR THE MINIMUM OBLIGATION UNDER THE MULTIPLE-AWARD STRATEGIC SOURCING VEHICLE FOR EMERGENCY DETENTION AND RELATED SERVICES FOR ALIENS IN IMMIGRATION AND CUSTOMS ENFORCEMENT CUSTODY IN RESPONSE TO THE BORDER EMERGENCY.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000075_7012_70CDCR25D00000016_7012,1,333462.46,0,0.00,2,333712.46,1,250.00,5,21379482.46,1,250.00,13,81289034.18,1,250.00,26,144945470.24,1,250.00
2025-06-30,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Sale,"$1,001 - $15,000",not a field on annual Part 7,182,72,110,56947,"5288          GEO GROUP INC NEW                                                                                                                                                                                                   sale               6/30/2025 $1,001 - $15,000",2025-06-30,0,70CDCR25FC0000002,HSCEDM14A00001,P00004,1941188.00,THE PURPOSE OF THIS CONTRACT IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES AT RIO GRANDE DETENTION CENTER. THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING FOR GUARD SERVICES.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FC0000002_7012_HSCEDM14A00001_7012,2025-07-21,21,70CDCR25FC0000007,70CDCR18A00000007,0,35300.00,THIS TASK ORDER FUNDS DETENTION SERVICES TO HOUSE AND SAFEGUARD ILLEGAL ALIENS IN SUPPORT OF ENFORCEMENT AND REMOVAL OPERATIONS (ERO) AT ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FC0000007_7012_70CDCR18A00000007_7012,2,12571188.00,0,0.00,2,12571188.00,0,0.00,2,12571188.00,0,0.00,3,19999188.00,0,0.00,13,53935348.37,1,35300.00
2025-07-31,OGE Form 278e annual report filed 2026-06-29,Donald J. Trump,no,no,Investment Account #7,GEO GROUP INC NEW,public-company stock,Purchase,"$15,001 - $50,000",not a field on annual Part 7,238,91,147,41818,"903           GEO GROUP INC NEW                                                                                                                                                                                                   Purchase               7/31/2025 $15,001 - $50,000",2025-08-01,1,70CDCR25FR0000096,70CDCR25D00000009,0,17999289.00,THE PURPOSE OF THIS TASK ORDER IS FOR COMPREHENSIVE DETENTION AND TRANSPORATION SERVICES FOR HOUSING CRIMINAL ALIENS AT NORTH LAKE DETENTION CENTER IN BALDWIN MI.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000096_7012_70CDCR25D00000009_7012,2025-08-01,1,70CDCR25FR0000096,70CDCR25D00000009,0,17999289.00,THE PURPOSE OF THIS TASK ORDER IS FOR COMPREHENSIVE DETENTION AND TRANSPORATION SERVICES FOR HOUSING CRIMINAL ALIENS AT NORTH LAKE DETENTION CENTER IN BALDWIN MI.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000096_7012_70CDCR25D00000009_7012,1,17999289.00,1,17999289.00,1,17999289.00,1,17999289.00,5,36179564.50,1,17999289.00,12,70575027.84,3,28295338.45,16,97405377.84,4,30932638.45
