event_class,window_days_plus_minus,sample,hits,sample_size,share
all_actions,1,trade_dates,10,15,0.66666667
all_actions,1,matched_same_weekday_controls,119,198,0.60101010
all_actions,1,all_weekdays,176,293,0.60068259
all_actions,1,all_calendar_dates,218,409,0.53300733
base_actions,1,trade_dates,1,15,0.06666667
base_actions,1,matched_same_weekday_controls,22,198,0.11111111
base_actions,1,all_weekdays,35,293,0.11945392
base_actions,1,all_calendar_dates,42,409,0.10268949
all_actions,3,trade_dates,13,15,0.86666667
all_actions,3,matched_same_weekday_controls,162,198,0.81818182
all_actions,3,all_weekdays,241,293,0.82252560
all_actions,3,all_calendar_dates,338,409,0.82640587
base_actions,3,trade_dates,3,15,0.20000000
base_actions,3,matched_same_weekday_controls,42,198,0.21212121
base_actions,3,all_weekdays,66,293,0.22525597
base_actions,3,all_calendar_dates,91,409,0.22249389
all_actions,7,trade_dates,14,15,0.93333333
all_actions,7,matched_same_weekday_controls,191,198,0.96464646
all_actions,7,all_weekdays,281,293,0.95904437
all_actions,7,all_calendar_dates,389,409,0.95110024
base_actions,7,trade_dates,5,15,0.33333333
base_actions,7,matched_same_weekday_controls,86,198,0.43434343
base_actions,7,all_weekdays,124,293,0.42320819
base_actions,7,all_calendar_dates,171,409,0.41809291
all_actions,14,trade_dates,15,15,1.00000000
all_actions,14,matched_same_weekday_controls,198,198,1.00000000
all_actions,14,all_weekdays,292,293,0.99658703
all_actions,14,all_calendar_dates,408,409,0.99755501
base_actions,14,trade_dates,7,15,0.46666667
base_actions,14,matched_same_weekday_controls,128,198,0.64646465
base_actions,14,all_weekdays,186,293,0.63481229
base_actions,14,all_calendar_dates,261,409,0.63814181
all_actions,30,trade_dates,15,15,1.00000000
all_actions,30,matched_same_weekday_controls,198,198,1.00000000
all_actions,30,all_weekdays,293,293,1.00000000
all_actions,30,all_calendar_dates,409,409,1.00000000
base_actions,30,trade_dates,13,15,0.86666667
base_actions,30,matched_same_weekday_controls,179,198,0.90404040
base_actions,30,all_weekdays,266,293,0.90784983
base_actions,30,all_calendar_dates,372,409,0.90953545
