facility,task_order,action_date,modification_number,official_action_type,federal_action_obligation,description,classification,interpretation_limit,evidence
Adelanto ICE Processing Center,70CDCR25FR0000009,2024-12-20,0,not populated,7277608.26,DETENTION SERVICES FOR LOS ANGELES AOR AT ADELANTO DETENTION FACILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_0_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-02-19,P00001,FUNDING ONLY ACTION,7341784.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, TRANSPORTATION, AND GUARD SERVICES AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00001_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-02-24,P00002,FUNDING ONLY ACTION,14335200.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, DAILY OCCUPANCY, TRANSPORTATION, GUARD SERVICES, AND COVID TESTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00002_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-04-14,P00003,FUNDING ONLY ACTION,178419.00,FUNDING FOR ADELANTO DETENTION DAILY OCCUPANCY SERVICES AND OTHER DIRECT COSTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00003_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-05-05,P00004,FUNDING ONLY ACTION,7325766.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, DAILY OCCUPANCY, TRANSPORTATION, GUARD SERVICES, AND OTHER DIRECT COSTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00004_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-05-28,P00005,FUNDING ONLY ACTION,14651600.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, DAILY OCCUPANCY, TRANSPORTATION, GUARD SERVICES, AND OTHER DIRECT COSTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00005_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-08-13,P00006,FUNDING ONLY ACTION,17707729.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, DAILY OCCUPANCY, TRANSPORTATION, GUARD SERVICES, AND OTHER DIRECT COSTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00006_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2025-09-15,P00007,FUNDING ONLY ACTION,19153000.00,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, TRANSPORTATION, AND GUARD SERVICES AT ADELANTO DETENTION CENTER TO SUPPORT LOS ANGELES AOR.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00007_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2026-01-22,P00008,FUNDING ONLY ACTION,17646400.00,ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES AT ADELANTO ICE PROCESSING CENTER IN SUPPORT OF LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00008_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR26FR0000028,2026-01-27,0,not populated,20134000.00,DETENTION AND TRANSPORTATION SERVICES AT ADELANTO ICE PROCESSING CENTER FOR LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR26FR0000028_0_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2026-01-27,P00009,FUNDING ONLY ACTION,13375800.00,ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES AT ADELANTO ICE PROCESSING CENTER IN SUPPORT OF LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00009_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR25FR0000009,2026-04-06,P00010,FUNDING ONLY ACTION,1400000.00,ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES AT ADELANTO ICE PROCESSING CENTER IN SUPPORT OF THE LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000009_P00010_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR26FR0000028,2026-04-30,P00001,FUNDING ONLY ACTION,30870000.00,FUNDING DETENTION AND TRANSPORTATION SERVICES AT ADELANTO ICE PROCESSING CENTER IN SUPPORT OF THE LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR26FR0000028_P00001_70CDCR20D00000009_0
Adelanto ICE Processing Center,70CDCR26FR0000028,2026-06-10,P00002,FUNDING ONLY ACTION,35400000.00,ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES AT ADELANTO ICE PROCESSING CENTER IN SUPPORT OF THE LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR26FR0000028_P00002_70CDCR20D00000009_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2024-10-16,0,not populated,9724800.00,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_0_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2024-10-24,P00001,OTHER ADMINISTRATIVE ACTION,0.00,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",zero-dollar administrative/unknown,A zero obligation does not establish zero economic effect or a performance remedy.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00001_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2024-11-22,P00002,FUNDING ONLY ACTION,4865200.00,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00002_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-01-17,P00003,FUNDING ONLY ACTION,9722800.00,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00003_70CDCR22D00000001_0
