facility,source_class,query_or_document,missing_or_redacted_field,result,boundary,next_record_holder
"South Texas","ICE FOIA contract","HSCEDM12D00001","guarantee quantities, unit prices, amounts","b(4)-redacted","Redaction is not zero; historical OIG terms cannot be presumed current","ICE contracting office"
"South Texas","USAspending","70CDCR24FR0000038","current CLIN schedule, guarantee, rates, capacity definition, invoices, deductions","not present in award/action API","Obligation/outlay cannot be divided by capacity or treated as payment schedule","ICE contracting office"
"South Texas","official/local search","Frio County/Pearsall agendas, payments, audits","facility payment or IGSA record","zero relevant result in bounded searches","Direct ICE-to-GEO task reduces expectation of a county pass-through, but zero search result is not proof no local record exists","Frio County; ICE"
"South Texas","occupancy","latest completed task period","monthly ADP and detainee days","not recovered","No unused-bed count or implied rate for FY2025","ICE ERO; facility records"
"Folkston","ICE FOIA","EROIGSA-17-0002 P00022","base/task guarantee, bed-day rate, funded quantities, invoice terms","not disclosed in P00022","P00022 is a wage-determination/performance-period modification, not an economic schedule","ICE contracting office"
"Folkston","Charlton-GEO agreement","2016 agreement and amendments","operator compensation rate and county fee","visibly redacted","Cannot reconstruct federal-to-county-to-GEO waterfall","Charlton County; GEO"
"Folkston","USAspending/local SAM","exact IGSA and Charlton recipient","federal action/outlay history","prior structured zero result; local SAM confirms GEO identity only","IGSA absence from recipient-name results is a reporting/access gap, not zero spending","ICE; FPDS/USAspending archival reporting"
"Folkston","Charlton County ledger","calendar 2025 account","gross invoice detail, payer transaction IDs, downstream payees, deductions/credits","monthly aggregate only","Receipts/expenditures are not proven GEO revenue or full invoice payment","Charlton County finance"
"Folkston","DHS OIG/Oversight","OIG-22-47 recommendation 12","penalty calculation, non-enforcement decision, waiver, closeout support","not public; status only","Closed and $0 report fields do not establish invoice-remedy treatment","DHS OIG; ICE contracting office"
"Folkston","occupancy","post-OIG/current shared chain","monthly ADP by IPC, Annex, and D. Ray James","not recovered","No current utilization, unused-guarantee, or facility allocation calculation","ICE ERO; GEO; Charlton County"
"Both","SEC filing","GEO 2025 10-K","facility-specific revenue, invoices, deductions","not disclosed","Capacity and activation context are not payment proof","GEO public filings; contract records"
"Both","restricted/non-used sources","live quota and paid court systems","not applicable","not used","No conclusion relies on prohibited or paid access","not applicable"
