facility,record_date,period,record_type,identifier,amount,amount_class,description,remedy_class,interpretation_limit,evidence
"South Texas","2024-08-06","2024-08-06 to 2025-08-05","award action","70CDCR24FR0000038 base","9571499.92","federal action obligation","FY24 task-order funding","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2024-11-06","same","award action","P00001","13882474.14","federal action obligation","task-order funding","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2024-11-15","same","award action","P00002","0.00","federal action obligation","zero-dollar modification","administrative/unknown","Description does not establish a remedy","USAspending action ledger"
"South Texas","2025-01-13","same","award action","P00003","5079487.09","federal action obligation","task-order funding","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2025-01-27","same","award action","P00004","5109488.54","federal action obligation","task-order funding","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2025-03-12","same","award action","P00005","5840393.54","federal action obligation","detention and transportation services","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2025-04-14","same","award action","P00006","4961770.80","federal action obligation","funding to support services","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2025-04-29","same","award action","P00007","10142664.24","federal action obligation","funding to support services","ordinary funding","Not invoice or payment","USAspending action ledger"
"South Texas","2025-08-14","same","award action","P00008","6465158.63","federal action obligation","post-period funding action","ordinary funding","Action date follows performance end; no invoice allocation","USAspending action ledger"
"South Texas","2025-11-14","closeout","award action","P00009","-529091.27","federal action obligation","deobligate excess funding and close out","excess-funds closeout","Not a performance deduction, invoice credit, or unused-bed adjustment","Finding 13020; USAspending:70CDCR24FR0000038:P00009"
"South Texas","2025-11-14","completed task aggregate","award detail","70CDCR24FR0000038","60523845.63","cumulative obligation","completed task total","aggregate award amount","Not invoice or payment","Finding 13019"
"South Texas","2025-11-14","completed task aggregate","award detail","70CDCR24FR0000038","60523865.31","USAspending outlay","completed task outlay total","aggregate outlay","Not CLIN, invoice, deduction, or GEO revenue","Finding 13019"
"Folkston","2019 and 2021","pre-OIG inspection","contract discrepancy reports","staffing penalties","not disclosed","proposed financial penalty","ICE attempted staffing penalties","attempted but unenforced","OIG does not disclose proposed amounts","Finding 12425; OIG-22-47 p17"
"Folkston","2021-11-18","OIG inspection","OIG finding","OIG-22-47","not disclosed","contract funding","full contract funding continued without consequence","documented non-enforcement through inspected period","Does not establish post-OIG treatment","Finding 12425"
"Folkston shared county account","2025-01-31","January 2025","county bank account","Folkston IPC account","3519829.49","county receipt","monthly revenue row","cash-flow evidence","Not federal obligation or GEO revenue","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-02-28","February 2025","county bank account","Folkston IPC account","3477296.35","county receipt","monthly revenue row","cash-flow evidence","Not federal obligation or GEO revenue","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-04-30","April 2025","county bank account","Folkston IPC account","3885899.44","county receipt","monthly revenue row","cash-flow evidence","Not federal obligation or GEO revenue","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-05-31","May 2025","county bank account","Folkston IPC account","6884564.42","county receipt","12 invoices reported in minutes","cash-flow evidence","Invoice amounts, deductions, and payees not disclosed","Finding 13022; Charlton minutes 2025-06-19"
"Folkston shared county account","2025-07-31","July 2025","county bank account","Folkston IPC account","3619230.76","county receipt","monthly revenue row","cash-flow evidence","Shared chain after D. Ray James activation","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-09-30","September 2025","county bank account","Folkston IPC account","13115390.15","county receipt","monthly revenue row","cash-flow evidence","Shared chain after D. Ray James activation","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-10-31","October 2025","county bank account","Folkston IPC account","13791344.73","county receipt","monthly revenue row","cash-flow evidence","Shared chain after D. Ray James activation","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-12-31","December 2025","county bank account","Folkston IPC account","5482998.45","county receipt","outstanding at month end","cash-flow evidence","Outstanding check is not proof of downstream payee","Charlton 2026-01-22 packet p37"
"Folkston shared county account","2025-12-31","calendar 2025 aggregate","derived from county monthly rows","Folkston IPC account","53776553.79","county receipts","sum of 12 published monthly revenue values","cash-flow evidence","Not federal obligations or GEO revenue; shared chain","Finding 13021"
"Folkston shared county account","2025-12-31","calendar 2025 aggregate","derived from county monthly rows","Folkston IPC account","51801922.78","county expenditures","sum of 12 published monthly expense values","cash-flow evidence","Not proven GEO payment; shared chain","Finding 13021"
"Folkston shared county account","2026-02-28","February 2026 context","county bank account","Folkston IPC account","28108013.50","county receipt","large batch receipt","post-period context","Not part of completed 2025 period","Charlton 2026-03-19 packet"
"Folkston shared county account","2026-02-28","February 2026 context","county bank account","Folkston IPC account","33591011.95","county expenditure","cleared account to $100","post-period context","Not proof of no deductions or downstream GEO payment","Charlton 2026-03-19 packet"
