db_role_id,entity_id,entity_name,entity_status,relationship,date_start,date_end,source_ref,ownership_interpretation,persisted_action
2583,4969,GEO REENTRY INC,active,"Exec [Florida officer title code; active entity record]",,,FL-SUNBIZ:F16000004620,"officer code only; no ownership inference",new role on existing entity
2584,5059,"GEO Operations, Inc.",inactive,"DIRE [Florida officer title code; inactive entity record]",,,FL-SUNBIZ:P17000042350,"inactive officer code only; no current-role or ownership inference",new role on existing entity
2585,4812,"GEO Transport, Inc.",active,"DIRE [Florida officer title code; active entity record]",,,FL-SUNBIZ:P07000109960,"officer code only; no ownership inference",new role on existing entity
2586,5145,"WCC DEVELOPMENT, INC.",active,"Dire [Florida officer title code; active entity record]",,,FL-SUNBIZ:P97000028501,"officer code only; no ownership inference",new entity and role
2587,5146,"GEO GSS HOLDINGS, LLC",inactive,"Mana [Florida officer title code; inactive entity record]",,,FL-SUNBIZ:L22000531201,"inactive officer code only; no current-role or ownership inference",new entity and role
2588,5147,"WCC RE HOLDINGS, INC.",inactive,"DCEO [Florida officer title code; inactive entity record]",,,FL-SUNBIZ:P96000057591,"inactive officer code only; no current-role or ownership inference",new entity and role
2589,5148,"GEO/FL/03, INC.",active,"Exec [Florida officer title code; active entity record]",,,FL-SUNBIZ:P08000075011,"officer code only; no ownership inference",new entity and role
2590,5149,"CORNELL CORRECTIONS OF TEXAS, INC.",active,"Dire [Florida officer title code; active entity record]",,,FL-SUNBIZ:F03000005381,"officer code only; no ownership inference",new entity and role
2591,5150,"WBP LEASING, LLC",active,"MGR [Florida officer title code; active entity record]",,,FL-SUNBIZ:M24000001171,"manager code only; no ownership inference",new entity and role
2592,4967,GEO CPM INC,active,"Exec [Florida officer title code; active entity record]",,,FL-SUNBIZ:F22000001712,"officer code only; no ownership inference",new role on existing entity
2593,5151,"GEO/FL/02, INC.",active,"Dire [Florida officer title code; active entity record]",,,FL-SUNBIZ:P97000084472,"officer code only; no ownership inference",new entity and role
2594,5152,"THE GEO GROUP FOUNDATION, INC.",active,"Chai [Florida officer title code; active entity record]",,,FL-SUNBIZ:N10000010992,"officer code only; no control/ownership inference",new entity and role
2595,5153,"BI MOBILE BREATH, INC.",active,"Dire [Florida officer title code; active entity record]",,,FL-SUNBIZ:F15000003852,"officer code only; no ownership inference",new entity and role
2596,5154,"ICARUS PRODUCTIONS OF FL, LLC",active,"MGR [Florida officer title code; active entity record]",,,FL-SUNBIZ:L12000051152,"manager code only; no ownership inference",new entity and role
2597,5155,"BI INCORPORATED OF COLORADO",active,"Dire [Florida officer title code; active entity record]",,,FL-SUNBIZ:F95000000233,"officer code only; no ownership inference",new entity and role
2598,5038,"GEO Corrections Holdings, Inc.",active,"DIRE [Florida officer title code; active entity record]",,,FL-SUNBIZ:P12000103643,"officer code only; no ownership inference",new role on existing entity
2599,4966,"COMMUNITY EDUCATION CENTERS, INC.",active,"Exec [Florida officer title code; active entity record]",,,FL-SUNBIZ:F08000001754,"officer code only; no ownership inference",new role on existing entity
2600,5156,"GEO MCF LP, LLC",active,"MGR [Florida officer title code; active entity record]",,,FL-SUNBIZ:M22000019214,"manager code only; no ownership inference",new entity and role
2601,5157,"ADDISON STATION 501C3 INC",inactive,"P [Florida officer title code; inactive entity record]",,,FL-SUNBIZ:N22000006152,"inactive officer code only; no current-role or ownership inference",new entity and role
2602,4872,"CORRECTIONAL SERVICES CORPORATION",acquired,"DP [Florida officer title code; inactive entity record]",,,FL-SUNBIZ:F94000005740,"inactive officer code only; no current-role or ownership inference",new role on existing entity
2603,5158,"CENTRACORE PROPERTIES TRUST",inactive,"T [Florida officer title code; inactive entity record]",,,FL-SUNBIZ:D98000000020,"inactive officer code only; no current-role or ownership inference",new entity and role
2579,4980,"GEO-CDR BAKER, LLC",active,Manager,2025-08-28,,FL-SUNBIZ:L25000395700,"manager role only; no ownership inference",pre-existing control
2604,5152,"THE GEO GROUP FOUNDATION, INC.",active,President,2023,2023,IRS990:27-4034030:2023,"nonprofit officer role; no foundation-asset control inference",new role
2605,4981,"The GEO Group, Inc.",active,Founder,1984,,SEC:0001193125-26-116014,"role only",new role
2606,4981,"The GEO Group, Inc.",active,Director,1988,,SEC:0001193125-26-116014,"role only",new role
2607,4981,"The GEO Group, Inc.",active,Chief Executive Officer,1994,2021-06,SEC:0001193125-26-116014,"role only; first tenure",new role
2608,4981,"The GEO Group, Inc.",active,Vice Chairman,1997-01,2002-05,SEC:0001193125-26-116014,"role only",new role
2609,4981,"The GEO Group, Inc.",active,Chairman,2002,,SEC:0001193125-26-116014,"role only",new role
2610,4981,"The GEO Group, Inc.",active,Executive Chairman,2021-07,2026-02-28,SEC:0001193125-26-116014,"role only",new role
2612,4981,"The GEO Group, Inc.",active,"Chief Executive Officer (second tenure)",2026-03-01,,SEC:0001193125-26-116014,"role only; qualifier required by role uniqueness constraint",new role
,4981,"The GEO Group, Inc.",active,"beneficial owner: 4,252,529 shares / 3.20%",2026-03-06,,SEC:0001193125-26-116014,"issuer-reported beneficial ownership; includes 250,000 unvested voting restricted shares",finding 13040
,,"Boca Raton parcel",active,"co-owner with Donna P. Zoley",2012-06-05,,PBCPAO:06434729100170160:2025,"official parcel ownership; street address suppressed",finding 13047
