date,event,shares_or_amount,post_event_direct_common,source_ref,evidentiary_limit
2019-12-10,"Sworn declaration says Zoley managed overall corporate operations and joined one ICE equitable-adjustment meeting",, ,RECAP:Novoa-DE231-5,"sworn party statement; not adjudicated fact"
2025,"Issuer-reported total compensation","$14,996,950",,SEC:0001193125-26-116014,"summary compensation table"
2025-03-03,"Restricted-stock grants","257,862 restricted shares",,SEC:0000950170-25-033575,"50,000 and 207,862 grant entries"
2025-03-03,"Tax-withholding surrender after vesting","36,257 common shares at $26.23","4,006,785",SEC:0000950170-25-033575,"not an open-market sale"
2025-07-17,"Tax-withholding surrender after 207,862-share vesting","81,794 common shares at $25.22","4,132,853",SEC:0000950170-25-097299,"not an open-market sale"
2025-08-18/2025-08-29,"Completed pre-arranged estate-planning sales","230,918 shares: 126,068 direct plus 104,850 child-trust shares","4,006,785",SEC:0000950170-25-112540,"Zoley disclaimed pecuniary interest/investment control over trust shares; weighted-average prices"
2025-09-04/2025-09-10,"Completed pre-arranged estate-planning sales","155,881 direct shares","3,850,904",SEC:0001193125-25-200213,"Form 4/A corrected September 5 to 31,176 shares"
2025-12-31,"Executive Retirement Agreement present value","$16,335,522",,SEC:0001193125-26-116014,"issuer-reported benefit value"
2026-02-24,"Restricted-stock grant","250,000 restricted shares",,SEC:0001193125-26-078710,"vests 12 months after grant"
2026-03-03,"Tax-withholding surrender after 50,000-share vesting","19,675 common shares at $15.06","3,881,229",SEC:0001193125-26-094556,"not an open-market sale"
2026-03-05,"Immediately vested stock award and tax surrender","200,000 awarded; 78,700 surrendered at $14.92","4,002,529",SEC:0001193125-26-098830,"net direct increase 121,300 shares"
2026-03-06,"Proxy beneficial ownership","4,252,529 shares / 3.20%",,SEC:0001193125-26-116014,"includes 250,000 unvested restricted shares with voting rights"
2026-06-04,"Three bona fide gifts to separate grandchild trusts","300,000 common shares","3,702,529",SEC:0001193125-26-276155,"spouse identified as trustee; Zoley disclaimed pecuniary interest/investment control"
