award_id,generated_unique_award_id,recipient_legal_name,recipient_uei,cy2025_action_count,cy2025_action_obligations,current_award_total_obligation,current_award_total_outlay,outlay_status,period_start,current_end,award_description,source_url,measure_boundary
70CDCR20FR0000036,CONT_AWD_70CDCR20FR0000036_7012_HSCEDM17D00009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,-100235.21,36721590.90,,not reported,2020-06-09,2021-08-17,HOUSTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR20FR0000036_7012_HSCEDM17D00009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR23FC0000014,CONT_AWD_70CDCR23FC0000014_7012_70CDCR18A00000007_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,-2219.44,137180.56,137180.56,reported award-lifetime snapshot,2023-07-23,2024-07-22,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR23FC0000014_7012_70CDCR18A00000007_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR23FR0000002,CONT_AWD_70CDCR23FR0000002_7012_HSCEDM15D00015_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,2,-117295.78,69539507.19,69539583.23,reported award-lifetime snapshot,2022-10-28,2023-10-27,"NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",https://www.usaspending.gov/award/CONT_AWD_70CDCR23FR0000002_7012_HSCEDM15D00015_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR23FR0000042,CONT_AWD_70CDCR23FR0000042_7012_70CDCR20D00000011_7012,B.I. INCORPORATED,PKK6L9KLMYR5,1,-14166.31,286112087.46,286112087.50,reported award-lifetime snapshot,2023-08-01,2024-07-31,INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP IV),https://www.usaspending.gov/award/CONT_AWD_70CDCR23FR0000042_7012_70CDCR20D00000011_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR23FR0000045,CONT_AWD_70CDCR23FR0000045_7012_70CDCR20D00000012_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,0.00,57272944.90,57272944.90,reported award-lifetime snapshot,2023-08-06,2024-08-05,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC)  POP 06 AUG 2023  - 05 AUG 2024,https://www.usaspending.gov/award/CONT_AWD_70CDCR23FR0000045_7012_70CDCR20D00000012_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR23FR0000048,CONT_AWD_70CDCR23FR0000048_7012_70CDCR21D00000004_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,2,-266874.17,38861166.19,38861166.19,reported award-lifetime snapshot,2023-09-01,2025-09-15,"BROWARD COUNTY, FL DETENTION AND TRANSPORTATION SERVICES",https://www.usaspending.gov/award/CONT_AWD_70CDCR23FR0000048_7012_70CDCR21D00000004_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FC0000004,CONT_AWD_70CDCR24FC0000004_7012_HSCEDM14A00001_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,3,1864266.43,6796406.43,6796406.43,reported award-lifetime snapshot,2024-04-01,2025-03-31,RIO GRANDE DETENTION CENTER FY24 BPA CALL,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FC0000004_7012_HSCEDM14A00001_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FC0000005,CONT_AWD_70CDCR24FC0000005_7012_70CDCR18A00000007_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,3,506100.00,489732.40,489732.40,reported award-lifetime snapshot,2024-07-23,2025-07-22,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FC0000005_7012_70CDCR18A00000007_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000001,CONT_AWD_70CDCR24FR0000001_7012_70CDCR22D00000001_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,2,-324852.49,56009252.93,56009252.93,reported award-lifetime snapshot,2023-10-16,2024-10-15,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000001_7012_70CDCR22D00000001_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000003,CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,-4867824.31,72727938.31,72727938.31,reported award-lifetime snapshot,2023-10-28,2024-09-27,NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES FOR NORTHWEST DETENTION CENTER.,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000010,CONT_AWD_70CDCR24FR0000010_7012_70CDCR20D00000008_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,-412389.51,57183778.57,57183789.54,reported award-lifetime snapshot,2019-12-20,2024-12-19,NEW TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES. TASK ORDER POP: 12/20/23 - 12/19/24,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000010_7012_70CDCR20D00000008_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000011,CONT_AWD_70CDCR24FR0000011_7012_70CDCR20D00000009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,-385159.10,83367984.37,84155973.57,reported award-lifetime snapshot,2023-12-20,2024-12-19,ESTABLISH NEW TASK ORDER FOR DETENTION SERVICES AT ADELANTO,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000011_7012_70CDCR20D00000009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000012,CONT_AWD_70CDCR24FR0000012_7012_70CDCR20D00000009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,2,-68104.30,32758675.92,32758675.92,reported award-lifetime snapshot,2023-12-20,2024-12-19,NEW TASK ORDER FOR DETENTION SERVICES DESERT VIEW (DV) ANNEX IN THE LOS ANGELES AREA OF RESPONSIBILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000012_7012_70CDCR20D00000009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000038,CONT_AWD_70CDCR24FR0000038_7012_70CDCR20D00000012_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,7,37069871.57,60523845.63,60523865.31,reported award-lifetime snapshot,2024-08-06,2025-08-05,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC) FY24 TASK ORDER,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000038_7012_70CDCR20D00000012_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000049,CONT_AWD_70CDCR24FR0000049_7012_70CDCR20D00000011_7012,B.I. INCORPORATED,PKK6L9KLMYR5,3,137568171.03,270648323.50,270442578.35,reported award-lifetime snapshot,2024-08-01,2025-09-30,INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP IV),https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000049_7012_70CDCR20D00000011_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000053,CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,9,29581276.75,42926174.75,42940006.15,reported award-lifetime snapshot,2024-09-01,2025-09-30,NEW TASK ORDER TO PROVIDE FUNDING TO HOUSE AND TRANSPORT ICE DETAINEES AT BROWARD TRANSITIONAL CENTER,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR24FR0000056,CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,11,40299754.77,61884954.77,60431911.58,reported award-lifetime snapshot,2024-08-17,2025-08-17,MONTGOMERY PROCESSING CTR FY24,https://www.usaspending.gov/award/CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FC0000002,CONT_AWD_70CDCR25FC0000002_7012_HSCEDM14A00001_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,5,4018988.00,8722448.00,7843489.04,reported award-lifetime snapshot,2025-04-01,2026-03-31,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES AT RIO GRANDE DETENTION CENTER IN LAREDO, TX.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FC0000002_7012_HSCEDM14A00001_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FC0000007,CONT_AWD_70CDCR25FC0000007_7012_70CDCR18A00000007_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,3,188600.00,1896600.00,1096976.82,reported award-lifetime snapshot,2025-07-23,2026-07-22,THIS TASK ORDER FUNDS DETENTION SERVICES TO HOUSE AND SAFEGUARD ILLEGAL ALIENS IN SUPPORT OF ENFORCEMENT AND REMOVAL OPERATIONS (ERO) AT ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FC0000007_7012_70CDCR18A00000007_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000004,CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,9,65566092.50,117431349.50,114161655.04,reported award-lifetime snapshot,2024-10-28,2026-03-27,"NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES AT TACOMA, WA FOR SEATTLE AOR",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000005,CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,9,47198777.22,59993453.20,59995192.61,reported award-lifetime snapshot,2024-10-16,2025-10-15,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000009,CONT_AWD_70CDCR25FR0000009_7012_70CDCR20D00000009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,7,80693498.00,120393306.26,103779111.73,reported award-lifetime snapshot,2024-12-20,2025-12-19,DETENTION SERVICES FOR LOS ANGELES AOR AT ADELANTO DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000009_7012_70CDCR20D00000009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000010,CONT_AWD_70CDCR25FR0000010_7012_70CDCR20D00000009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,6,26800901.00,34270827.48,34317588.35,reported award-lifetime snapshot,2024-12-20,2025-12-19,DETENTION SERVICES DESERT VIEW (DV) ANNEX IN THE LOS ANGELES AREA OF RESPONSIBILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000010_7012_70CDCR20D00000009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000013,CONT_AWD_70CDCR25FR0000013_7012_70CDCR20D00000008_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,5,45539579.23,66190762.72,61509619.38,reported award-lifetime snapshot,2024-12-20,2025-12-19,HOUSING FOR DETAINEES,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000013_7012_70CDCR20D00000008_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000029,CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,7,58018673.24,58637673.24,55392438.25,reported award-lifetime snapshot,2025-03-01,2026-02-28,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000037,CONT_AWD_70CDCR25FR0000037_7012_70CDCR25D00000009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,7001000.00,7350371.31,7350371.31,reported award-lifetime snapshot,2025-04-01,2025-09-30,THE PURPOSE OF THIS TASK ORDER IS TO ESTABLISH A DETENTION FACILITY WITHIN THE NORTH LAKE CORRECTIONAL FACILITY IN SUPPORT OF THE PRESIDENT'S DECLARATION OF A NATIONAL EMERGENCY AT THE SOUTHERN BORDER.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000037_7012_70CDCR25D00000009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000075,CONT_AWD_70CDCR25FR0000075_7012_70CDCR25D00000016_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,1,250.00,250.00,,not reported,2025-05-17,2027-05-16,THIS IS A TASK ORDER FOR THE MINIMUM OBLIGATION UNDER THE MULTIPLE-AWARD STRATEGIC SOURCING VEHICLE FOR EMERGENCY DETENTION AND RELATED SERVICES FOR ALIENS IN IMMIGRATION AND CUSTOMS ENFORCEMENT CUSTODY IN RESPONSE TO THE BORDER EMERGENCY.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000075_7012_70CDCR25D00000016_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000091,CONT_AWD_70CDCR25FR0000091_7012_70CDCR20D00000012_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,5,31374522.85,57517165.28,41009075.33,reported award-lifetime snapshot,2025-08-06,2026-08-05,THIS TASK ORDER PROVIDES DETENTION AND TRANSPORTATION SERVICES AT THE SOUTH TEXAS ICE IMMIGRATION PROCESSING CENTER (STIPC).,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000091_7012_70CDCR20D00000012_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000096,CONT_AWD_70CDCR25FR0000096_7012_70CDCR25D00000009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,2,22921789.00,85650421.00,52286966.41,reported award-lifetime snapshot,2025-07-21,2026-07-20,THE PURPOSE OF THIS TASK ORDER IS FOR COMPREHENSIVE DETENTION AND TRANSPORATION SERVICES FOR HOUSING CRIMINAL ALIENS AT NORTH LAKE DETENTION CENTER IN BALDWIN MI.,https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000096_7012_70CDCR25D00000009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
70CDCR25FR0000097,CONT_AWD_70CDCR25FR0000097_7012_HSCEDM17D00009_7012,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,3,21336000.00,51978428.00,37779388.74,reported award-lifetime snapshot,2024-08-18,2026-08-17,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES AT MONTGOMERY PROCESSING CENTER (MPC) IN HOUSTON, TX. THE PURPOSE OF THIS NEW TASK ORDER IS TO ADD FUNDING FOR THE CONTINUANCE OF SERVICES.",https://www.usaspending.gov/award/CONT_AWD_70CDCR25FR0000097_7012_HSCEDM17D00009_7012,CY2025 action obligations are transaction flows; current award obligation and outlay are award-lifetime snapshots and are not CY2025 revenue or cash.
