evidence_id,measure,source_path,source_url,source_quote,boundary,quote_validated
SEC-2025-CONSOLIDATED-REVENUE,recognized revenue,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-10k.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,"Revenues $ 2,631,549","Filed dollars are in thousands; consolidated, all customers.",true
SEC-2025-ICE-SHARE,customer revenue share,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-10k.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,"ICE accounting for 47.6% and 41.5% of our total consolidated revenues for 2025 and 2024, respectively",Percentage is printed to one decimal; no exact ICE dollars are filed.,true
SEC-2025-ISAP-SHARE-NARRATIVE,program revenue share,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-10k.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,"our ISAP contract accounted for 9%, 10% and 14% of our consolidated revenues for the years ended December 31, 2025, 2024 and 2023, respectively","Whole-percent narrative disclosure; point estimate, not exact dollars.",true
SEC-2025-ISAP-FOOTNOTE-BOUND,program concentration bound,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-10k.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,"For the year ended December 31, 2025, the ISAP contract accounted for less than 10 % of the Company's consolidated revenues.","Compatible with, but not exact corroboration of, the separate 9% narrative.",true
SEC-2025-REVENUE-INVOICE-TIMING,accounting policy,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-10k.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,The timing of revenue recognition may differ from the timing of invoicing to customers. GEO records a receivable when services are performed which are due from its customers based on the passage of time.,Precludes an action-date or cash-to-revenue identity without service-period records.,true
SEC-2025-Q2-ACTIVATION,recognized-revenue change bundle,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-q2-10q.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000095017025104173/geo-20250630.htm,"increases of $17.5 million related to the activations of our new contracts at our company-owned Delaney Hall, North Lake and D. Ray James facilities",Quarter-over-prior-year change; not total facility revenue.,true
SEC-2025-H1-ACTIVATION,recognized-revenue change bundle,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-q2-10q.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000095017025104173/geo-20250630.htm,"aggregate net increases of $20.2 million related to the activations of our new contracts at our company-owned Delaney Hall, North Lake and D. Ray James facilities","Six-month cumulative change; Q1 residual is derived, not separately disclosed.",true
SEC-2025-Q3-ACTIVATION,recognized-revenue change bundle,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-q3-10q.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312525269401/geo-20250930.htm,"increases of $55.8 million related to the activations of our new contracts at our company-owned Delaney Hall, North Lake and D. Ray James facilities as well as our managed-only contract at the North Florida Detention Center",Quarter-over-prior-year change; mixed facility/payment channels.,true
SEC-2025-9M-ACTIVATION,recognized-revenue change bundle,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-q3-10q.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312525269401/geo-20250930.htm,"aggregate net increases of $76.0 million related to the activations of our new contracts at our company-owned Delaney Hall, North Lake and D. Ray James facilities as well as our managed-only contract at the North Florida Detention Center",Nine-month cumulative change; mixed facility/payment channels.,true
SEC-2025-CY-ACTIVATION,recognized-revenue change bundle,investigations/geo-group/sources/2026-07-14-lead-62481/sec/geo-2025-10k.clean.txt,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-20251231.htm,"aggregate net increases of $152.4 million related to the activations of our new contracts at our company-owned Delaney Hall, North Lake and D. Ray James facilities as well as our managed-only contract at the North Florida Detention Center and new transportation contracts",Annual mixed bundle; includes transportation and is not ICE-only.,true
