record_kind,label,instrument_or_mod,parent_instrument,action_date,recipient_legal_name_as_reported,recipient_uei,obligation_change,cumulative_obligation,cumulative_outlay,base_and_exercised_options_value,base_and_all_options_or_ceiling_value,evaluated_price_scenario,performance_start,current_performance_end,offers_reported,competition_reported,action_or_scope_description,source_file,limitation_or_note
instrument_summary,CSRO single-award IDIQ,70RDA225D00000005,,2025-05-20,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,250.00,,,915000000.00,,2025-05-20,2028-05-19,4,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",usaspending/usa-csro-parent-detail.json,"The $915 million figure is the IDIQ base-and-all-options/maximum value, not obligations or outlays. USAspending's latest solicitation field conflicts with the court record."
instrument_summary,CSRO task order 1,70RDA225FR0000018,70RDA225D00000005,2025-05-22,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,697707307.19,386535262.55,697707307.19,706582347.19,,2025-05-22,2026-11-21,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",usaspending/usa-csro-award-detail.json,"Award-level obligations, outlays, exercised value, and potential value are separate USAspending metrics as of the retrieval snapshot."
instrument_summary,Secure commercial aviation platform order,70RDA225FR0000037,70RDA225D00000005,2025-09-03,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,193907.80,195055.28,193907.80,193907.80,,2025-09-03,2025-09-24,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SECURE COMMERCIAL AVIATION SERVICES PLATFORM,usaspending/usa-csro-order-0037-detail.json,Outlays slightly exceed obligations in the current reporting snapshot; do not infer an overpayment without transaction/account reconciliation.
derived_summary,Two identified CSRO child orders combined,70RDA225FR0000018 + 70RDA225FR0000037,70RDA225D00000005,,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,697901214.99,386730317.83,697901214.99,706776254.99,,,,,,Arithmetic sum of the two identified child-order award-level metrics.,usaspending/usa-csro-award-detail.json; usaspending/usa-csro-order-0037-detail.json,Excludes the IDIQ's own $250 minimum obligation and excludes the separate ICE aircraft-maintenance purchase order.
evaluation_scenario,Salus total evaluated price,RFP 70RDA225R0000008 (court record),70RDA225D00000005,2025-05-20,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,,,,,1409688.00,,,4,Limited competition under FAR 6.302-2,Court-reported total evaluated price used in the source-selection comparison.,courtlistener/gov.uscourts.uscfc.52685.70.0.pdf,"Evaluation scenario only; not the ceiling, award value, obligation, outlay, payment, or revenue."
peripheral_instrument_summary,Separate ICE aircraft-maintenance purchase order,70CDCR26P00000010,,2026-05-27,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,4317331.04,,4317331.04,4317331.04,,2026-05-28,2026-07-27,1,NOT COMPETED,THIS PURCHASE ORDER PROVIDES OPERATIONAL SUPPORT AIRCRAFT MAINTENANCE FOR ICE GOVERNMENT-OWNED AIRCRAFTS.,usaspending/usa-salus-ice-70CDCR26P00000010-detail.json,"Separate ICE purchase order; excluded from every CSRO total. USAspending reports one offer, only-one-source procedures, no competition, and urgency authority."
antecedent_subaward_summary,Afghan CARE antecedent subaward,PO-0018454,19AQMM23F0766,2025-02-10,SALUS WORLDWIDE SOLUTIONS LLC,,,112888125.00,,,,,,,,,SERVICES,usaspending/usaspending-care-salus-subaward-search.json,"USAspending reports LLC, while the CSRO awardee is Corp.; the public records reviewed do not resolve that legal-entity relationship. Do not collapse them without a primary bridge."
transaction_action,CSRO IDIQ action,70RDA225D00000005/0,,2025-05-20,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,250.00,250.00,,,,,,,,,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO IDIQ action,70RDA225D00000005/P00001,,2025-08-18,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,250.00,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,SECTION 4(A). THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS) UNDER SECRETARY OF MANAGEMENT (USM). THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE THE,usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO IDIQ action,70RDA225D00000005/P00002,,2025-08-20,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,250.00,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,SECTION 4(A). THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS) UNDER SECRETARY OF MANAGEMENT (USM). THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE THE,usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO IDIQ action,70RDA225D00000005/P00003,,2025-10-10,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,250.00,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,SECTION 4(A). THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS) UNDER SECRETARY OF MANAGEMENT (USM). THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE SOW.,usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO IDIQ action,70RDA225D00000005/P00004,,2025-10-10,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,250.00,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,SECTION 4(A). THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS) UNDER SECRETARY OF MANAGEMENT (USM). THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE DD FO,usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO IDIQ action,70RDA225D00000005/P00005,,2025-10-24,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,250.00,,,,,,,,OTHER ADMINISTRATIVE ACTION,SECTION 4(A). THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS) UNDER SECRETARY OF MANAGEMENT (USM). THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COR.,usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
