item,indexed_description,availability_result,sources_checked,interpretation,priority,human_action_id,paid_or_contact_action_taken
ECF 1 main,Complaint,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,"Exact allegations, count numbering, requested relief, and primary lawsuit-to-decedent bridge remain unavailable",high,78,none
ECF 1 attachment 2,Exhibit,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Two-page exhibit unavailable,high,78,none
ECF 1 attachment 3,Exhibit,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Two-page exhibit unavailable,high,78,none
ECF 17,GEO motion to dismiss claims 4-5 and attachments,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Arguments and motion-specific supporting material unavailable,high,78,none
ECF 18,Plaintiffs' opposition and attachments,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Plaintiffs' positions and supporting material unavailable,high,78,none
ECF 22,GEO reply,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Reply arguments unavailable,high,78,none
ECF 27,Docket item labeled Dismiss,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,"Exact holding, scope, prejudice, leave, and reasoning unavailable",critical,78,none
ECF 28,Extension of Time to Amend,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Requested amendment deadline and basis unavailable,high,78,none
ECF 29,Order,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Exact amendment-related holding unavailable,critical,78,none
ECF 32,Joint Rule 26(f) report,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,Claim and schedule details unavailable,medium,78,none
ECF 33,Declaration,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,OSC explanation unavailable,medium,78,none
ECF 34,Declaration,Not recovered; requested RECAP records are is_available=false and is_sealed=null,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,OSC explanation unavailable,medium,78,none
Post-2026-07-08 filings,Any later docket activity,No result,CourtListener docket/entry pagination and RECAP search; direct storage probe; Justia docket/PDF; GovInfo/CACD exact search; Internet Archive RECAP inventory,No later filing appears in refreshed CourtListener metadata,monitor,,none
