date_or_timestamp,event_type,public_label_or_event,evidence,what_it_establishes,what_it_does_not_establish
"2022-07-18","GEO filing","Retirement announced effective 2023-02-01","SEC 8-K filed by GEO","Planned retirement date and retirement-plan valuation","ICE return date or federal appointment"
"2023-02-01","GEO agreement","Consulting term begins","SEC-filed consultant agreement","Contractual commencement date","Actual payment history or later extension"
"2025-01-31","GEO agreement","Scheduled consulting term ends unless extended or terminated earlier","SEC-filed consultant agreement","Contractual outside date","Actual termination date or absence of extension"
"2025-03-17","public-record exhibit","Senior Advisor to the Director","Mineral County release reproduced in prior source package; finding 12944","Venturella used that ICE signature by this date","Exact ICE start date, permanent position, personnel action, or delegation"
"2026-05-17T23:12:07Z","Wayback capture","Todd M. Lyons — Senior Official Performing the Duties of the Director","ICE leadership page capture","Last located pre-transition public leadership capture","Lyons's internal end date"
"2026-05-18T16:49:24Z","Wayback capture","David J. Venturella — Director","ICE leadership page capture","First located public leadership-page appearance; <=17:37:17 after prior capture","Internal effective date, PAS confirmation, acting authority, succession, or delegation"
"2026-05-19T17:45:24Z","Wayback capture","David J. Venturella — Senior Official Performing the Duties of the Director","ICE leadership page capture","Public correction within <=24:56:00","Reason for correction or legal service basis"
"2026-05-27","congressional letter","Acting Director / Acting ICE Director used in addressee and text","Official Warren letter","Senator's public characterization and requests","Appointment instrument, waiver, or conflict"
"2026-06-11","DOJ release","Acting Director David Venturella of ICE","Official DOJ release","DOJ's public label on that date","FVRA designation, succession instrument, permanent office, or delegated functions"
"2026-06-23","DOJ release","Acting ICE Director David J. Venturella","Official DOJ release","DOJ's public label on that date","FVRA designation, succession instrument, permanent office, or delegated functions"
"2026-07-14","live ICE page","Senior Official Performing the Duties of the Director","ICE leadership page","Current public ICE label on retrieval date","Underlying appointment route, effective date, permanent office, or authority instrument"

