date,event,record,evidence_class,what_it_establishes,what_it_does_not_establish,procedural_effect,availability
2008-05,"Roycroft begins work as clinical supervisor at Shelby residential treatment center","GovInfo USCOURTS-ca6-17-03521-0 pp. 1-2",judicial_background_summary,"Role, location, and beginning of employment period","Truth of every allegation later attributed to Roycroft",none,full_opinion_reviewed
2008-09-20,"Example representative Medicaid claim identified in amended complaint","GovInfo USCOURTS-ca6-17-03521-0 pp. 3, 5",allegation_plus_authenticated_presentment,"One identified claim date/provider/client formulation; six of seven identified claims were billed to Medicaid","Which service defect or regulatory violation made this or any specific claim false",none,full_opinion_reviewed_underlying_invoice_unavailable
2009-02,"Roycroft allegedly learns evening group was infrequent/partial and closure group historically absent","GovInfo USCOURTS-ca6-17-03521-0 pp. 2, 7",allegation,"Relator's asserted knowledge timing","That the alleged condition existed for September 2008 claims",none,full_opinion_reviewed
2009-03,"Roycroft employment period ends","GovInfo USCOURTS-ca6-17-03521-0 p. 2",judicial_background_summary,"End of alleged insider period","End of all possible billing or later corporate responsibility",none,full_opinion_reviewed
2010-08-12,"GEO completes acquisition of Cornell Companies","SEC accession 0000950123-10-078898 Item 2.01",primary_corporate_record,"Cornell became a wholly owned GEO subsidiary after the alleged conduct period","Successor-liability theory or which entity submitted the Medicaid claims",corporate_control_change,full_relevant_item_reviewed
2014-08-15,"Original qui tam complaint filed","CourtListener docket 6238455 ECF 1",court_docket_metadata,"Filing date, parties, jury demand, and existence of complaint","Full allegations, damages, or sealed contents",case_opened,pdf_unavailable
2016-03-02,"United States files election to decline intervention","CourtListener docket 6238455 ECF 7; GovInfo opinion p. 3",government_position,"Government did not intervene at that time","Government's rationale or a merits conclusion",relator_allowed_to_proceed,pdf_unavailable_opinion_confirms
2016-03-03,"Court unseals complaint and specified procedural materials","CourtListener docket 6238455 ECF 8",court_order_docket_text,"Complaint/service rules, continued seal for earlier materials, government participation rights","Contents of still-sealed materials",unsealing_and_service_order,docket_text_available_pdf_unavailable
2016-07-19,"First amended FCA complaint filed; Correct Care and Cornell Corrections Management added","CourtListener docket 6238455 ECF 11; GovInfo opinion pp. 2-3",allegation_and_docket_metadata,"Claims asserted under sections 3729(a)(1)(A), (B), and (G); money damages sought","Aggregate damages or full corporate-liability allegations",operative_complaint,pdf_unavailable_judicial_summary_available
2016-09-27,"Defendants move to dismiss amended complaint","CourtListener docket 6238455 ECF 17-18",party_position,"Rule 12(b)(6)/9(b) challenge filed","Correctness of defense arguments",motion_pending,pdfs_unavailable
2016-10-13,"Correct Care dismissed without prejudice by stipulation","CourtListener docket 6238455 ECF 20",court_order_docket_text,"Disposition of Correct Care at district level","Merits of allegations against Correct Care",party_dismissed_without_prejudice,pdf_unavailable
2016-10-27,"Roycroft opposes motion to dismiss","CourtListener docket 6238455 ECF 22",party_position,"Opposition filed","Contents or success of opposition",briefing_continues,pdf_unavailable
2016-11-10,"Defendants reply with Ohio Medicaid FAQ and claims exhibits","CourtListener docket 6238455 ECF 23; GovInfo opinion p. 5",party_position_plus_documentary_exhibits,"Invoices were before the courts; six of seven claims were billed","Amounts, codes, or falsity of the claims",briefing_complete,pdf_and_exhibits_unavailable
2017-04-21,"District court grants dismissal and denies discovery stay as moot","CourtListener docket 6238455 ECF 29; GovInfo opinion pp. 1, 3",holding,"Dismissal with prejudice for failure to plead representative falsity with Rule 9(b) particularity","Whether alleged billing conduct actually occurred",district_case_terminated,pdf_unavailable_appellate_opinion_confirms
2017-05-17,"Roycroft notices appeal","CourtListener docket 6238455 ECF 30",court_docket_metadata,"Appeal taken from April 21 order","Appellate merits or later outcome",appeal_initiated,docket_text_available
2017-05-18,"Sixth Circuit opens No. 17-3521","CourtListener docket 6086896",court_docket_metadata,"Appellate docket and parties","Termination date in CourtListener metadata",appeal_opened,docket_metadata_available
2018-01-03,"Sixth Circuit affirms dismissal","GovInfo USCOURTS-ca6-17-03521-0 pp. 1-9",holding,"Complaint failed to connect a representative claim to a specific falsity; reverse-claim theory also failed; no abuse in denying unrequested amendment","Finding that services were delivered or not delivered; finding of fraud or exoneration on underlying facts",judgment_affirmed,full_opinion_reviewed_and_visual_qa

