record_type,company_or_channel,facility_or_instrument,legal_recipient_or_prime,uei_or_award_id,parent_vehicle,fy2024_obligations,fy2025_obligations,fy2025_change,fy24_to_fy25_pct,cy2024_actions,cy2025_actions,cy24_to_cy25_pct,new_or_legacy,design_beds,fy2025_obligations_per_design_bed,competition_or_channel,offers,authority_or_basis,evidence_refs,interpretive_limit
company,CoreCivic,direct ICE legal-recipient total,"CORECIVIC, INC.",HJGMJN1JKL46,,179444877.48,305768541.63,126323664.15,70.3969,179216891.33,266391160.57,48.6418,mixed,,,,direct prime,,USASPENDING:HJGMJN1JKL46:ICE-FY2024-FY2026YTD:145-ACTIONS|Finding:12775|Finding:12778,"Fiscal and calendar actions are obligations, not service-period expense or revenue."
company,GEO,legal-recipient direct ICE total,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,,459086420.56,621386485.36,162300064.80,35.3528,469578873.88,527827186.25,12.4044,mixed,,,,direct prime,,USASPENDING:GEO-FAMILY:FY2024-FY2025:LEGAL-RECIPIENT-BRIDGE|Finding:12413,"Excludes B.I. and public-prime/IGSA channels."
company,GEO,B.I. Incorporated direct ICE total,"B.I. INCORPORATED",PKK6L9KLMYR5,,288316597.74,190342054.96,-97974542.78,-33.9816,245556256.98,171510932.72,-30.1541,legacy electronic monitoring,,,,direct prime,,USASPENDING:GEO-FAMILY:FY2024-FY2025:LEGAL-RECIPIENT-BRIDGE|Finding:12413,"B.I. is included inside USAspending's GEO parent-hierarchy query and must not be double-counted."
company,GEO,USAspending parent hierarchy,"THE GEO GROUP, INC. plus B.I. INCORPORATED",parent-hierarchy,,747403018.30,811728540.32,64325522.02,8.6065,715135130.86,699338118.97,-2.2090,mixed,,,,direct-prime hierarchy,,USASPENDING:GEO-FAMILY:FY2024-FY2025:LEGAL-RECIPIENT-BRIDGE|Finding:12413,"Consolidated query result; not independent of the B.I. row."
company,MTC,direct ICE legal-recipient total,"MANAGEMENT & TRAINING CORPORATION",G58ZEJ7HJGM1,,44473943.32,50621251.76,6147308.44,13.8223,44630623.44,38083184.71,-14.6703,legacy,,,,direct prime,,Finding:12449|USASPENDING:PEER-FY2025-TRANSACTIONS,"MTC supplies no new-direct-site capacity denominator in this window."
bridge,CoreCivic,new direct activation families,"CORECIVIC, INC.",HJGMJN1JKL46,"70CDCR25D00000008|70CDCR25D00000010",0.00,74943682.25,74943682.25,,0.00,,,new,3593,20858.25,"sole-source urgency letter contracts",,"FAR 6.302-2",Finding:12774|Finding:12775|Finding:12782,"Design beds are not ready or occupied beds; Midwest had no intake by year-end."
bridge,CoreCivic,legacy direct sites plus vehicle minimum,"CORECIVIC, INC.",HJGMJN1JKL46,multiple,179444877.48,230824859.38,51379981.90,,,,,legacy,,,,mixed direct-prime vehicles,,Finding:12775,"Includes Otay Mesa, Houston, CAFCC, Hutto, and a $250 vehicle minimum."
bridge,GEO,new direct activation families,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,"70CDCR25D00000007|70CDCR25D00000009",0.00,60678872.24,60678872.24,,0.00,,,new,2800,21671.03,"mixed: full-and-open and sole-source urgency",,"mixed",Finding:12447|Finding:12449|Finding:12782,"Design-bed proxy excludes GEO IGSA activations and does not control for rates or readiness."
bridge,GEO,legal-recipient legacy direct portfolio,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,multiple,459086420.56,560707613.12,101621192.56,,,,,legacy,,,,mixed direct-prime vehicles,,USASPENDING:GEO-FAMILY:FY2024-FY2025:LEGAL-RECIPIENT-BRIDGE,"Excludes B.I. and IGSA/public-prime activity."
facility,CoreCivic,California City Immigration Processing Center,"CORECIVIC, INC.",70CDCR25D00000010,70CDCR25D00000010,0.00,49152682.25,49152682.25,,,,,new,2560,19200.27,"not competed; only one source; letter contract",1,"urgency FAR 6.302-2",Finding:12774|Finding:12776|Finding:12777,"Signed J&A, market research, alternatives, rate schedule, price memorandum, and exceptional-circumstances documentation were not publicly exposed."
facility,CoreCivic,Midwest Regional Reception Center,"CORECIVIC, INC.",70CDCR25D00000008,70CDCR25D00000008,0.00,25791000.00,25791000.00,,,,,new,1033,24967.09,"not competed; only one source; letter contract",,"urgency FAR 6.302-2",Finding:12444|Finding:12775,"Litigation delayed intake; obligations are not occupied-bed service."
facility,GEO,Delaney Hall,"THE GEO GROUP, INC.",70CDCR25D00000007,70CDCR25D00000007,0.00,30756083.24,30756083.24,,,,,new,1000,30756.08,"full and open; negotiated proposal",2,,Finding:12447|Finding:12449|USASPENDING:70CDCR25D00000007,"Counterexample to a blanket sole-source activation narrative."
facility,GEO,North Lake,"THE GEO GROUP, INC.",70CDCR25D00000009,70CDCR25D00000009,0.00,29922789.00,29922789.00,,,,,new,1800,16623.77,"not competed; sole source; undefinitized letter contract",1,"urgency FAR 6.302-2",Finding:12447|Finding:12449|USASPENDING:70CDCR25D00000009,"Authority-level public notice exists; market research and definitization file remain incomplete."
facility,CoreCivic,Otay Mesa Detention Center,"CORECIVIC, INC.",70CDCR20D00000007,70CDCR20D00000007,101684254.38,124582984.40,22898730.02,,,,,legacy,,,"full and open; facility-specific fixed-price IDIQ",1,,Finding:12415|Finding:12775,"One offer after full-and-open competition is not a sole-source fact."
facility,MTC,Imperial Regional Detention Facility,"MANAGEMENT & TRAINING CORPORATION",70CDCR20D00000006,70CDCR20D00000006,,50621001.76,,,,,,legacy,,,"full and open; facility-specific fixed-price IDIQ",1,,Finding:12415|Finding:12449,"FY2025 amount combines current and predecessor task orders; design capacity not established in the audited local record."
channel,CoreCivic,Dilley Immigration Processing Center,public/local IGSA prime,IGSA-amendment,,,,,,,,,new,2400,,IGSA/public-prime pass-through,,,Finding:12446,"Physical activation and company revenue are not represented as a direct CoreCivic federal award."
channel,GEO,D. Ray James Facility,public/local IGSA prime,existing-IGSA,,,,,,,,,new,1868,,IGSA/public-prime pass-through,,,Finding:12447|Finding:12668,"Physical activation is not cleanly represented as a direct GEO facility task."
channel,GEO,DHS public-prime/private-operator architecture,seven verified public primes,seven-chain-denominator,,,,,,,,,mixed,,,IGSA/public-prime pass-through,,,Finding:12668|Finding:12727,"Six ICE and one CBP chain establish routing recurrence but not a uniform downstream amount."
