competition_group,hypothesis_id,finding_id,eligibility,verification_status,source_cluster,assessment,diagnosticity,dependency_treatment,reason,boundary
geo-bi-dual-skip-tracing-channels,347,12466,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,350,12466,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,347,12468,excluded,retracted,retracted-item42-synthesis,not_applicable,excluded,weight-zero,"Retracted finding is superseded for this run by verified bounded replacement #12941.","Retraction is not affirmative evidence for either hypothesis."
geo-bi-dual-skip-tracing-channels,350,12468,excluded,retracted,retracted-item42-synthesis,not_applicable,excluded,weight-zero,"Retracted finding is superseded for this run by verified bounded replacement #12941.","Retraction is not affirmative evidence for either hypothesis."
geo-bi-dual-skip-tracing-channels,347,12471,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,350,12471,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,347,12472,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,350,12472,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,347,12473,excluded,unverified,prior-run-paraphrase,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,350,12473,excluded,unverified,prior-run-paraphrase,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-bi-dual-skip-tracing-channels,347,12467,accepted,verified,isap-task-action-record,consistent,non-diagnostic,shared-provenance-with-12941,"ISAP V skip-tracing action obligations are compatible with distinct ordinary needs.","No unit case population deliverable invoice or data path."
geo-bi-dual-skip-tracing-channels,350,12467,accepted,verified,isap-task-action-record,consistent,non-diagnostic,shared-provenance-with-12941,"ISAP V skip-tracing action obligations are compatible with operational overlap.","No unit case population deliverable invoice or data path."
geo-bi-dual-skip-tracing-channels,347,12941,accepted,verified,isap-task-package-boundary,neutral,non-diagnostic,shared-provenance-with-12467,"The item-39/item-42 boundary identifies a decisive missing schedule but not distinct scope.","The post-award item 42 contents remain unrecovered."
geo-bi-dual-skip-tracing-channels,350,12941,accepted,verified,isap-task-package-boundary,neutral,non-diagnostic,shared-provenance-with-12467,"The item-39/item-42 boundary identifies a decisive missing schedule but not overlap.","The post-award item 42 contents remain unrecovered."
geo-bi-dual-skip-tracing-channels,347,12942,accepted,verified,geo-sec-contract-statements,consistent,non-diagnostic,same-issuer-family-with-12943,"A pilot-to-new-contract lifecycle is compatible with ordinary separation.","Pilot PIID unknown; do not map pilot to item 42."
geo-bi-dual-skip-tracing-channels,350,12942,accepted,verified,geo-sec-contract-statements,consistent,non-diagnostic,same-issuer-family-with-12943,"A pilot-to-new-contract lifecycle is also compatible with operational continuity or overlap.","Pilot PIID unknown; do not map pilot to item 42."
geo-bi-dual-skip-tracing-channels,347,12943,accepted,verified,geo-sec-contract-statements,consistent,non-diagnostic,same-issuer-family-with-12942,"March 2026 service under the new contract is compatible with distinct concurrent needs.","No item-42 service dates cases or workflows."
geo-bi-dual-skip-tracing-channels,350,12943,accepted,verified,geo-sec-contract-statements,consistent,non-diagnostic,same-issuer-family-with-12942,"March 2026 service is compatible with concurrent operational channels.","No common cases fields workflows or item-42 service dates."
geo-isap-privacy-governance-timing,348,12470,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-isap-privacy-governance-timing,349,12470,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-isap-privacy-governance-timing,348,12471,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-isap-privacy-governance-timing,349,12471,excluded,unverified,prior-run-synthesis,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-isap-privacy-governance-timing,348,12473,excluded,unverified,prior-run-paraphrase,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-isap-privacy-governance-timing,349,12473,excluded,unverified,prior-run-paraphrase,not_applicable,excluded,weight-zero,"Prior attached finding is unverified.","Preserved as history; not used in run 105."
geo-isap-privacy-governance-timing,348,12494,accepted,verified,carier-sorn-2024,inconsistent,diagnostic-raw,one-cluster-with-12495,"Pre-procurement SORN coverage weighs against blanket lag at the ATD geolocation and contractor-system layer.","No project PTA PIA decision ATO risk acceptance or production authorization."
geo-isap-privacy-governance-timing,349,12494,accepted,verified,carier-sorn-2024,consistent,diagnostic-raw,one-cluster-with-12495,"Pre-procurement SORN coverage is compatible with ordinary governance at the SORN layer.","No proof of project-level completion."
geo-isap-privacy-governance-timing,348,12495,accepted,verified,carier-sorn-2024,inconsistent,diagnostic-raw,one-cluster-with-12494,"Pre-procurement population commercial-source and contractor-use coverage weighs against blanket lag at the general records layer.","No named solicitation physical observation or project architecture."
geo-isap-privacy-governance-timing,349,12495,accepted,verified,carier-sorn-2024,consistent,diagnostic-raw,one-cluster-with-12494,"The existing public records and routine-use framework is compatible with ordinary internal review.","Project-specific completion remains unproved."
geo-isap-privacy-governance-timing,348,12496,accepted,verified,procurement-control-gates,consistent,non-diagnostic,one-process-cluster,"Privacy-document and ATO gates can exist even if implementation approval later lags.","Clauses are not issued approvals."
geo-isap-privacy-governance-timing,349,12496,accepted,verified,procurement-control-gates,consistent,non-diagnostic,one-process-cluster,"Privacy-document and ATO gates are expected under ordinary process.","Clauses are not proof the gates were completed."
geo-isap-privacy-governance-timing,348,12497,accepted,verified,public-pia-index-boundary,consistent,diagnostic-weak,bounded-negative,"No newer indexed project PIA is compatible with a public-document lag.","Cannot prove internal review absent or late."
geo-isap-privacy-governance-timing,349,12497,accepted,verified,public-pia-index-boundary,neutral,diagnostic-weak,bounded-negative,"A public-index gap is compatible with internal PTA non-update decision unpublished review or ATO.","Public index is not a complete internal compliance file."
geo-isap-privacy-governance-timing,348,12942,accepted,verified,geo-sec-contract-statements,neutral,non-diagnostic,same-issuer-family-with-12943,"Q4 2025 pilot is an operational anchor without an approval comparator.","Pilot PIID and first PII-processing date unknown; do not map to item 42."
geo-isap-privacy-governance-timing,349,12942,accepted,verified,geo-sec-contract-statements,neutral,non-diagnostic,same-issuer-family-with-12943,"Q4 2025 pilot is an operational anchor without an approval comparator.","Does not establish ordinary approval timing."
geo-isap-privacy-governance-timing,348,12943,accepted,verified,geo-sec-contract-statements,neutral,non-diagnostic,same-issuer-family-with-12942,"March 2026 service start is an operational anchor without a controlling approval date.","Company statement is not first PII processing or agency acceptance."
geo-isap-privacy-governance-timing,349,12943,accepted,verified,geo-sec-contract-statements,neutral,non-diagnostic,same-issuer-family-with-12942,"March 2026 service start is an operational anchor without a controlling approval date.","Company statement is not proof of ordinary approval timing."

