channel,record_type,award_id,parent_award_id,recipient,uei,solicitation_id,action_date,modification,action_obligation,period_start,current_or_ordering_end,potential_end,award_or_task_value,first_task_pool_share_pct,first_task_rank,offers,competition,procedure,pricing,psc,naics,scope_or_action,source_reference
ISAP V item 42,parent_idv,70CDCR25D00000062,,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2025-12-04,,,2025-09-30,2026-09-29,,1027594113.39,,,2,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R408,561210,"THIS IDIQ CONTRACT IS FOR THE OPERATION OF THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION UTILIZING TECHNOLOGY AND CASE MANAGEMENT. THE CONTRACTOR PERFORMS PROGRAM MANAGEMENT AND OPERATIONAL SUPPORT, INCLUDING OFFICE AND HOME VISITS, CASE MANAGEMENT, ENROLLMENT/ORIENTATION, GPS TRACKING, BIOMETRIC REPORTING SYSTEMS, COURT TRACKING, ALERT AND EXCEPTION MANAGEMENT, AND MAINTENANCE SUPERVISION. ADDITIONAL TASKS INCLUDE PROVIDING TRAVEL DOCUMENTS, TRAINING, QUALITY ASSURANCE, AND EMERGENCY PROTOCOLS.",HigherGov normalized IDV + SAM opportunity 8bcce9c16821469395136f30f092ffbf
ISAP V item 42,task_order,70CDCR25FR0000127,70CDCR25D00000062,B.I. Incorporated,PKK6L9KLMYR5,70CDCR25R00000018,2026-01-27,,,2025-09-30,2026-09-29,2026-09-29,108343853.0,,,,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R408,561210,"THIS TASK ORDER FACILITATES THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION, UTILIZING TECHNOLOGY AND CASE MANAGEMENT.",HigherGov normalized task + USAspending award
ISAP V item 42,obligation_action,70CDCR25FR0000127,70CDCR25D00000062,B.I. INCORPORATED,PKK6L9KLMYR5,70CDCR25R00000018,2025-09-30,0,21966324.91,,,,,,,,,,,R408,561210,"THIS TASK ORDER FACILITATES THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION, UTILIZING TECHNOLOGY AND CASE MANAGEMENT.",USAspending transaction
ISAP V item 42,obligation_action,70CDCR25FR0000127,70CDCR25D00000062,B.I. INCORPORATED,PKK6L9KLMYR5,70CDCR25R00000018,2025-09-30,P00001,16103.09,,,,,,,,,,,R408,561210,"THIS MODIFICATION PROVIDES ADDITIONAL FUNDING FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION, UTILIZING TECHNOLOGY AND CASE MANAGEMENT.",USAspending transaction
ISAP V item 42,obligation_action,70CDCR25FR0000127,70CDCR25D00000062,B.I. INCORPORATED,PKK6L9KLMYR5,70CDCR25R00000018,2025-10-30,P00002,690000.0,,,,,,,,,,,R408,561210,"THIS MODIFICATION ADDS FUNDING FOR SKIP TRACING SERVICES FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION, UTILIZING TECHNOLOGY AND CASE M",USAspending transaction
ISAP V item 42,obligation_action,70CDCR25FR0000127,70CDCR25D00000062,B.I. INCORPORATED,PKK6L9KLMYR5,70CDCR25R00000018,2025-12-17,P00003,9660000.0,,,,,,,,,,,R408,561210,THIS MODIFICATION ADDS FUNDING FOR ATTACHMENT 4 PRICING SCHEDULE ITEM 42 SKIP TRACING SERVICES FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETE,USAspending transaction
ISAP V item 42,obligation_action,70CDCR25FR0000127,70CDCR25D00000062,B.I. INCORPORATED,PKK6L9KLMYR5,70CDCR25R00000018,2026-01-27,P00004,76011425.0,,,,,,,,,,,R408,561210,THIS MODIFICATION ADDS FUNDING FOR ATTACHMENT 4 PRICING SCHEDULE ITEM 42 SKIP TRACING SERVICES FOR THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETE,USAspending transaction
26-SOL-DCR-01,parent_idv,70CDCR26D00000003,,Enprovera,XWMMKN745MS5,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,2631300.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, EXTENSIVE RESEARCH USING SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 CASES FOR ADDRESS VERIFICATION WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000005,,B.I. Incorporated,PKK6L9KLMYR5,26SOLDCR01,2026-03-24,,,2025-12-16,2027-12-15,,121837500.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, RESEARCH USING SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. THE CONTRACTOR IS ASSIGNED A MONTHLY CASELOAD OF APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000006,,AI Solutions 87,RXFLA65SEJL9,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,48491250.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, USE OF SEARCH ENGINES, COLLECTION OF PHOTOS AND DOCUMENTS VERIFYING RESIDENCE OR EMPLOYMENT, AND PRIORITIZING VERIFICATION OF RESIDENCE BEFORE EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES, WITH SERVICES PERFORMED NATIONWIDE.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
