record_type,program,award_id,parent_award_id,recipient,uei,solicitation_id,start_date,current_or_ordering_end,potential_end,obligated_amount,potential_value,offers,competition,procedure_or_pricing,description,primary_or_structured_source
parent_idv,ISAP I,HSCEAB04C0008 / HSACB4C0008,,B.I. Incorporated,PKK6L9KLMYR5,,2004-03-22,2009-12-28,,,3,Full And Open Competition,Negotiated Proposal/Quote,"Archived records use both HSCEAB04C0008 and HSACB4C0008; start is from the earliest matched task/contract record because HigherGov's parent start field is anomalous",HigherGov award records
task_order,ISAP I,HSCEAL04D0270,HSCEAB04C0008,B.I. Incorporated,PKK6L9KLMYR5,,2004-10-01,2009-06-20,2009-06-20,4782285.91,63184073.00,3,Full And Open Competition,Negotiated Proposal/Quote,Intensive Supervision Program,HigherGov award record
task_order,ISAP I,HSCEOP05J00115,HSCEAB04C0008,B.I. Incorporated,PKK6L9KLMYR5,,2005-06-21,2009-06-20,2009-06-20,15543090.00,24400980.00,3,Full And Open Competition,Negotiated Proposal/Quote,Intensive Supervision Program,HigherGov award record
task_order,ISAP I,HSCEOP06J00396,HSACB4C0008,B.I. Incorporated,PKK6L9KLMYR5,,2006-08-08,2007-06-20,2007-06-20,9100000.00,9100000.00,3,Full And Open Competition,Negotiated Proposal/Quote,ISAP program,HigherGov award record
task_order,ISAP I,HSCEOP07J00541,HSACB4C0008,B.I. Incorporated,PKK6L9KLMYR5,,2007-06-18,2008-06-20,2008-06-20,7449517.76,7449517.76,3,Full And Open Competition,Negotiated Proposal/Quote,ISAP option year 3,HigherGov award record
task_order,ISAP I,HSCEOP07J00623,HSACB4C0008,B.I. Incorporated,PKK6L9KLMYR5,,2007-09-24,2008-09-23,2008-09-23,12829131.34,12829131.34,3,Full And Open Competition,Negotiated Proposal/Quote,ISAP New York expansion,HigherGov award record
task_order,ISAP I,HSCECR08J00052,HSACB4C0008,B.I. Incorporated,PKK6L9KLMYR5,,2008-09-05,2009-12-28,2009-12-28,31601604.39,31601604.39,3,Full And Open Competition,Negotiated Proposal/Quote,Intensive Supervision Appearance Program,HigherGov award record
parent_idv,ISAP II,HSCECR09D00002,,B.I. Incorporated,PKK6L9KLMYR5,HSCECR09R00004,2009-07-20,2014-11-05,,202820717.41,372838586.80,3,Full And Open Competition,Negotiated Proposal/Quote,"Obligated amount is the sum of current cumulative task obligations, not a parent-award obligation field",HigherGov award records
task_order,ISAP II,HSCECR09J00040,HSCECR09D00002,B.I. Incorporated,PKK6L9KLMYR5,HSCECR09R00004,2009-07-20,2010-11-05,2015-11-28,33817879.73,33817879.73,1,Full And Open Competition,Negotiated Proposal/Quote,Base-year services,HigherGov award record
task_order,ISAP II,HSCECR11J00001,HSCECR09D00002,B.I. Incorporated,PKK6L9KLMYR5,HSCECR09R00004,2010-11-01,2011-11-05,2015-11-14,41773632.33,41773632.33,3,Full And Open Competition,Negotiated Proposal/Quote,Option year 1,HigherGov award record
task_order,ISAP II,HSCECR12J00001,HSCECR09D00002,B.I. Incorporated,PKK6L9KLMYR5,HSCECR09R00004,2011-11-06,2012-11-05,2015-11-14,40201510.99,77846324.68,3,Full And Open Competition,Negotiated Proposal/Quote,Option year 2,HigherGov award record
task_order,ISAP II,HSCECR13J00001,HSCECR09D00002,B.I. Incorporated,PKK6L9KLMYR5,HSCECR09R00004,2012-10-23,2013-11-05,2014-09-11,36663316.84,72383441.50,3,Full And Open Competition,Negotiated Proposal/Quote,Option year 3,HigherGov award record
