acquisition_layer,competition_denominator,record_id,piid,parent_idv_piid,is_order_or_call,recipient_legal_name,recipient_uei,instrument_type,facility_or_service,award_obligations_usaspending,linked_order_obligations_highergov,potential_total_value,period_start,potential_end,extent_competed,solicitation_procedures,offers_received,solicitation_identifier,set_aside,fair_opportunity_limitation,other_than_full_and_open_reason,multiple_or_single_award,competition_bucket,reported_subaward_count,reported_subaward_amount,description,source_url,source_coverage,parent_vehicle_extent_competed,parent_vehicle_solicitation_procedures,parent_vehicle_offers_received,parent_vehicle_solicitation_identifier,parent_vehicle_competition_bucket,parent_vehicle_source_url
prime_award,yes,HSCEVT04CACB4C0008,HSCEVT04CACB4C0008,,no,B.I. INCORPORATED,PKK6L9KLMYR5,Definitive Contract,ISAP/electronic monitoring,0.00,,0.00,2004-03-22,2009-06-20,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,7,,NO SET ASIDE USED.,,,,full_open_multiple_offers,0,,INTENSIVE SUPERVISION APPEARANCE PROGRAM,https://www.usaspending.gov/award/CONT_AWD_HSCEVT04CACB4C0008_7012_-NONE-_-NONE-,USAspending + HigherGov,,,,,,
prime_award,yes,HSCEAB04C0008-HSCEAL04D0270,HSCEAL04D0270,HSCEAB04C0008,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,4782285.91,,63184073.00,2004-10-01,2009-06-20,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,INTENSIVE SUPERVISION PROGRAM,https://www.usaspending.gov/award/CONT_AWD_HSCEAL04D0270_7012_HSCEAB04C0008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,,full_open_multiple_offers,https://www.highergov.com/idv/HSCEAB04C0008/
prime_award,yes,HSCEAB04C0008-HSCEOP05J00115,HSCEOP05J00115,HSCEAB04C0008,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,15543090.00,,24400980.00,2005-06-21,2009-06-20,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,INTENSIVE SUPERVISION PROGRAM,https://www.usaspending.gov/award/CONT_AWD_HSCEOP05J00115_7012_HSCEAB04C0008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,,full_open_multiple_offers,https://www.highergov.com/idv/HSCEAB04C0008/
prime_award,yes,HSACB4C0008-HSCEOP06J00396,HSCEOP06J00396,HSACB4C0008,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,9100000.00,,9100000.00,2006-08-08,2007-06-20,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,ISAP PROGRAM,https://www.usaspending.gov/award/CONT_AWD_HSCEOP06J00396_7012_HSACB4C0008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,,full_open_multiple_offers,https://www.highergov.com/idv/HSACB4C0008/
prime_award,yes,HSACB4C0008-HSCEOP07J00541,HSCEOP07J00541,HSACB4C0008,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,7449517.76,,7449517.76,2007-06-18,2008-06-20,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,ISAP CONTRACT FOR OPTION YEAR 3,https://www.usaspending.gov/award/CONT_AWD_HSCEOP07J00541_7012_HSACB4C0008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,,full_open_multiple_offers,https://www.highergov.com/idv/HSACB4C0008/
prime_award,yes,HSACB4C0008-HSCEOP07J00623,HSCEOP07J00623,HSACB4C0008,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,12829131.34,,12829131.34,2007-09-24,2008-09-23,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,ISAP NEW YORK EXPANSION,https://www.usaspending.gov/award/CONT_AWD_HSCEOP07J00623_7012_HSACB4C0008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,,full_open_multiple_offers,https://www.highergov.com/idv/HSACB4C0008/
prime_award,yes,HSACB4C0008-HSCECR08J00052,HSCECR08J00052,HSACB4C0008,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,31601604.39,,31601604.39,2008-09-05,2009-12-28,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,,NO SET ASIDE USED.,NAN,,SINGLE AWARD,full_open_multiple_offers,0,,INTENSIVE SUPERVISION APPEARANCE PROGRAM,https://www.usaspending.gov/award/CONT_AWD_HSCECR08J00052_7012_HSACB4C0008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,,full_open_multiple_offers,https://www.highergov.com/idv/HSACB4C0008/
prime_award,yes,HSCECR09D00002-HSCECR09J00040,HSCECR09J00040,HSCECR09D00002,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,33817879.73,,33817879.73,2009-07-20,2015-11-28,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,1,HSCECR-09-R-00004,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_one_offer,0,,ISAP II - ANNUAL TASK ORDER - BASE YEAR SERVICES (07/20/2009 - 07/19/2010) - CONTRACT HSCECR-09-D-00002,https://www.usaspending.gov/award/CONT_AWD_HSCECR09J00040_7012_HSCECR09D00002_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,HSCECR09R00004,full_open_multiple_offers,https://www.highergov.com/idv/HSCECR09D00002/
prime_award,yes,HSCECR09D00002-HSCECR11J00001,HSCECR11J00001,HSCECR09D00002,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,41773632.33,,41773632.33,2010-11-01,2015-11-14,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,HSCECR-09-R-00004,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,"OPTION YEAR 1 TASK ORDER AWARD
ISAP II (BASE CONTRACT# HSCECR-09-D-00002)",https://www.usaspending.gov/award/CONT_AWD_HSCECR11J00001_7012_HSCECR09D00002_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,HSCECR09R00004,full_open_multiple_offers,https://www.highergov.com/idv/HSCECR09D00002/
prime_award,yes,HSCECR09D00002-HSCECR12J00001,HSCECR12J00001,HSCECR09D00002,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,40201510.99,,77846324.68,2011-11-06,2015-11-14,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,HSCECR-09-R-00004,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,"ISAP II CONTRACT (HSCECR-09-D-00002)
OPTION YEAR 2 TASK ORDER (HSCECR-12-J-00001)",https://www.usaspending.gov/award/CONT_AWD_HSCECR12J00001_7012_HSCECR09D00002_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,HSCECR09R00004,full_open_multiple_offers,https://www.highergov.com/idv/HSCECR09D00002/
prime_award,yes,GS07F0518N-HSCEMD12F00015,HSCEMD12F00015,GS07F0518N,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,502.44,,502.44,2012-02-06,2012-08-17,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,2,,NO SET ASIDE USED.,FAIR OPPORTUNITY GIVEN,,MULTIPLE AWARD,full_open_multiple_offers,0,,"PASSIVE ELECTRONIC MONITORING DEVICES REQUIRED TO SECURE FOREIGN WITNESSES AT FEDERAL TRIAL. POP: FEB 12 TO APR 7, 2012. SELECTED VENDOR OFFERS BEST COST.",https://www.usaspending.gov/award/CONT_AWD_HSCEMD12F00015_7012_GS07F0518N_4730,USAspending + HigherGov,,,,,,
prime_award,yes,HSCECR09D00002-HSCECR13J00001,HSCECR13J00001,HSCECR09D00002,yes,B.I. INCORPORATED,PKK6L9KLMYR5,Delivery Order,ISAP/electronic monitoring,36663316.84,,72383441.50,2012-10-23,2014-09-11,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,3,HSCECR-09-R-00004,NO SET ASIDE USED.,,,SINGLE AWARD,full_open_multiple_offers,0,,"ISAP II CONTRACT HSCECR-09-D-0002
OY 3 TASK ORDER HSCECR-13-J-0001
POP: 11/06/2012-11/05/2013",https://www.usaspending.gov/award/CONT_AWD_HSCECR13J00001_7012_HSCECR09D00002_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,HSCECR09R00004,full_open_multiple_offers,https://www.highergov.com/idv/HSCECR09D00002/
