idv_piid,recipient_legal_name,recipient_uei,idv_type,facility_or_service,period_start,ordering_period_end,potential_total_value,task_order_or_call_count,linked_order_obligations_highergov,child_piids,psc_code,naics_code,offers_received,extent_competed,solicitation_procedures,solicitation_identifier,description,highergov_url
HSCEDM14D00004,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,ISAP/electronic monitoring,2014-09-08,2020-07-31,673827064.21,6,643009491.02,70CDCR18FR0000118|70CDCR19FR0000077|HSCEDM14J00033|HSCEDM15J00032|HSCEDM16J00039|HSCEDM17J00026,R408,561210,4,Full And Open Competition,Negotiated Proposal/Quote,HSCECR14R00001,INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP III),https://www.highergov.com/idv/HSCEDM14D00004/
HSACB4C0008,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,ISAP/electronic monitoring,2017-05-31,2009-12-28,0.0,4,60980253.49,HSCECR08J00052|HSCEOP06J00396|HSCEOP07J00541|HSCEOP07J00623,G099,624190,3,Full And Open Competition,Negotiated Proposal/Quote,,ISAP PROGRAM - ADD SUB LINE ITEMS,https://www.highergov.com/idv/HSACB4C0008/
HSCEAB04C0008,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,ISAP/electronic monitoring,2017-05-31,2009-03-21,0.0,2,20325375.91,HSCEAL04D0270|HSCEOP05J00115,G099,624190,3,Full And Open Competition,Negotiated Proposal/Quote,,INTENSIVE SUPERVISION PROGRAM,https://www.highergov.com/idv/HSCEAB04C0008/
HSCECR09D00002,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,ISAP/electronic monitoring,2017-05-31,2014-11-05,372838586.8,6,202820717.41,HSCECR09J00040|HSCECR11J00001|HSCECR12J00001|HSCECR13J00001|HSCECR13J00026|HSCECR14J00001,R408,561210,3,Full And Open Competition,Negotiated Proposal/Quote,HSCECR09R00004,"THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) II IS A CORE COMMUNITY-BASED SUPERVISION AND IN-PERSON REPORTING PROGRAM DESIGNED TO PROVIDE COST-EFFECTIVE ALTERNATIVES TO SECURE DETENTION FOR ALIENS BEING PROCESSED THROUGH THE IMMIGRATION COURT SYSTEM, WHILE ENSURING COMPLIANCE BY NON-DETAINED ALIENS WITH FINAL ORDERS ISSUED BY THE IMMIGRATION COURT.",https://www.highergov.com/idv/HSCECR09D00002/
70CDCR20D00000011,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,ISAP/electronic monitoring,2020-03-23,2025-09-30,2216562177.89,5,1448645184.92,70CDCR20FR0000023|70CDCR21FR0000044|70CDCR22FR0000034|70CDCR23FR0000042|70CDCR24FR0000049,R408,561210,2,Full And Open Competition,Negotiated Proposal/Quote,70CDCR19R00000002,INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP IV),https://www.highergov.com/idv/70CDCR20D00000011/
70CDCR25D00000062,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,ISAP/electronic monitoring,2025-09-30,2026-09-29,1027594113.39,1,108343853.0,70CDCR25FR0000127,R408,561210,2,Full And Open Competition,Negotiated Proposal/Quote,70CDCR25R00000018,"THIS IDIQ CONTRACT IS FOR THE OPERATION OF THE INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) V. ISAP PROVIDES ENFORCEMENT AND REMOVAL OPERATIONS (ERO) WITH A COST-EFFECTIVE ALTERNATIVE TO DETENTION UTILIZING TECHNOLOGY AND CASE MANAGEMENT. THE CONTRACTOR PERFORMS PROGRAM MANAGEMENT AND OPERATIONAL SUPPORT, INCLUDING OFFICE AND HOME VISITS, CASE MANAGEMENT, ENROLLMENT/ORIENTATION, GPS TRACKING, BIOMETRIC REPORTING SYSTEMS, COURT TRACKING, ALERT AND EXCEPTION MANAGEMENT, AND MAINTENANCE SUPERVISION. ADDITIONAL TASKS INCLUDE PROVIDING TRAVEL DOCUMENTS, TRAINING, QUALITY ASSURANCE, AND EMERGENCY PROTOCOLS.",https://www.highergov.com/idv/70CDCR25D00000062/
70CDCR26D00000005,B.I. INCORPORATED,PKK6L9KLMYR5,IDC,Other ICE service — unresolved from description,2025-12-16,2027-12-15,121837500.0,1,1624500.0,70CDCR26FR0000021,R799,561611,51,Full And Open Competition,Negotiated Proposal/Quote,26SOLDCR01,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, RESEARCH USING SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. THE CONTRACTOR IS ASSIGNED A MONTHLY CASELOAD OF APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES.",https://www.highergov.com/idv/70CDCR26D00000005/
ACL9C0015,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,IDC,Other ICE service — unresolved from description,1999-11-15,1999-12-15,0.0,4,6662000.0,WRLGN199904CLNG900074ACL9C0015|WRLGN199907CLNG900145ACL9C0015|WRLGN199911CACL0D0035ACL9C0015|WRLGN199912CACL0D0114ACL9C0015,S206,,1,Not Competed,,,,https://www.highergov.com/idv/ACL9C0015/
ACL0C0003,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,IDC,Other ICE service — unresolved from description,2002-06-15,2002-06-15,0.0,2,1431000.0,WRLGN200107CACL1D0259ACL0C0003|WRLGN200206CACL2D0160ACL0C0003,S206,561612,1,Full And Open Competition,,,,https://www.highergov.com/idv/ACL0C0003/
ACL2C0005,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,IDC,Other ICE service — unresolved from description,2017-05-31,2004-01-15,0.0,3,5959800.5,ACL00200304CACL3D0158ACL2C0005|HSACL2C0005HSACL4D0102|HSACL4D0102,S206,561612,1,Full And Open Competition,,,,https://www.highergov.com/idv/ACL2C0005/
