canonical_award_id,piid,parent_idv_piid,recipient_legal_name,recipient_uei,recipient_cage,instrument_type,facility_or_service,awarding_office,period_start,current_end,potential_end,latest_action_date,obligations_highergov,award_amount_usaspending,usa_action_row_count,usa_action_net,current_total_value,potential_total_value,psc_code,psc_description,naics_code,naics_description,extent_competed,offers_received,solicitation_procedures,solicitation_identifier,subcontracting_plan,reported_subaward_count,reported_subaward_amount,coverage_class,description,highergov_url,usaspending_url
HSCEVT04CACB4C0008,HSCEVT04CACB4C0008,,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Definitive Contract,ISAP/electronic monitoring,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2004-03-22,2006-06-20,2009-06-20,2017-05-31,0.0,0.0,1,0,0.0,0.0,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,7,Negotiated Proposal/Quote,,Plan Required (Incentive Not Included),0,,USAspending + HigherGov,INTENSIVE SUPERVISION APPEARANCE PROGRAM,https://www.highergov.com/contract/HSCEVT04CACB4C0008/,https://www.usaspending.gov/award/CONT_AWD_HSCEVT04CACB4C0008_7012_-NONE-_-NONE-
HSCEAB04C0008-HSCEAL04D0270,HSCEAL04D0270,HSCEAB04C0008,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2004-10-01,2009-06-20,2009-06-20,2017-05-31,4782285.91,4782285.91,1,0,12140466.0,63184073.0,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,3,Negotiated Proposal/Quote,,,0,,USAspending + HigherGov,INTENSIVE SUPERVISION PROGRAM,https://www.highergov.com/contract/HSCEAB04C0008-HSCEAL04D0270/,https://www.usaspending.gov/award/CONT_AWD_HSCEAL04D0270_7012_HSCEAB04C0008_7012
HSCEAB04C0008-HSCEOP05J00115,HSCEOP05J00115,HSCEAB04C0008,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2005-06-21,2009-06-20,2009-06-20,2017-05-31,15543090.0,15543090.0,1,0,24400980.0,24400980.0,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,3,Negotiated Proposal/Quote,,,0,,USAspending + HigherGov,INTENSIVE SUPERVISION PROGRAM,https://www.highergov.com/contract/HSCEAB04C0008-HSCEOP05J00115/,https://www.usaspending.gov/award/CONT_AWD_HSCEOP05J00115_7012_HSCEAB04C0008_7012
HSACB4C0008-HSCEOP06J00396,HSCEOP06J00396,HSACB4C0008,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2006-08-08,2007-06-20,2007-06-20,2017-05-31,9100000.0,9100000.0,1,0,9100000.0,9100000.0,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,3,Negotiated Proposal/Quote,,,0,,USAspending + HigherGov,ISAP PROGRAM,https://www.highergov.com/contract/HSACB4C0008-HSCEOP06J00396/,https://www.usaspending.gov/award/CONT_AWD_HSCEOP06J00396_7012_HSACB4C0008_7012
HSACB4C0008-HSCEOP07J00541,HSCEOP07J00541,HSACB4C0008,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2007-06-18,2008-06-20,2008-06-20,2017-05-31,7449517.76,7449517.76,3,-5238892.24,7449517.76,7449517.76,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,3,Negotiated Proposal/Quote,,,0,,USAspending + HigherGov,ISAP CONTRACT FOR OPTION YEAR 3,https://www.highergov.com/contract/HSACB4C0008-HSCEOP07J00541/,https://www.usaspending.gov/award/CONT_AWD_HSCEOP07J00541_7012_HSACB4C0008_7012
HSACB4C0008-HSCEOP07J00623,HSCEOP07J00623,HSACB4C0008,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2007-09-24,2008-09-23,2008-09-23,2017-05-31,12829131.34,12829131.34,4,-3230868.66,12829131.34,12829131.34,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,3,Negotiated Proposal/Quote,,,0,,USAspending + HigherGov,ISAP NEW YORK EXPANSION,https://www.highergov.com/contract/HSACB4C0008-HSCEOP07J00623/,https://www.usaspending.gov/award/CONT_AWD_HSCEOP07J00623_7012_HSACB4C0008_7012
HSACB4C0008-HSCECR08J00052,HSCECR08J00052,HSACB4C0008,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,COMPLIANCE&REMOVALS,2008-09-05,2009-12-28,2009-12-28,2010-07-07,31601604.39,31601604.39,10,31601604.39,31601604.39,31601604.39,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,3,Negotiated Proposal/Quote,,,0,,USAspending + HigherGov,INTENSIVE SUPERVISION APPEARANCE PROGRAM,https://www.highergov.com/contract/HSACB4C0008-HSCECR08J00052/,https://www.usaspending.gov/award/CONT_AWD_HSCECR08J00052_7012_HSACB4C0008_7012
HSCECR09D00002-HSCECR09J00040,HSCECR09J00040,HSCECR09D00002,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,DETENTION COMPLIANCE AND REMOVALS,2009-07-20,2010-11-05,2015-11-28,2017-05-31,33817879.73,33817879.73,16,33817879.73,33817879.73,33817879.73,R408,Program Management/Support Services,561210,Facilities Support Services,Full And Open Competition,1,Negotiated Proposal/Quote,HSCECR09R00004,,0,,USAspending + HigherGov,ISAP II - ANNUAL TASK ORDER - BASE YEAR SERVICES (07/20/2009 - 07/19/2010) - CONTRACT HSCECR-09-D-00002,https://www.highergov.com/contract/HSCECR09D00002-HSCECR09J00040/,https://www.usaspending.gov/award/CONT_AWD_HSCECR09J00040_7012_HSCECR09D00002_7012
HSCECR09D00002-HSCECR11J00001,HSCECR11J00001,HSCECR09D00002,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,DETENTION COMPLIANCE AND REMOVALS,2010-11-01,2011-11-05,2015-11-14,2023-03-22,41773632.33,41773632.33,18,41773632.33,41773632.33,41773632.33,R408,Program Management/Support Services,561210,Facilities Support Services,Full And Open Competition,3,Negotiated Proposal/Quote,HSCECR09R00004,,0,,USAspending + HigherGov,"OPTION YEAR 1 TASK ORDER AWARD
ISAP II (BASE CONTRACT# HSCECR-09-D-00002)",https://www.highergov.com/contract/HSCECR09D00002-HSCECR11J00001/,https://www.usaspending.gov/award/CONT_AWD_HSCECR11J00001_7012_HSCECR09D00002_7012
HSCECR09D00002-HSCECR12J00001,HSCECR12J00001,HSCECR09D00002,B.I. INCORPORATED,PKK6L9KLMYR5,3CUH9,Delivery Order,ISAP/electronic monitoring,DETENTION COMPLIANCE AND REMOVALS,2011-11-06,2012-11-05,2015-11-14,2017-05-31,40201510.99,40201510.99,14,40201510.99,77846324.68,77846324.68,R408,Program Management/Support Services,561210,Facilities Support Services,Full And Open Competition,3,Negotiated Proposal/Quote,HSCECR09R00004,,0,,USAspending + HigherGov,"ISAP II CONTRACT (HSCECR-09-D-00002)
OPTION YEAR 2 TASK ORDER (HSCECR-12-J-00001)",https://www.highergov.com/contract/HSCECR09D00002-HSCECR12J00001/,https://www.usaspending.gov/award/CONT_AWD_HSCECR12J00001_7012_HSCECR09D00002_7012
