event_or_fiscal_year,event_date,subject,documentary_fact,amount_usd,stated_extension_or_end,retainer_disclosed,primary_source_url,evidentiary_limit
"FY2013","2013-12-31","Guidepost-B.I.","Agreement existed; payments did not exceed Item 404(a) threshold","<=120000","Expires 2014-12-31","15000/month current as of 2014-07-09","https://www.sec.gov/Archives/edgar/data/923796/000119312514264220/d755717d8k.htm","Threshold ceiling, not exact payment; start date and scope undisclosed"
"Wood board appointment","2014-07-02","Julie Myers Wood-GEO","Appointed to GEO board; Guidepost-B.I. agreement disclosed in same 8-K","","","","https://www.sec.gov/Archives/edgar/data/923796/000119312514264220/d755717d8k.htm","No transaction-specific recusal or agreement scope disclosed"
"FY2014","2014-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","168212","Extended through 2015-12-31","10000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312515097062/d862089ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2015","2015-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","185707","Extended through 2016-12-31","10000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312516510415/d54235ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2016","2016-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180187","Extended through 2017-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312517087321/d329324ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2017","2017-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2018-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312518080762/d500556ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2018","2018-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2019-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312519090420/d691911ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2019","2019-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2020-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312520102645/d909432ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2020","2020-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2021-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312521087535/d112096ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2021","2021-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2022-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312522078376/d195592ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2022","2022-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2023-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312523073959/d416685ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2022","2022-12-31","GrindStone-GEO","Consulting payment for services before Albence joined GEO","137531","GEO says no services after Albence joined","","https://www.sec.gov/Archives/edgar/data/923796/000119312523073959/d416685ddef14a.htm","Consulting scope not further particularized"
"FY2023","2023-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2024-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312524074555/d717730ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"FY2024","2024-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","180000","Extended through 2025-12-31","15000/month current","https://www.sec.gov/Archives/edgar/data/923796/000119312525059356/d882905ddef14a.htm","Scope, invoices, deliverables and amendments not attached"
"Checkmate engagement","2025-08-13","Checkmate-GEO","Effective date; detention-center-contract issue description","","Terminated 2026-05-04","","https://lda.senate.gov/filings/public/filing/a40f2539-930f-469b-a4c4-2a1beec2b368/print/","Does not name ICE, B.I., ISAP, award, or procurement contact"
"ISAP V solicitation","2025-08-15","ICE-B.I.","Original solicitation posting","","Proposal due date later extended to 2025-09-02","","https://sam.gov/opp/548da70d66394aa88734a82efa69e620/view","Public attachment set omits proposals and source-selection files"
"ISAP V award","2025-09-30","ICE-B.I.","IDV 70CDCR25D00000062 begins","","Potential value 1027594113.39","","https://www.usaspending.gov/award/CONT_IDV_70CDCR25D00000062_7012","No named Guidepost/Wood/Albence/Ragsdale/Checkmate role in public solicitation files"
"FY2025","2025-12-31","Guidepost-B.I.","Aggregate consulting-agreement payment","420000","Not extended past 2025-12-31","35000/month most recent","https://www.sec.gov/Archives/edgar/data/923796/000119312526116014/d923546ddef14a.htm","Date and instrument of retainer increase not disclosed"
"Checkmate Q3 2025","2025-09-30","Checkmate-GEO","Lobbying income","150000","Engagement continues","","https://lda.senate.gov/filings/public/filing/b2c6406b-4f96-4596-9325-38fefbea43eb/print/","Issue described only as detention-center contracts"
"Checkmate Q4 2025","2025-12-31","Checkmate-GEO","Lobbying income","150000","Engagement continues","","https://lda.senate.gov/filings/public/filing/3d110f8e-1dda-474e-9b19-0e2544ae5a3d/print/","Issue described only as detention-center contracts"
"Checkmate amended Q1 2026","2026-03-31","Checkmate-GEO","Amended lobbying income","80000","Supersedes original 150000 filing","","https://lda.senate.gov/filings/public/filing/84681557-60b4-46df-bcdd-b8de88fa71aa/print/","Use amendment; do not double-count original"
"Checkmate terminating Q2 2026","2026-05-04","Checkmate-GEO","Terminating-quarter lobbying income","80000","Terminated 2026-05-04","","https://lda.senate.gov/filings/public/filing/17490de5-2401-4443-a45b-805bf7218e02/print/","Partial-quarter filing; issue description remains generic"
