ma_id,entity_id,entity_name,review_level,formation_or_registration_date,status_as_reported,people_and_roles,finding_ids,source_url,source_artifact
001081992,7181,"110 PEMBROKE TOWNHOUSE, LLC",official entity summary and filing index; see report for PDFs inspected,06-21-2012,not established,"HOUSSAM ALI HASSAN MR — MANAGER; HOUSSAM ALI HASSAN MR. — SOC SIGNATORY, REAL PROPERTY; HOUSSAM ALI HASSAN — RESIDENT AGENT",15517; 15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=HTlCfQjmUuOI78XDojmqWho3T2vZ9uiOpw7DF8a7XZM-,investigations/hassan-boston/evidence/corporate/entity-001081992.txt
001110997,7204,112 PEMBROKE TOWNHOUSE LLC,official role index only,,not established,HOUSSAM ALI HASSAN MR — MANAGER; HOUSSAM ALI HASSAN MR — SOC SIGNATORY; HOUSSAM ALI HASSAN MR — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=jliNYPo_QVZ0sIvx3sS4S2uaxzex91WReiSZZXTqBDE-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt
001039606,7221,1200 WASHINGTON LLC,official role index only,,not established,HOUSSAM HASSAN MR — MANAGER; HOUSSAM HASSAN MR — SOC SIGNATORY; HOUSSAM HASSAN MR — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=uGFazLs8Idse9U6kFxF5hju6g_Z.l52L0JueoRY4MJY-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001062722,7205,"121 PEMBROKE TOWNHOUSE, LLC",official role index only,,not established,HOUSSAM ALI HASSAN MR — REAL PROPERTY; HOUSSAM ALI HASSAN MR — MANAGER; HOUSSAM ALI HASSAN MR — SOC SIGNATORY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=NCmeHa2VKG9b3bEpZTYmmjQtBbmGG3UKgyxtAHq7sC0-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt
001094967,7206,"126 PEMBROKE TOWNHOUSE, LLC",official role index only,,not established,HOUSSAM ALI HASSAN MR — MANAGER; HOUSSAM ALI HASSAN MR — SOC SIGNATORY; HOUSSAM ALI HASSAN MR — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=or31YUQEMtSqfr73A5vDWs_JThFeOXnXPlC6mSu0uY0-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt; investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page3.txt
001072097,7207,137 WEST CONCORD LLC,official role index only,,not established,HOUSSAM ALI HASSAN MR — REAL PROPERTY; HOUSSAM ALI HASSAN MR — MANAGER; HOUSSAM ALI HASSAN MR — SOC SIGNATORY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=nq1ThAzdJQ7m64bNrYGXuplD60aVmi8u9Q8xhXt2TNU-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page3.txt
001508933,7223,14 HOLYOKE STREET LLC,official role index only,,not established,HOUSSAM ALI HASSAN — REAL PROPERTY; HOUSSAM ALI HASSAN — MANAGER,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=rZCDK1X_5DyXkCk76vnBxLqAgf1tmiA_XkTmskZxRs8-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001446912,7191,"143-145 MERIDIAN STREET, LLC",official entity summary and filing index; see report for PDFs inspected,07-09-2020,not established,"TAREK ALI HASSAN — MANAGER, REAL PROPERTY, RESIDENT AGENT",15527; 15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=z9UK7nLlaIGWx2IZFjsr9flwAkWXaprl1x0W2kEsxW4-,investigations/hassan-boston/evidence/corporate/entity-001446912.txt
001401353,7198,149 WEST NEWTON STREET LLC,official role index only,,not established,HOUSSAM ALI HASSAN — SOC SIGNATORY; HOUSSAM ALI HASSAN — REAL PROPERTY; HOUSSAM ALI HASSAN — MANAGER,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=TFr9EkPSaND0mrFsP99IiCLXOK_UnyqEtbgx5DdNQes-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt; investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001182559,7216,174 WEST BROOKLINE LLC,official role index only,,not established,HOUSSAM ALI HASSAN MR. — MANAGER; HOUSSAM ALI HASSAN MR. — SOC SIGNATORY; HOUSSAM ALI HASSAN MR. — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=NfSVzx0T2hjJpIjdztCl2SorH6IsiztcAxf2N4R8fyI-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page3.txt
