component,total_actions,total_dollars,blank_actions,blank_dollars,blank_action_share,blank_dollar_share,competed_actions,competed_dollars,competed_action_share,competed_dollar_share,not_competed_actions,not_competed_dollars,not_competed_action_share,not_competed_dollar_share,other(COMPETITIVE DELIVERY ORDER)_actions,other(COMPETITIVE DELIVERY ORDER)_dollars,other(COMPETITIVE DELIVERY ORDER)_action_share,other(COMPETITIVE DELIVERY ORDER)_dollar_share,other(NON-COMPETITIVE DELIVERY ORDER)_actions,other(NON-COMPETITIVE DELIVERY ORDER)_dollars,other(NON-COMPETITIVE DELIVERY ORDER)_action_share,other(NON-COMPETITIVE DELIVERY ORDER)_dollar_share
U.S. Customs and Border Protection,9720,42051786550.11,140,0.0,0.0144,0.0,6999,40059994455.68,0.7201,0.9526,2581,1991792094.43,0.2655,0.0474,0,0.0,0.0,0.0,0,0.0,0.0,0.0
U.S. Coast Guard,33915,11025205552.84,174,2000000.0,0.0051,0.0002,22261,5992299502.38,0.6564,0.5435,11405,5030906050.46,0.3363,0.4563,56,0.0,0.0017,0.0,19,0.0,0.0006,0.0
U.S. Immigration and Customs Enforcement,6342,8928775631.93,27,0.0,0.0043,0.0,5012,7420444678.95,0.7903,0.8311,1303,1508330952.98,0.2055,0.1689,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Office of Procurement Operations,8810,6500142497.96,24,0.0,0.0027,0.0,8023,5869558626.58,0.9107,0.903,761,630583871.38,0.0864,0.097,2,0.0,0.0002,0.0,0,0.0,0.0,0.0
Transportation Security Administration,3888,3233643364.21,54,0.0,0.0139,0.0,3008,3058984943.41,0.7737,0.946,824,174689229.81,0.2119,0.054,2,-30809.01,0.0005,-0.0,0,0.0,0.0,0.0
U.S. Citizenship and Immigration Services,2281,2019117722.38,3,3574833.6,0.0013,0.0018,1961,1895443006.67,0.8597,0.9387,313,120099882.11,0.1372,0.0595,4,0.0,0.0018,0.0,0,0.0,0.0,0.0
Federal Emergency Management Agency,11731,1369145226.32,127,0.0,0.0108,0.0,9171,1213252698.09,0.7818,0.8861,2433,155892528.23,0.2074,0.1139,0,0.0,0.0,0.0,0,0.0,0.0,0.0
U.S. Secret Service,2706,760185702.98,26,0.0,0.0096,0.0,1783,595240073.74,0.6589,0.783,897,164945629.24,0.3315,0.217,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Federal Law Enforcement Training Center,3324,621279559.7,66,0.0,0.0199,0.0,2595,442808936.7,0.7807,0.7127,663,178470623.0,0.1995,0.2873,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Office of the Inspector General,523,87191516.37,0,0.0,0.0,0.0,473,85755337.74,0.9044,0.9835,50,1436178.63,0.0956,0.0165,0,0.0,0.0,0.0,0,0.0,0.0,0.0
