month,total_actions,total_dollars,blank_actions,blank_dollars,blank_action_share,blank_dollar_share,competed_actions,competed_dollars,competed_action_share,competed_dollar_share,not_competed_actions,not_competed_dollars,not_competed_action_share,not_competed_dollar_share,other(COMPETITIVE DELIVERY ORDER)_actions,other(COMPETITIVE DELIVERY ORDER)_dollars,other(COMPETITIVE DELIVERY ORDER)_action_share,other(COMPETITIVE DELIVERY ORDER)_dollar_share,other(NON-COMPETITIVE DELIVERY ORDER)_actions,other(NON-COMPETITIVE DELIVERY ORDER)_dollars,other(NON-COMPETITIVE DELIVERY ORDER)_action_share,other(NON-COMPETITIVE DELIVERY ORDER)_dollar_share
2025-09,10288,12064271490.01,91,2536838.4,0.0088,0.0002,7469,10979328687.93,0.726,0.9101,2707,1082405963.68,0.2631,0.0897,17,0.0,0.0017,0.0,4,0.0,0.0004,0.0
2026-03,3453,11868948285.78,24,0.0,0.007,0.0,2567,10315598571.18,0.7434,0.8691,862,1553349714.6,0.2496,0.1309,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-06,5023,9958270392.84,33,0.0,0.0066,0.0,3713,8378923271.33,0.7392,0.8414,1277,1579347121.51,0.2542,0.1586,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-12,3600,8141699406.49,17,0.0,0.0047,0.0,2607,6307655886.8,0.7242,0.7747,976,1834043519.69,0.2711,0.2253,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-05,4314,6999096562.05,26,0.0,0.006,0.0,3253,5773201545.92,0.7541,0.8248,1035,1225895016.13,0.2399,0.1752,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-01,3991,4431977382.36,29,0.0,0.0073,0.0,2778,4010565108.88,0.6961,0.9049,1184,421412273.48,0.2967,0.0951,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-04,3425,4075274326.27,27,0.0,0.0079,0.0,2479,3924801355.69,0.7238,0.9631,919,150472970.58,0.2683,0.0369,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026-02,3383,3322251847.34,19,0.0,0.0056,0.0,2502,3041586386.9,0.7396,0.9155,862,280665460.44,0.2548,0.0845,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-08,6084,2190645998.92,30,0.0,0.0049,0.0,4474,1897428298.52,0.7354,0.8662,1573,293217700.4,0.2585,0.1338,5,0.0,0.0008,0.0,2,0.0,0.0003,0.0
2026-07,4054,2008399553.02,58,0.0,0.0143,0.0,2988,1605534366.2,0.737,0.7994,1008,402865186.82,0.2486,0.2006,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-05,5089,1709196329.07,44,0.0,0.0086,0.0,3822,1448290814.47,0.751,0.8474,1222,260905514.6,0.2401,0.1526,1,0.0,0.0002,0.0,0,0.0,0.0,0.0
2025-07,5139,1657661792.53,31,0.0,0.006,0.0,3747,1609832613.26,0.7291,0.9711,1356,47829179.27,0.2639,0.0289,5,0.0,0.001,0.0,0,0.0,0.0,0.0
2025-03,4933,1648650209.93,33,0.0,0.0067,0.0,3719,1445872252.99,0.7539,0.877,1180,202777956.94,0.2392,0.123,1,0.0,0.0002,0.0,0,0.0,0.0,0.0
2025-11,2303,1585420352.2,36,2000000.0,0.0156,0.0013,1689,1356166679.96,0.7334,0.8554,578,227253672.24,0.251,0.1433,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-04,4828,1408498289.09,27,0.0,0.0056,0.0,3630,1239252893.73,0.7519,0.8798,1168,169245395.36,0.2419,0.1202,3,0.0,0.0006,0.0,0,0.0,0.0,0.0
2025-02,4491,1259002313.76,40,0.0,0.0089,0.0,3346,1176723431.09,0.745,0.9346,1088,82278882.67,0.2423,0.0654,16,0.0,0.0036,0.0,1,0.0,0.0002,0.0
2025-06,4647,790027905.35,34,0.0,0.0073,0.0,3413,922439136.9,0.7345,1.1676,1195,-132380422.54,0.2572,-0.1676,5,-30809.01,0.0011,-0.0,0,0.0,0.0,0.0
2025-10,2099,751850383.11,24,1037995.2,0.0114,0.0014,1507,543567407.13,0.718,0.723,547,207244980.78,0.2606,0.2756,9,0.0,0.0043,0.0,12,0.0,0.0057,0.0
2025-01,2096,725330504.68,18,0.0,0.0086,0.0,1583,657013551.06,0.7552,0.9058,493,68316953.62,0.2352,0.0942,2,0.0,0.001,0.0,0,0.0,0.0,0.0
