authority,awards,window_dollars,awards_born_in_window,window_dollars_born_in_window
URGENCY (FAR 6.302-2),138,29200614270.76,83,20906179066.24
PUBLIC INTEREST (FAR 6.302-7),5,3347440466.27,4,3347559342.78
ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),1272,2569366045.55,582,2211726243.89
AUTHORIZED BY STATUTE (FAR 6.302-5(A)(2)(I)),1420,1444041218.23,425,728468685.39
FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),57,483777575.30,15,59288341.74
SAP NON-COMPETITION (FAR 13),431,303493643.32,204,249692733.94
NATIONAL SECURITY (FAR 6.302-6),2,176677500.00,1,176677500.00
BRAND NAME DESCRIPTION (FAR 6.302-1(C)),52,109489768.44,30,102334292.91
UTILITIES (FAR 6.302-1(B)(3)),34,94188768.66,8,80382195.37
UNIQUE SOURCE (FAR 6.302-1(B)(1)),97,83327033.28,21,34597748.78
"MOBILIZATION, ESSENTIAL R&D (FAR 6.302-3)",224,81383937.47,22,25763905.25
INTERNATIONAL AGREEMENT (FAR 6.302-4),59,58914967.76,24,56356444.88
PATENT OR DATA RIGHTS (FAR 6.302-1(B)(2)),28,18188507.79,9,16411686.31
AUTHORIZED RESALE (FAR 6.302-5(A)(2)(II)),1,948620.64,1,948620.64
UNSOLICITED RESEARCH PROPOSAL (FAR 6.302-1(A)(2)(I)),3,364488.83,0,0
