solicitation_id,n_awards,n_distinct_awardees,modal_offers_received,offers_values_seen,everyone_who_offered_won,awardees_exceed_offers,shared_ceiling_suspected,shared_or_max_ceiling,family_ceiling_sum,family_window_obligations_members,child_task_order_window_obligations,any_idv,components,sample_recipients
70T05025R5900N002,27,21,21,21x21,1,0,0,5300000000.00,111300030000.00,30000.00,75000.0,1,Transportation Security Administration,"AMERICAN EAGLE PROTECTIVE SERVICES CORP;AVIATION SECURITY MANAGEMENT LLC;B O S SECURITY, INC.;CADUCEUS INC.;CENTERRA GROUP, LLC;COASTAL INTERNATIONAL SECURITY, INC"
70CDCR26R00000015,18,18,18,18x18,1,0,0,3105250000.00,20583928204.05,0,85376317.14,1,U.S. Immigration and Customs Enforcement,"ALPHA RECOVERY LLC;APPLIED INTELLECT LLC;CADUCEUS INC.;COMPASS UNITED;CONTINUITY GLOBAL SOLUTIONS LLC;CRITICAL RESPONSE STRATEGIES, LLC"
70FB7020R00000002,3,2,2,2x2,1,0,0,611384310.90,1080504494.64,-2000.00,0,1,Federal Emergency Management Agency,"CEVA FREIGHT LLC;CROWLEY GOVERNMENT SERVICES, INC."
70CDCR24R00000012,2,2,2,2x2,1,0,0,788696563.38,980614468.44,0,83347673.24,1,U.S. Immigration and Customs Enforcement,"CORECIVIC, INC.;THE GEO GROUP, INC."
70RDA224Q00000073,5,5,5,5x5,1,0,1,99998042.00,499990210.00,0,32851671.72,1,Office of Procurement Operations,"DELOITTE & TOUCHE LLP;ERNST & YOUNG LLP;GUIDEHOUSE INC.;KEARNEY & COMPANY, P.C.;KPMG LLP"
70FB7021R00000004,3,2,2,2x2,1,0,0,279206605.41,469044069.79,-2000.00,0,1,Federal Emergency Management Agency,"CEVA FREIGHT LLC;MATSON LOGISTICS, INC."
70FB7021R00000005,2,2,2,2x2,1,0,0,118731432.70,237462865.40,0,9508500.0,1,Federal Emergency Management Agency,"DEWITT COMPANIES LTD., LLC;MATSON LOGISTICS, INC."
70Z08524RIBCT0006,5,5,5,5x5,1,0,1,26271876.00,131359380.00,0,7156137.94,1,U.S. Coast Guard,BAYONNE DRYDOCK & REPAIR CORP.;GMD SHIPYARD CORP.;J. GOODISON COMPANY;NORTH SHORE MARINE TERMINAL & LOGISTICS INC;THE GREAT LAKES TOWING COMPANY LLC
70FB7021R00000015,2,2,2,2x2,1,0,0,48173796.00,87545750.80,0,-4855.6,1,Federal Emergency Management Agency,"IEM INTERNATIONAL, INC.;MAG DS CORP"
70Z08523RIBCT0002,6,6,6,6x6,1,0,0,18581144.38,73496455.32,0,3089668.68,1,U.S. Coast Guard,"BAYONNE DRYDOCK & REPAIR CORP.;COLONNA'S SHIP YARD, INCORPORATED;GMD SHIPYARD CORP.;J. GOODISON COMPANY;ROCKLAND MARINE CORP;THE GENERAL SHIP REPAIR CORPORATION"
