award_id,piid,is_idv,recipient_name,component,current_ceiling,window_obligations,total_obligations_todate,born_in_window,flags,detail,description_snippet
CONT_IDV_HSHQDC13DE2001_7001,HSHQDC13DE2001,1,"PPT SOLUTIONS, LLC",Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-07-09""}",IGF::CT::IGF
CONT_IDV_HSHQDC13DE2002_7001,HSHQDC13DE2002,1,DYNAMIC SECURITY CONCEPTS INC,Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-07-02""}",IGF::CT::IGF ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE II):    INFORMATION TECHNOLOGY (IT) IDIQ 
CONT_IDV_HSHQDC13DE2003_7001,HSHQDC13DE2003,1,"TESTPROS, INC.",Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-06-17""}",IGF::CT::IGF ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE II):    INFORMATION TECHNOLOGY (IT) IDIQ 
CONT_IDV_HSHQDC13DE2004_7001,HSHQDC13DE2004,1,PCI STRATEGIC MANAGEMENT LLC,Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-07-16""}",IGF::CT::IGF ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE II):    INFORMATION TECHNOLOGY (IT) IDIQ 
CONT_IDV_HSHQDC13DE2006_7001,HSHQDC13DE2006,1,"GNOSTECH, LLC",Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-08-11""}",IGF::CT::IGF ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE II):    INFORMATION TECHNOLOGY (IT) IDIQ 
CONT_IDV_HSHQDC13DE2007_7001,HSHQDC13DE2007,1,"MASON HARRIMAN GROUP, INC.",Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-08-13""}",IGF::CT::IGF ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE II):    INFORMATION TECHNOLOGY (IT) IDIQ 
CONT_IDV_HSHQDC13DE2008_7001,HSHQDC13DE2008,1,"GLOBAL NETWORK SYSTEMS OF MARYLAND, INC.",Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-07-07""}",IGF::CT::IGF EAGLE II CONTRACT FOR FC3 SMALL BUSINESS ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE 
CONT_IDV_HSHQDC13DE2012_7001,HSHQDC13DE2012,1,THE MIL CORPORATION,Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-07-02""}",IGF::CT::IGF ENTERPRISE ACQUISITION GATEWAY F/LEADING-EDGE SOLUTIONS II (EAGLE II):    INFORMATION TECHNOLOGY (IT) IDIQ 
CONT_IDV_HSHQDC13DE2040_7001,HSHQDC13DE2040,1,LOGISTICS SYSTEMS INCORPORATED,Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-08-08""}",IGF::CT::IGF
CONT_IDV_HSHQDC13DE2042_7001,HSHQDC13DE2042,1,"ARDENT MANAGEMENT CONSULTING, LLC",Office of Procurement Operations,22000000000.00,0,0.00,0,capacity_parking_ceiling50M_le5pct,"{""obligated_for_ratio"": ""0.00"", ""child_sum_complete"": 0, ""first_action_in_window"": ""2025-07-23""}",IGF::CT::IGF
