recipient_uei,recipient_name,window_obligations,dhs_modal_naics,historical_modal_naics,historical_sample_n,sam_primary_naics,naics_differs,naics_differs_2digit
J89LTB1S62C7,"AMI METALS, INC",1474828685.83,541614,331491,100,423510,1,1
D5BNEHB3UL89,"CSI AVIATION, INC",1393809472.23,561599,481211,100,481211,1,1
W2SDNNYAJ1N1,COCHRANE USA INC,641277600.00,236220,336999,2,332618,1,1
N1C5QLNPJLS4,DELL FEDERAL SYSTEMS L.P,458679771.20,511210,334111,100,334111,1,1
XVNBJ1QJY5N4,TRIBALCO LLC,402150303.30,334220,541519,158,541519,1,1
ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",379480177.03,488190,334290,100,336411,1,1
H1KHJPJH9R51,"FOUR POINTS TECHNOLOGY, L.L.C.",311633851.65,541519,334111,100,541519,1,1
JSTDGZNFP4A3,"LEIDOS, INC.",266543184.52,334517,443120,100,541715,1,1
ZHJYA5NN32Z5,"MVM, INC.",215583887.90,561612,541930,100,561612,1,1
NGABP44KQF33,GULFSTREAM AEROSPACE CORPORATION,182303171.20,532411,336413,100,336411,1,1
P98HKXYNA6M9,BOWMAN CONSULTING GROUP LTD,176677500.00,541191,561210,7,541330,1,1
FHKLJV1NP651,SMITHS DETECTION INC.,174800694.64,532490,334513,100,334519,1,1
JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,174695776.09,541330,611430,100,541512,1,1
MDSWM6MB1BH7,"LEIDOS, INC.",150827933.59,541512,332722,100,541715,1,1
Y54FQAPG4TN5,LOYAL SOURCE GOVERNMENT SERVICES LLC,150208460.56,561320,622110,100,621111,1,1
GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.",137514386.26,332994,423910,100,339999,1,1
CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,124437953.16,518210,541712,8,541330,1,1
DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP,119341701.15,511210,541519,100,541618,1,1
VV9KH3L99VE3,INTERNATIONAL BUSINESS MACHINES CORPORATION,117051471.33,541511,443120,100,541519,1,1
J2GPEJQ1TYG7,S & K SECURITY GROUP LLC,114653117.69,811210,238220,37,811210,1,1
HERXJEEWZFL7,KVG LLC,113052115.78,541614,532111,100,561210,1,1
D93YKLC3MK67,GENERAL DYNAMICS ONE SOURCE LLC,110896460.78,334511,541513,100,541511,1,1
Q5LJNF15T2R5,"SALIENT CRGT, INC.",108289313.61,541512,517911,161,541512,1,1
EHDKD39SMZV4,CHARTIS CONSULTING CORPORATION,104552499.26,541330,334220,100,541330,1,1
EW97MHKPD1P8,"TRM LABS, INC.",100325517.00,511210,334111,51,513210,1,1
JCGFHM1L1JX9,"AMERGIS HEALTHCARE STAFFING, INC.",87112228.00,621999,561320,38,561311,1,1
HFK9V1G2B513,"MOTOROLA SOLUTIONS, INC.",67038196.02,541330,334111,100,334220,1,1
XK11LLUL61A7,"NEW TECH SOLUTIONS, INC.",64927810.24,541519,443120,100,334111,1,1
NZ9CUMF36PK1,FLUOR FEDERAL SERVICES INC,62601524.91,541611,562910,100,561210,1,1
G58ZEJ7HJGM1,MANAGEMENT & TRAINING CORPORATION,59007562.98,561612,611519,100,611519,1,1
X4MZYGMNUAE7,IDEMIA IDENTITY & SECURITY USA LLC,48740957.10,334511,443120,100,334111,1,1
NVC1EFKKYB93,V2X AEROSPACE LLC,39148538.26,541330,488190,100,488190,1,1
WHB7C12ADS35,GILBANE FEDERAL,31757955.40,236220,562910,100,236220,1,1
MK6RH2FYHUV9,CHENEGA NASWIK INTERNATIONAL LLC,29964563.56,561612,541614,85,561611,1,1
R9JLHAR463A9,DEFENSE CONSULTING SERVICES LLC,20559743.78,561612,541990,100,541690,1,1
JS3TMMKJ45K6,LOGMET LLC,17563532.80,336411,488119,100,541614,1,1
YNMQH3WNRBN5,"HEALTHEON, INC",17092745.70,236220,621512,100,561210,1,1
EPUXNLX5EYC4,"AECOM TECHNICAL SERVICES, INC.",14070661.27,541330,562910,100,541330,1,1
ZX23KR32ZH32,CADUCEUS INC.,13929444.49,541611,621111,100,561320,1,1
YBFVZCWSXVF7,"TRINITY TECHNOLOGY GROUP, INC.",12142852.66,561612,315999,100,561612,1,1
L3VCKMD7J585,SOS INTERNATIONAL LLC,11499006.16,561611,541990,100,541990,1,1
KFW6S1KJQ566,"COMMDEX, LLC",8800425.59,334220,237130,100,517121,1,1
ZZRPFWN91KD1,"AT&T TECHNICAL SERVICES COMPANY, INC",8790331.07,541330,517110,100,541990,1,1
R2EQDL3JXG97,"SUNSTONE TECHNICAL SOLUTIONS, LLC",8355039.58,541611,336611,100,541330,1,1
GK55J77VGN84,CYNERGY PROFESSIONAL SYSTEMS LLC,6699967.66,541519,334220,100,541519,1,1
FAQYB9J9EA36,CONTINUITY GLOBAL SOLUTIONS LLC,6270128.00,561611,541930,100,561612,1,1
SW56UKW28L15,EAGLEGRACE GLOBAL LLC,5236600.00,561611,333112,2,541611,1,1
YPABB25UK1L3,DELTA POINT LLC,3910774.24,561611,541519,45,541513,1,1
XXJWCB23VVJ7,IT TECH DIRECT LLC,3520272.13,541330,334220,100,541519,1,1
P8T9JZVLSXA3,"CULMEN INTERNATIONAL, LLC",3447291.11,336611,541618,100,541990,1,1
ZBPQEJVECCT4,PERATON INC.,3132651.82,541512,517110,100,541330,1,1
SKDNFVJ9K8U3,APPLIED INTELLECT LLC,3080158.00,561611,541611,100,541511,1,1
J1BQKC2ZPXQ7,"ULTISAT, INC",1819557.42,334220,517919,100,517410,1,1
QNM9J87U6PW4,AEG GROUP INC,862800.40,541512,334220,100,334220,1,1
MVMDQCBUKEP4,GOLDBELT SECURITY LLC,835986.08,315990,333111,100,315990,1,1
J4Q3HP6NHK47,"ROCKWELL COLLINS, INC.",700872.00,443120,334511,100,334511,1,1
LEK6ACJ7RMN7,"HBC MANAGEMENT SERVICES, INC.",10000.00,561612,541330,100,561612,1,1
LFH4SUCVA379,ENVIRONMENTAL CHEMICAL CORPORATION,0,236220,562910,197,236220,1,1
