recipient_uei,recipient_name,n_awards,window_obligations,ceiling_sum_no_double_count,not_competed_window_obligations,not_competed_share
XAVBDA4D13N7,FISHER SAND & GRAVEL CO,17,14281092255.70,9100000000.00,0,0.0
LEGGW1TNMVC9,"BARNARD CONSTRUCTION COMPANY, INCORPORATED",6,4543151503.70,5000000000.00,0,0.0
VNQTYNAV9C25,BCCG A JOINT VENTURE,10,3248042850.70,9100000000.00,0,0.0
VLDKT27H2AG1,SLS FEDERAL SERVICES LLC,4,2379100930.00,6636000000.00,0,0.0
MKMNZ369ZB59,SPENCER CONSTRUCTION LLC,6,2359541157.42,5000000000.00,0,0.0
W31DQKBPJCD3,SOUTHWEST VALLEY CONSTRUCTORS CO,4,2243969041.00,15000000000.00,0,0.0
J89LTB1S62C7,"AMI METALS, INC",1,1474828685.83,2237468751.00,0,0.0
D5BNEHB3UL89,"CSI AVIATION, INC",6,1393809472.23,4761530784.28,0,0.0
KK7TLU2HQGH9,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",7,1333453559.00,4294604290.94,1263354240.00,0.9474
RNHNMK7VCEL1,RAUMA MARINE CONSTRUCTIONS OY,1,1122648775.26,1122648775.26,1122648775.26,1.0
JMLKZZ1NL2Z6,"THE GEO GROUP, INC.",54,1076452012.81,8567013302.85,177556374.82,0.1649
DYABDAZV92C1,DAVIE DEFENSE INC.,1,957006922.32,3500000000.00,957006922.32,1.0
QEMLRQA7PLG4,"AMENTUM SERVICES, INC.",10,952753550.17,13585764327.01,452855435.04,0.4753
RG6LJJM6JBS3,"AUSTAL USA, LLC",1,902265935.97,3315010297.48,0,0.0
VEP4UN7LDMK5,"WHITING-TURNER CONTRACTING COMPANY, THE",25,876929123.25,16000000000.00,0,0.0
US79M57E8DT9,BARNARD SPENCER JOINT VENTURE,6,859975064.53,4100000000.00,0,0.0
VAYJNMM2KBE5,GRANITE CONSTRUCTION COMPANY,4,706021546.79,9100000000.00,0,0.0
EA4VD72SB1W3,SALUS WORLDWIDE SOLUTIONS CORP.,3,702024888.23,919317331.04,4317331.04,0.0061
W2SDNNYAJ1N1,COCHRANE USA INC,2,641277600.00,5000000000.00,0,0.0
Y5U3BSK2G389,ACQUISITION LOGISTICS LLC,1,598444871.04,1339875022.97,0,0.0
KC3CH2MSK7Q3,"ANDURIL INDUSTRIES, INC.",10,573541923.96,2000000000.00,0,0.0
RG1VD6RNMXB5,PARAGON SYSTEMS INC,235,571419639.77,5663977752.29,0,0.0
HJGMJN1JKL46,"CORECIVIC, INC.",30,488986311.54,4262132726.29,210399606.92,0.4303
N3PBJAVNKF61,"CACI, INC. - FEDERAL",43,483460367.45,4194616379.13,5375707.18,0.0111
KE7ZAT98UBM7,DAEDALUS AVIATION CORPORATION,1,463638746.00,463638746.00,463638746.00,1.0
UE9QJD4KK1L6,"LEIDOS, INC.",10,462553275.99,9529779588.98,0,0.0
N1C5QLNPJLS4,DELL FEDERAL SYSTEMS L.P,56,458679771.20,1504438693.87,0,0.0
WDXQN83XB8Z8,"TECHFLOW, INC.",4,444120525.44,7471687724.02,0,0.0
NEV1XR5H3FG5,"SUNDT CONSTRUCTION, INC.",2,443095755.00,5000000000.00,0,0.0
XVNBJ1QJY5N4,TRIBALCO LLC,13,402150303.30,6001417659.17,0,0.0
CKV2L9GZKJK3,DELOITTE CONSULTING LLP,122,395506643.84,2995659875.15,0,0.0
ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",2,379480177.03,1068968078.00,379480177.03,1.0
X59QGBTBZK65,BIRDON AMERICA INC,14,379412013.35,1477800361.91,0,0.0
SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",88,363039259.90,2816928363.30,3242744.76,0.0089
F481BZWYCZA7,TRIPLE CANOPY INC,120,357855598.78,4664643249.50,0,0.0
MFA2CSSMMA35,"UNIVERSAL PROTECTION SERVICE, LIMITED PARTNERSHIP",32,336545765.70,6670120464.36,0,0.0
TWVGJRMK6Z78,BRASFIELD & GORRIE LLC,5,325927795.00,14000000000.00,0,0.0
FJLMN2N34M93,GARDAWORLD FEDERAL SERVICES LLC,3,313357612.46,4142060843.88,0,0.0
H1KHJPJH9R51,"FOUR POINTS TECHNOLOGY, L.L.C.",62,311633851.65,853946540.38,0,0.0
TBLKC12FCDH8,"ELBITAMERICA, INC.",4,306097614.61,2060779017.28,215851905.04,0.7052
WGN2KJJD27Q3,AKIMA INFRASTRUCTURE PROTECTION LLC,15,289625683.31,1461845406.67,9710006.08,0.0335
MX89BGD5FK75,"AT&T ENTERPRISES, LLC",16,281459563.32,1897678157.98,0,0.0
JEANDJTZ8HJ3,"FCN, INC.",146,271931828.76,631929152.95,948620.64,0.0035
JSTDGZNFP4A3,"LEIDOS, INC.",21,266543184.52,1728058500.31,38388648.00,0.144
MMLKPW9JLX64,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,46,259992061.65,1584920033.72,0,0.0
QVEKLLJUGHJ7,"LMI CONSULTING, LLC",8,253683453.78,406050239.87,0,0.0
EELEC8QCC3N8,"CACI NSS, LLC",46,252959090.95,1653346920.07,0,0.0
C8GANE5B4W83,"COVENANT AVIATION SECURITY, LLC",4,252467844.93,8600000000.00,0,0.0
PKK6L9KLMYR5,B.I. INCORPORATED,8,247522357.72,4039820855.49,0,0.0
FSY4LVSBGWB7,PALANTIR TECHNOLOGIES INC.,5,243261962.22,1176496224.37,0,0.0
MT9AATHS7ZB5,TUTOR PERINI CORPORATION,12,233319047.14,16499975000.00,0,0.0
C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,35,232737191.66,1383484050.31,0,0.0
EBHPGDLGQLB5,DEV TECHNOLOGY GROUP INC,20,223517074.71,1657885985.32,0,0.0
ZHJYA5NN32Z5,"MVM, INC.",10,215583887.90,3080728492.45,-1811718.14,-0.0084
UCDDUN6A6S17,RAPISCAN SYSTEMS INC,19,212053898.97,1651883660.73,104432956.33,0.4925
SZKNP57U5UK3,THE HASKELL COMPANY,11,203706763.34,7499965000.00,0,0.0
MKJGBYTR5MM4,WIDEPOINT INTEGRATED SOLUTIONS CORP,76,200282163.32,554871290.78,5831761.80,0.0291
SQLVDBFQ4SD8,"WORKWEAR OUTFITTERS, LLC",50,199381556.24,900000000.00,0,0.0
KEPTQ65QJHQ5,"KERBEROS INTERNATIONAL, INC.",67,192190753.84,1850703248.51,0,0.0
NGABP44KQF33,GULFSTREAM AEROSPACE CORPORATION,2,182303171.20,184288348.55,182303171.20,1.0
LJZTDJWPG431,"STEAMPUNK, INC.",12,177496050.74,1547435184.93,3696476.80,0.0208
P98HKXYNA6M9,BOWMAN CONSULTING GROUP LTD,1,176677500.00,176677500.00,176677500.00,1.0
