date,outlet,author,url,headline,entities,contract_ids,claims_summary,cluster_id
"2025-03-10","Associated Press","Adriana Gomez Licon","https://apnews.com/article/e7939619195791493e828dfd20604d65","How the White House hired Republican political firms to launch an anti-migrant ad campaign","DHS;People Who Think LLC;Safe America Media;Jay Connaughton;Mike McElwain;Corey Lewandowski","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Roughly $200M ad campaign used an urgency rationale instead of ordinary full competition; vendors and principals had Republican political ties.","C1_NOEM_ADS_FINANCE"
"2025-06-30","ProPublica","Justin Elliott;Joshua Kaplan;Alex Mierjeski","https://www.propublica.org/article/kristi-noem-political-donations-income-dark-money-dhs-ethics","Kristi Noem Secretly Took a Cut of Political Donations","Kristi Noem;Ashwood Strategies LLC;American Resolve Policy Fund","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Traced $80,000 from a pro-Noem nonprofit through Ashwood and examined its omission from Noem's public disclosure.","C1_NOEM_ADS_FINANCE"
"2025-11-14","ProPublica","Justin Elliott;Joshua Kaplan","https://www.propublica.org/article/kristi-noem-dhs-ad-campaign-strategy-group","Firm Tied to Kristi Noem Secretly Got Money From $220 Million DHS Ad Contracts","Kristi Noem;Strategy Group;Safe America Media;People Who Think LLC;Ben Yoho;Corey Lewandowski","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Identified a hidden Noem-linked subcontractor beneath approximately $143M and $77M prime ad awards.","C1_NOEM_ADS_FINANCE"
"2025-11-24","ProPublica","Justin Elliott;Joshua Kaplan","https://www.propublica.org/article/kristi-noem-dhs-strategy-group-senate-probe","Lawmakers Call for Probe of How Firm Tied to Kristi Noem Got Piece of $220 Million DHS Ad Contracts","Kristi Noem;Strategy Group;DHS OIG;U.S. Congress","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Five senators and two representatives sought records and an inspector-general review of the ad awards and subcontract.","C1_NOEM_ADS_FINANCE"
"2026-01-16","CREW","Matt Corley","https://www.citizensforethics.org/reports-investigations/crew-investigations/kristi-noems-company-was-paid-almost-140000-by-a-pro-noem-group-in-2024/","Kristi Noem's company was paid almost $140,000 by a pro-Noem group in 2024","Kristi Noem;Ashwood Strategies LLC;American Resolve Policy Fund;Lewandowski Strategic Advisors","","CONFIRMED; accessed 2026-07-28 22:30 EDT — IRS filing showed $137,842 to Ashwood and $265,500 to Lewandowski Strategic Advisors.","C1_NOEM_ADS_FINANCE"
"2026-03-06","Bloomberg","Irene García Pérez;Eric Fan","https://www.bloomberg.com/news/features/2026-03-06/noem-dhs-ad-blitz-benefits-firms-linked-to-trump-campaigns","Noem DHS Ad Blitz Benefits Firms Linked to Trump Campaigns","Kristi Noem;Strategic Media;Smart Media;DHS","","UNCONFIRMED; accessed 2026-07-28 22:30 EDT — Paywalled preview describes a roughly $240M campaign and firms with Trump campaign/PAC ties; full evidence chain not inspected.","C1_NOEM_ADS_FINANCE"
"2025-08-14","Axios","Brittany Gibson;Marc Caputo","https://www.axios.com/2025/08/14/white-house-dhs-lewandowski-noem","White House, DHS clash over Corey Lewandowski's role with Kristi Noem","Corey Lewandowski;Kristi Noem;DHS;White House","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Described Lewandowski's SGE arrangement, 130-day limit, private consulting conflicts, and concern about undercounted workdays.","C2_LEWANDOWSKI_CONTROLS"
"2025-08-27","Politico","Myah Ward;Zack Colman","https://www.politico.com/news/2025/08/27/tk-00527043","Corey Lewandowski's veto power over DHS contracts frustrates administration officials","Corey Lewandowski;Kristi Noem;DHS;FEMA","","UNCONFIRMED; accessed 2026-07-28 22:30 EDT — Syndication and congressional citations say Lewandowski reviewed or could veto contracts and grants above $100,000; publisher body robots-blocked.","C2_LEWANDOWSKI_CONTROLS"
"2025-09-05","House Oversight Committee Democrats","Robert Garcia","https://oversightdemocrats.house.gov/news/press-releases/ranking-member-robert-garcia-demands-public-release-corey-lewandowskis","Ranking Member Robert Garcia Demands Public Release of Corey Lewandowski's Financial Disclosures After Violating Special Government Employee Disclosure Laws","Corey Lewandowski;Robert Garcia;DHS;OGE","OGE Form 278e","CONFIRMED; accessed 2026-07-28 22:30 EDT — Committee demanded the financial disclosure, work-day records, recusals, and ethics agreements; page links the signed letter.","C2_LEWANDOWSKI_CONTROLS"
"2026-01-23","Axios","Marc Caputo;Brittany Gibson;Alex Isenstadt","https://www.axios.com/2026/01/23/corey-lewandowski-kristi-noem-homeland-security","Lewandowski back for another year as DHS's part-time power broker","Corey Lewandowski;Kristi Noem;DHS","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported that Lewandowski discussed vendors and major contract decisions while his confidential disclosure remained nonpublic.","C2_LEWANDOWSKI_CONTROLS"
